LAC,Quinton Ross,1,25,6
LAC,Sam Cassell,1,15,22
MIN,Trenton Hassell,0,16,22
LAC,Aaron Williams,1,41,7
MIN,Mark Blount,1,39,7
LAC,Aaron Williams,1,25,6
MIN,Kevin Garnett,1,15,7
LAC,Quinton Ross,0,24,22
LAC,Sam Cassell,0,37,14
MIN,Ricky Davis,0,2,9
MIN,Mark Blount,0,8,7
MIN,Mark Blount,0,24,12
LAC,Elton Brand,1,39,17
MIN,Ricky Davis,1,21,26
MIN,Mark Blount,0,25,6
LAC,Elton Brand,1,25,6
MIN,Ricky Davis,1,38,11
LAC,Elton Brand,0,33,23
MIN,Mike James,0,6,23
LAC,Sam Cassell,1,25,6
MIN,Mark Blount,0,12,21
LAC,Elton Brand,0,25,6
MIN,Trenton Hassell,1,11,7
LAC,Quinton Ross,1,42,11
MIN,Trenton Hassell,0,24,11
LAC,Sam Cassell,1,37,19
LAC,Sam Cassell,1,27,9
MIN,Mark Blount,0,14,23
LAC,Sam Cassell,1,14,21
MIN,Mike James,0,13,21
MIN,Kevin Garnett,1,32,9
LAC,Elton Brand,1,26,11
MIN,Mike James,0,47,18
MIN,Craig Smith,1,25,6
LAC,Sam Cassell,0,39,19
MIN,Craig Smith,0,25,6
MIN,Ricky Davis,0,37,21
LAC,Quinton Ross,0,25,21
MIN,Ricky Davis,1,8,12
LAC,Tim Thomas,0,18,29
MIN,Ricky Davis,0,15,22
MIN,Ricky Davis,0,25,17
MIN,Craig Smith,1,19,10
LAC,Tim Thomas,0,44,16
MIN,Ricky Davis,1,8,11
LAC,Daniel Ewing,1,25,6
MIN,Craig Smith,1,25,6
LAC,Shaun Livingston,1,16,22
MIN,Craig Smith,1,21,13
LAC,Corey Maggette,0,41,8
MIN,Kevin Garnett,0,22,24
MIN,Marko Jaric,0,25,6
LAC,Corey Maggette,1,25,6
LAC,Cuttino Mobley,1,40,20
MIN,Troy Hudson,1,35,23
LAC,Aaron Williams,0,25,6
MIN,Troy Hudson,1,39,26
MIN,Kevin Garnett,1,25,6
LAC,Cuttino Mobley,1,3,14
MIN,Troy Hudson,0,25,6
LAC,Sam Cassell,1,10,8
LAC,Sam Cassell,1,36,22
LAC,Cuttino Mobley,0,41,7
LAC,Corey Maggette,1,25,6
MIN,Kevin Garnett,1,25,6
LAC,Sam Cassell,0,39,27
MIN,Troy Hudson,0,39,7
LAC,Corey Maggette,0,40,19
LAC,Sam Cassell,1,40,20
LAC,Cuttino Mobley,0,14,27
LAC,Sam Cassell,1,11,18
MIN,Marko Jaric,0,31,32
LAC,Cuttino Mobley,0,15,23
LAC,Cuttino Mobley,0,14,22
MIN,Mark Blount,1,25,6
LAC,Sam Cassell,0,36,23
LAC,Aaron Williams,1,25,6
MIN,Mark Blount,1,41,7
LAC,Sam Cassell,1,41,6
MIN,Ricky Davis,1,20,17
LAC,Elton Brand,1,40,7
MIN,Mark Blount,1,42,8
LAC,Cuttino Mobley,1,10,7
MIN,Kevin Garnett,0,17,23
LAC,Elton Brand,1,25,6
MIN,Kevin Garnett,0,40,6
LAC,Sam Cassell,0,36,17
LAC,Quinton Ross,0,37,20
MIN,Kevin Garnett,0,25,6
LAC,Elton Brand,0,9,16
MIN,Mike James,0,25,6
LAC,Sam Cassell,1,25,6
MIN,Kevin Garnett,1,39,22
LAC,Elton Brand,1,15,8
MIN,Kevin Garnett,1,17,23
LAC,Sam Cassell,1,25,6
MIN,Marko Jaric,1,9,9
LAC,Quinton Ross,0,26,13
MIN,Troy Hudson,0,15,14
LAC,Sam Cassell,0,24,30
LAC,Sam Cassell,1,38,21
MIN,Kevin Garnett,1,40,7
LAC,Elton Brand,1,25,6
MIN,Marko Jaric,0,25,6
MIN,Justin Reed,0,15,8
LAC,Aaron Williams,1,25,6
MIN,Ricky Davis,0,42,25
MIN,Justin Reed,1,41,8
LAC,Corey Maggette,0,29,26
MIN,Randy Foye,1,23,30
MIN,Randy Foye,1,25,10
LAC,Elton Brand,1,27,13
MIN,Marko Jaric,0,25,6
MIN,Marko Jaric,0,25,6
MIN,Kevin Garnett,1,25,6
LAC,Corey Maggette,1,40,8
LAC,Elton Brand,1,23,13
MIN,Ricky Davis,1,22,24
MIN,Marko Jaric,1,25,6
LAC,Sam Cassell,0,10,19
MIN,Ricky Davis,1,36,20
LAC,Elton Brand,0,36,15
MIN,Ricky Davis,0,43,14
LAC,Corey Maggette,1,25,6
LAC,Sam Cassell,1,21,30
MIN,Randy Foye,1,41,27
LAC,Sam Cassell,0,36,21
MIN,Marko Jaric,1,40,26
LAC,Sam Cassell,0,25,6
LAC,Sam Cassell,0,9,7
MIN,Mark Blount,1,12,21
MIN,Kevin Garnett,1,25,6
LAC,Elton Brand,0,35,10
LAC,Elton Brand,0,40,4
LAC,Corey Maggette,0,41,7
MIN,Mark Blount,0,24,23
LAC,Elton Brand,0,37,9
LAC,Cuttino Mobley,1,25,6
MIN,Randy Foye,1,25,6
LAC,Cuttino Mobley,0,25,6
MIN,Randy Foye,0,16,8
LAC,Cuttino Mobley,0,13,28
MIN,Randy Foye,1,25,6
