PHI,Shavlik Randolph,1,32,12
CLE,Zydrunas Ilgauskas,1,24,13
PHI,Allen Iverson,0,24,12
PHI,Shavlik Randolph,1,24,11
CLE,Shannon Brown,0,24,6
PHI,Kevin Ollie,0,24,8
PHI,Andre Iguodala,1,24,8
CLE,Drew Gooden,0,9,6
PHI,Allen Iverson,1,26,6
CLE,Shannon Brown,0,34,32
PHI,Allen Iverson,0,43,3
CLE,LeBron James,0,26,7
CLE,Zydrunas Ilgauskas,1,23,5
PHI,Allen Iverson,0,37,11
PHI,Andre Iguodala,0,6,3
CLE,Zydrunas Ilgauskas,0,28,8
CLE,Zydrunas Ilgauskas,0,26,8
PHI,Kevin Ollie,0,25,21
CLE,Shannon Brown,0,16,18
PHI,Allen Iverson,0,32,18
PHI,Shavlik Randolph,1,25,6
PHI,Shavlik Randolph,1,30,12
CLE,Shannon Brown,0,1,3
PHI,Allen Iverson,0,22,8
CLE,LeBron James,0,23,25
CLE,Damon Jones,0,25,13
CLE,Zydrunas Ilgauskas,0,25,4
CLE,Zydrunas Ilgauskas,0,24,5
CLE,Anderson Varejao,0,26,7
CLE,Zydrunas Ilgauskas,0,24,7
CLE,Anderson Varejao,1,25,12
PHI,Allen Iverson,0,36,10
CLE,Damon Jones,1,42,24
CLE,LeBron James,0,12,7
PHI,Willie Green,1,14,19
CLE,Donyell Marshall,0,33,8
CLE,Damon Jones,1,25,7
PHI,Alan Henderson,0,22,10
PHI,Alan Henderson,0,23,10
PHI,Willie Green,0,11,17
PHI,Kyle Korver,1,36,28
PHI,Willie Green,0,10,11
CLE,Sasha Pavlovic,1,35,30
CLE,LeBron James,0,38,22
PHI,Willie Green,0,13,22
CLE,Sasha Pavlovic,0,22,9
CLE,Sasha Pavlovic,0,8,13
CLE,Zydrunas Ilgauskas,0,24,7
CLE,Zydrunas Ilgauskas,0,24,6
CLE,Zydrunas Ilgauskas,0,24,5
CLE,Sasha Pavlovic,1,43,2
CLE,Eric Snow,0,10,10
CLE,Damon Jones,1,2,3
PHI,Allen Iverson,0,34,17
CLE,Anderson Varejao,1,24,6
PHI,Rodney Carney,0,10,5
PHI,Rodney Carney,1,12,10
CLE,Eric Snow,0,27,5
CLE,Sasha Pavlovic,1,24,6
PHI,Kyle Korver,0,34,20
CLE,Damon Jones,0,48,11
CLE,Anderson Varejao,1,24,7
PHI,Allen Iverson,1,27,13
CLE,Zydrunas Ilgauskas,1,24,6
PHI,Allen Iverson,1,35,7
PHI,Allen Iverson,1,24,5
CLE,LeBron James,0,23,6
PHI,Samuel Dalembert,0,26,6
PHI,Rodney Carney,1,25,7
CLE,LeBron James,0,24,6
CLE,Zydrunas Ilgauskas,1,24,6
PHI,Shavlik Randolph,0,30,10
PHI,Allen Iverson,0,39,18
CLE,Zydrunas Ilgauskas,1,42,3
PHI,Allen Iverson,0,48,5
CLE,Zydrunas Ilgauskas,1,23,6
PHI,Shavlik Randolph,0,24,5
CLE,Damon Jones,1,1,5
PHI,Kyle Korver,0,2,12
PHI,Kyle Korver,0,1,5
CLE,LeBron James,1,24,5
PHI,Allen Iverson,0,16,20
PHI,Allen Iverson,1,25,7
PHI,Kyle Korver,0,34,28
CLE,Drew Gooden,1,25,6
PHI,Alan Henderson,0,27,6
CLE,LeBron James,1,24,6
PHI,Alan Henderson,0,28,7
CLE,LeBron James,0,28,9
PHI,Allen Iverson,1,24,6
CLE,Shannon Brown,0,7,17
CLE,LeBron James,1,24,5
PHI,Allen Iverson,0,25,16
PHI,Andre Iguodala,1,24,7
CLE,LeBron James,0,1,5
CLE,Zydrunas Ilgauskas,1,26,13
PHI,Allen Iverson,1,31,18
CLE,Eric Snow,1,25,6
PHI,Shavlik Randolph,1,23,7
CLE,Drew Gooden,1,17,10
CLE,Zydrunas Ilgauskas,0,24,26
PHI,Andre Iguodala,1,1,4
CLE,LeBron James,0,2,5
CLE,LeBron James,1,25,6
PHI,Willie Green,0,31,14
CLE,Eric Snow,0,29,12
CLE,Zydrunas Ilgauskas,1,25,14
PHI,Allen Iverson,1,23,31
CLE,Drew Gooden,0,32,16
PHI,Allen Iverson,0,11,28
CLE,Eric Snow,1,24,6
PHI,Alan Henderson,1,25,6
CLE,Drew Gooden,1,25,5
PHI,Willie Green,1,31,14
CLE,Drew Gooden,0,23,9
CLE,Anderson Varejao,1,25,7
PHI,Willie Green,1,43,15
CLE,LeBron James,1,26,7
CLE,Drew Gooden,1,25,6
CLE,Anderson Varejao,0,19,10
PHI,Kyle Korver,1,44,23
CLE,Sasha Pavlovic,0,38,2
CLE,LeBron James,1,13,28
PHI,Shavlik Randolph,0,17,8
PHI,Andre Iguodala,0,20,10
CLE,LeBron James,1,23,7
PHI,Willie Green,0,1,35
PHI,Kyle Korver,0,35,14
PHI,Kyle Korver,0,36,6
PHI,Willie Green,0,11,19
CLE,Donyell Marshall,1,28,31
CLE,Donyell Marshall,0,45,20
CLE,Donyell Marshall,1,2,4
PHI,Samuel Dalembert,0,24,7
PHI,Samuel Dalembert,1,24,6
CLE,Donyell Marshall,0,25,4
CLE,Anderson Varejao,0,26,6
CLE,Anderson Varejao,1,25,5
PHI,Allen Iverson,0,41,5
PHI,Allen Iverson,0,35,8
PHI,Willie Green,1,7,23
CLE,Anderson Varejao,0,36,15
CLE,LeBron James,1,26,6
CLE,LeBron James,1,24,10
PHI,Allen Iverson,1,32,14
PHI,Andre Iguodala,1,25,6
CLE,LeBron James,0,42,23
PHI,Allen Iverson,0,43,16
CLE,Eric Snow,1,10,13
PHI,Allen Iverson,0,40,7
CLE,Drew Gooden,1,16,7
PHI,Kyle Korver,0,40,10
CLE,LeBron James,1,23,6
PHI,Andre Iguodala,1,16,15
CLE,Eric Snow,1,24,6
PHI,Allen Iverson,0,18,10
CLE,Drew Gooden,0,9,15
CLE,Damon Jones,0,32,30
PHI,Allen Iverson,1,34,12
CLE,Drew Gooden,0,17,17
PHI,Allen Iverson,0,23,5
CLE,Damon Jones,0,10,6
CLE,Drew Gooden,1,48,4
PHI,Willie Green,1,34,10
CLE,Shannon Brown,1,24,7
PHI,Willie Green,0,8,25
