CLE,Zydrunas Ilgauskas,0,36,8
CLE,Drew Gooden,0,29,7
SEA,Andreas Glyniadakis,1,18,7
CLE,Larry Hughes,1,24,7
SEA,Andreas Glyniadakis,0,17,8
CLE,Zydrunas Ilgauskas,1,23,7
SEA,Nick Collison,0,39,11
CLE,Drew Gooden,1,14,13
SEA,Luke Ridnour,0,20,10
SEA,Rashard Lewis,0,20,9
CLE,LeBron James,1,25,6
SEA,Rashard Lewis,0,35,29
CLE,Larry Hughes,1,8,15
SEA,Rashard Lewis,1,24,6
CLE,Drew Gooden,1,40,7
SEA,Andreas Glyniadakis,1,24,6
SEA,Rashard Lewis,0,1,4
SEA,Damien Wilkins,0,7,4
SEA,Nick Collison,1,25,5
CLE,Zydrunas Ilgauskas,0,39,8
CLE,Larry Hughes,1,24,15
SEA,Luke Ridnour,0,29,12
CLE,LeBron James,1,26,7
CLE,LeBron James,1,25,7
SEA,Rashard Lewis,0,37,6
SEA,Nick Collison,0,25,6
CLE,Drew Gooden,0,44,4
CLE,Zydrunas Ilgauskas,1,27,7
SEA,Damien Wilkins,1,2,9
CLE,LeBron James,1,24,5
SEA,Nick Collison,1,24,6
CLE,Drew Gooden,1,26,7
SEA,Rashard Lewis,1,42,16
CLE,Larry Hughes,1,25,6
SEA,Nick Collison,1,41,11
CLE,Larry Hughes,1,26,25
SEA,Rashard Lewis,0,25,15
SEA,Chris Wilcox,1,25,5
CLE,LeBron James,1,43,22
SEA,Mickael Gelabale,1,25,7
CLE,Anderson Varejao,0,38,16
SEA,Earl Watson,1,8,18
CLE,Donyell Marshall,0,30,9
SEA,Chris Wilcox,0,20,9
CLE,LeBron James,1,35,5
SEA,Chris Wilcox,0,22,13
CLE,Donyell Marshall,0,1,5
SEA,Chris Wilcox,0,36,16
SEA,Johan Petro,0,24,20
CLE,Damon Jones,1,10,16
CLE,Damon Jones,0,2,4
CLE,Zydrunas Ilgauskas,1,34,10
SEA,Johan Petro,1,24,6
SEA,Johan Petro,1,42,14
CLE,Anderson Varejao,0,25,7
CLE,Anderson Varejao,1,25,7
SEA,Damien Wilkins,1,35,29
SEA,Earl Watson,0,8,12
CLE,Damon Jones,1,10,11
SEA,Chris Wilcox,1,24,6
SEA,Mickael Gelabale,0,4,4
SEA,Mickael Gelabale,1,24,6
CLE,Larry Hughes,1,9,5
SEA,Johan Petro,0,7,5
CLE,Damon Jones,1,2,4
SEA,Rashard Lewis,0,25,7
SEA,Rashard Lewis,1,25,5
SEA,Chris Wilcox,0,17,7
SEA,Johan Petro,0,26,6
CLE,Larry Hughes,1,10,14
SEA,Luke Ridnour,0,24,18
CLE,Larry Hughes,1,40,5
SEA,Luke Ridnour,0,26,20
CLE,Drew Gooden,1,10,12
SEA,Johan Petro,0,28,16
SEA,Johan Petro,1,24,21
CLE,Larry Hughes,0,10,6
SEA,Luke Ridnour,0,12,27
SEA,Damien Wilkins,0,24,7
CLE,LeBron James,0,22,6
CLE,Zydrunas Ilgauskas,0,25,6
CLE,Zydrunas Ilgauskas,1,25,5
SEA,Damien Wilkins,0,39,27
CLE,LeBron James,0,24,6
CLE,Larry Hughes,0,12,28
CLE,Anderson Varejao,0,11,16
CLE,Zydrunas Ilgauskas,1,24,6
SEA,Nick Collison,0,42,5
SEA,Rashard Lewis,0,16,29
SEA,Damien Wilkins,0,42,20
SEA,Nick Collison,0,41,4
CLE,Eric Snow,0,38,19
CLE,LeBron James,0,33,20
SEA,Damien Wilkins,0,10,16
CLE,Zydrunas Ilgauskas,0,33,23
SEA,Damien Wilkins,1,25,9
CLE,Larry Hughes,0,28,25
CLE,Zydrunas Ilgauskas,0,18,22
CLE,Zydrunas Ilgauskas,1,26,6
SEA,Luke Ridnour,1,24,13
CLE,Larry Hughes,1,24,9
SEA,Johan Petro,0,33,20
CLE,LeBron James,1,12,29
SEA,Luke Ridnour,0,23,8
SEA,Rashard Lewis,0,48,3
CLE,LeBron James,0,28,26
CLE,Zydrunas Ilgauskas,1,24,6
SEA,Earl Watson,1,48,15
CLE,Larry Hughes,1,25,5
SEA,Chris Wilcox,0,20,9
CLE,Larry Hughes,1,2,5
SEA,Chris Wilcox,0,30,9
CLE,Larry Hughes,0,10,27
CLE,Zydrunas Ilgauskas,0,35,6
SEA,Earl Watson,1,10,26
CLE,Larry Hughes,0,37,6
CLE,Anderson Varejao,1,24,5
SEA,Earl Watson,0,29,14
SEA,Chris Wilcox,1,32,4
SEA,Earl Watson,0,48,4
CLE,Eric Snow,1,25,7
SEA,Rashard Lewis,0,5,21
CLE,Donyell Marshall,1,4,19
SEA,Earl Watson,0,23,9
CLE,Donyell Marshall,0,13,28
SEA,Desmon Farmer,0,23,8
CLE,Damon Jones,0,48,3
SEA,Nick Collison,0,36,12
SEA,Chris Wilcox,1,24,5
CLE,Anderson Varejao,0,19,6
CLE,Daniel Gibson,1,17,24
SEA,Nick Collison,1,26,13
CLE,Donyell Marshall,1,26,10
SEA,Earl Watson,0,14,28
SEA,Desmon Farmer,0,11,27
CLE,Damon Jones,0,48,6
CLE,Daniel Gibson,0,26,22
CLE,Donyell Marshall,1,2,5
SEA,Damien Wilkins,0,2,8
CLE,Sasha Pavlovic,1,25,5
SEA,Chris Wilcox,1,26,13
CLE,Donyell Marshall,0,27,14
SEA,Chris Wilcox,1,24,5
CLE,David Wesley,0,49,5
SEA,Earl Watson,0,7,23
SEA,Mickael Gelabale,1,24,6
CLE,Daniel Gibson,1,25,5
SEA,Chris Wilcox,1,25,13
CLE,Ira Newble,0,26,6
SEA,Earl Watson,1,41,17
CLE,Daniel Gibson,0,12,18
SEA,Johan Petro,0,36,9
SEA,Mickael Gelabale,1,25,6
CLE,Eric Snow,1,25,8
SEA,Chris Wilcox,0,34,8
CLE,LeBron James,0,11,25
CLE,Eric Snow,0,25,11
CLE,LeBron James,1,24,7
SEA,Mike Wilks,0,41,7
CLE,Zydrunas Ilgauskas,0,42,11
CLE,LeBron James,1,32,26
SEA,Earl Watson,0,7,4
SEA,Mouhamed Sene,0,25,10
CLE,Donyell Marshall,0,2,4
SEA,Earl Watson,0,25,15
CLE,Sasha Pavlovic,0,32,9
CLE,Anderson Varejao,1,24,5
SEA,Mike Wilks,0,42,16
