LAL,Luke Walton,0,10,7
LAL,Smush Parker,0,25,6
WAS,Antawn Jamison,1,24,11
LAL,Vladimir Radmanovic,0,10,27
WAS,Gilbert Arenas,0,40,25
LAL,Vladimir Radmanovic,1,25,6
WAS,Caron Butler,0,8,13
LAL,Luke Walton,1,40,12
WAS,Antawn Jamison,1,39,26
LAL,Vladimir Radmanovic,0,25,6
WAS,Gilbert Arenas,1,25,6
LAL,Vladimir Radmanovic,0,9,26
WAS,DeShawn Stevenson,0,11,14
LAL,Luke Walton,0,25,6
WAS,Gilbert Arenas,1,11,11
LAL,Smush Parker,1,13,18
WAS,Brendan Haywood,0,35,6
LAL,Vladimir Radmanovic,1,25,6
WAS,Caron Butler,0,25,6
LAL,Smush Parker,0,10,27
WAS,Gilbert Arenas,1,9,7
LAL,Luke Walton,0,9,8
WAS,Gilbert Arenas,1,46,13
LAL,Kwame Brown,0,25,6
WAS,Antawn Jamison,0,41,26
LAL,Smush Parker,1,15,21
WAS,Antawn Jamison,1,25,6
LAL,Kobe Bryant,0,43,20
WAS,Antawn Jamison,1,39,26
LAL,Smush Parker,0,48,5
WAS,DeShawn Stevenson,1,25,6
LAL,Kwame Brown,1,25,6
LAL,Luke Walton,0,10,28
WAS,Gilbert Arenas,0,30,32
LAL,Smush Parker,0,25,30
WAS,Antawn Jamison,0,12,5
WAS,Antawn Jamison,0,25,6
LAL,Vladimir Radmanovic,1,1,6
WAS,Gilbert Arenas,0,11,27
WAS,DeShawn Stevenson,1,25,6
LAL,Vladimir Radmanovic,1,48,6
WAS,Gilbert Arenas,1,25,6
WAS,Gilbert Arenas,1,33,27
LAL,Jordan Farmar,0,33,25
WAS,Jarvis Hayes,1,19,23
LAL,Maurice Evans,0,47,19
WAS,Gilbert Arenas,0,32,23
LAL,Kobe Bryant,1,41,26
WAS,Antonio Daniels,0,34,19
WAS,James Lang,0,25,6
LAL,Kobe Bryant,1,10,7
WAS,Roger Mason,1,38,27
LAL,Kobe Bryant,1,12,22
WAS,Roger Mason,0,25,6
LAL,Kobe Bryant,0,16,20
WAS,Caron Butler,1,25,6
LAL,Andrew Bynum,0,25,6
WAS,Roger Mason,0,6,10
WAS,Jarvis Hayes,0,25,6
LAL,Luke Walton,1,25,6
WAS,James Lang,1,26,14
WAS,Gilbert Arenas,0,25,6
WAS,Antawn Jamison,1,25,6
LAL,Luke Walton,1,34,12
LAL,Vladimir Radmanovic,1,5,20
WAS,Antonio Daniels,1,7,23
LAL,Maurice Evans,1,12,18
WAS,Caron Butler,0,34,7
LAL,Smush Parker,0,25,6
LAL,Brian Cook,0,42,9
LAL,Vladimir Radmanovic,1,25,20
WAS,Gilbert Arenas,0,42,26
LAL,Smush Parker,0,11,21
WAS,Brendan Haywood,1,25,6
LAL,Kobe Bryant,0,25,6
WAS,Antawn Jamison,1,41,26
LAL,Smush Parker,0,25,6
WAS,Brendan Haywood,1,25,6
LAL,Kobe Bryant,1,8,25
WAS,Gilbert Arenas,0,32,31
LAL,Kobe Bryant,1,45,22
WAS,Antawn Jamison,0,37,14
LAL,Smush Parker,0,11,22
WAS,Antawn Jamison,0,22,26
WAS,DeShawn Stevenson,1,42,13
LAL,Kobe Bryant,1,32,19
WAS,DeShawn Stevenson,1,43,15
LAL,Kwame Brown,0,25,6
LAL,Kobe Bryant,1,6,23
LAL,Kobe Bryant,1,5,21
WAS,Caron Butler,0,25,21
LAL,Smush Parker,0,1,5
WAS,Gilbert Arenas,0,48,7
