SEA,Chris Wilcox,0,29,16
SEA,Ray Allen,1,25,6
NOK,Tyson Chandler,0,35,5
SEA,Ray Allen,0,25,28
SEA,Chris Wilcox,1,25,6
NOK,Jannero Pargo,1,9,15
SEA,Danny Fortson,1,22,8
SEA,Earl Watson,0,40,16
NOK,Chris Paul,0,35,16
SEA,Luke Ridnour,0,25,6
NOK,Desmond Mason,1,30,6
SEA,Chris Wilcox,0,23,7
NOK,Chris Paul,1,8,27
SEA,Luke Ridnour,0,22,8
SEA,Earl Watson,0,25,6
NOK,Jannero Pargo,1,25,24
SEA,Chris Wilcox,0,19,6
NOK,Desmond Mason,1,25,6
SEA,Ray Allen,0,4,21
NOK,Rasual Butler,0,43,5
NOK,Desmond Mason,0,41,4
SEA,Johan Petro,1,21,10
SEA,Ray Allen,0,28,7
NOK,Rasual Butler,1,10,28
SEA,Johan Petro,1,22,7
NOK,Jannero Pargo,0,44,22
NOK,Tyson Chandler,1,25,6
SEA,Chris Wilcox,1,7,5
NOK,Jannero Pargo,1,34,5
SEA,Luke Ridnour,1,13,25
NOK,Rasual Butler,0,14,20
SEA,Chris Wilcox,1,26,8
NOK,Desmond Mason,0,29,6
SEA,Damien Wilkins,1,45,5
NOK,Marc Jackson,1,22,25
SEA,Chris Wilcox,1,23,10
NOK,Rasual Butler,0,7,25
SEA,Damien Wilkins,0,43,24
NOK,Rasual Butler,0,26,26
SEA,Johan Petro,1,34,11
NOK,Marc Jackson,1,31,5
SEA,Johan Petro,1,26,8
NOK,Devin Brown,0,27,9
NOK,Marc Jackson,0,32,5
SEA,Nick Collison,0,42,4
NOK,Tyson Chandler,1,25,6
NOK,Rasual Butler,1,25,6
SEA,Nick Collison,1,21,8
NOK,Jannero Pargo,1,22,7
SEA,Nick Collison,1,20,23
NOK,Devin Brown,0,7,23
SEA,Luke Ridnour,1,31,30
NOK,Devin Brown,0,9,4
SEA,Luke Ridnour,1,25,6
NOK,Jannero Pargo,0,43,4
SEA,Earl Watson,0,10,18
