GSW,Jason Richardson,0,14,23
GSW,Andris Biedrins,1,25,9
PHI,Chris Webber,1,28,9
GSW,Matt Barnes,1,8,24
GSW,Baron Davis,0,9,27
PHI,Samuel Dalembert,0,15,8
GSW,Mickael Pietrus,1,27,8
GSW,Baron Davis,0,26,8
GSW,Mickael Pietrus,1,48,6
PHI,Chris Webber,0,21,10
GSW,Matt Barnes,1,2,6
PHI,Samuel Dalembert,1,17,21
GSW,Mickael Pietrus,1,48,5
PHI,Andre Iguodala,1,44,25
GSW,Matt Barnes,0,2,5
PHI,Samuel Dalembert,0,29,8
PHI,Rodney Carney,1,26,7
GSW,Matt Barnes,1,25,11
PHI,Andre Iguodala,0,23,10
GSW,Jason Richardson,0,3,5
PHI,Rodney Carney,0,9,7
PHI,Andre Miller,0,23,9
PHI,Andre Miller,0,36,11
GSW,Baron Davis,1,9,7
PHI,Andre Miller,1,27,9
PHI,Andre Miller,1,27,8
GSW,Andris Biedrins,1,24,10
PHI,Andre Miller,0,36,11
PHI,Rodney Carney,1,25,6
GSW,Andris Biedrins,1,26,7
PHI,Andre Miller,1,24,7
GSW,Baron Davis,1,25,9
PHI,Andre Miller,1,26,7
GSW,Baron Davis,1,23,8
PHI,Chris Webber,0,10,9
GSW,Baron Davis,0,43,25
PHI,Rodney Carney,1,26,11
GSW,Ike Diogu,0,37,13
PHI,Rodney Carney,0,18,10
GSW,Baron Davis,0,37,30
PHI,Andre Miller,0,27,8
PHI,Andre Miller,0,18,10
PHI,Rodney Carney,0,43,6
GSW,Jason Richardson,0,43,6
PHI,Rodney Carney,1,27,10
GSW,Ike Diogu,0,25,12
PHI,Kyle Korver,0,36,21
PHI,Kevin Ollie,0,25,6
PHI,Kyle Korver,1,34,8
GSW,Mickael Pietrus,0,37,12
PHI,Kyle Korver,0,1,5
GSW,Baron Davis,1,24,8
PHI,Kevin Ollie,0,37,22
GSW,Ike Diogu,0,29,11
PHI,Bobby Jones,0,27,11
PHI,Andre Iguodala,0,42,26
GSW,Ike Diogu,1,23,9
PHI,Bobby Jones,0,7,5
GSW,Ike Diogu,1,23,9
PHI,Joe Smith,0,25,13
GSW,Ike Diogu,1,26,11
PHI,Rodney Carney,0,29,11
GSW,Baron Davis,1,22,9
PHI,Kyle Korver,1,9,6
GSW,Mickael Pietrus,0,1,6
PHI,Andre Miller,0,22,9
PHI,Joe Smith,1,23,7
PHI,Andre Miller,1,22,7
GSW,Matt Barnes,1,23,32
PHI,Andre Iguodala,1,15,22
GSW,Jason Richardson,1,28,7
PHI,Kyle Korver,0,38,28
GSW,Andris Biedrins,1,27,7
PHI,Rodney Carney,1,25,6
GSW,Baron Davis,1,22,7
GSW,Mike Dunleavy,0,47,18
PHI,Rodney Carney,1,14,8
GSW,Jason Richardson,0,48,9
PHI,Samuel Dalembert,0,25,10
GSW,Mike Dunleavy,1,25,32
PHI,Kyle Korver,0,7,18
PHI,Rodney Carney,0,30,28
GSW,Mike Dunleavy,1,45,6
PHI,Rodney Carney,0,20,12
PHI,Alan Henderson,1,25,6
GSW,Baron Davis,0,42,12
GSW,Andris Biedrins,1,25,6
PHI,Samuel Dalembert,1,21,9
GSW,Andris Biedrins,1,25,6
PHI,Andre Iguodala,0,25,23
GSW,Matt Barnes,1,48,4
PHI,Chris Webber,1,25,6
GSW,Matt Barnes,1,24,31
GSW,Matt Barnes,1,8,25
PHI,Chris Webber,0,10,7
GSW,Andris Biedrins,0,22,9
GSW,Jason Richardson,1,4,20
PHI,Chris Webber,0,29,9
GSW,Baron Davis,1,20,9
PHI,Kyle Korver,0,13,16
PHI,Andre Miller,1,27,8
PHI,Andre Iguodala,0,18,9
PHI,Andre Miller,1,26,7
PHI,Andre Miller,0,6,11
PHI,Andre Iguodala,1,25,6
GSW,Andris Biedrins,0,28,9
PHI,Kyle Korver,0,43,23
GSW,Jason Richardson,0,6,22
GSW,Andris Biedrins,1,25,6
PHI,Andre Iguodala,0,12,13
PHI,Joe Smith,0,27,9
GSW,Ike Diogu,1,22,9
PHI,Rodney Carney,1,18,9
GSW,Matt Barnes,1,13,30
PHI,Kyle Korver,1,24,31
GSW,Jason Richardson,1,12,19
GSW,Jason Richardson,0,22,24
PHI,Rodney Carney,1,26,21
GSW,Ike Diogu,0,24,11
PHI,Kevin Ollie,0,27,9
GSW,Ike Diogu,0,24,11
PHI,Bobby Jones,1,25,8
GSW,Jason Richardson,0,33,39
GSW,Mickael Pietrus,0,1,6
PHI,Kevin Ollie,1,27,7
PHI,Rodney Carney,0,22,22
GSW,Mike Dunleavy,1,2,8
PHI,Joe Smith,0,7,6
PHI,Rodney Carney,0,26,9
PHI,Rodney Carney,0,25,6
GSW,Mickael Pietrus,0,48,5
GSW,Baron Davis,1,12,17
PHI,Kevin Ollie,1,33,19
GSW,Andris Biedrins,0,26,9
PHI,Rodney Carney,1,20,9
GSW,Baron Davis,0,15,8
PHI,Joe Smith,0,24,17
GSW,Mike Dunleavy,0,30,9
GSW,Baron Davis,0,34,30
PHI,Rodney Carney,0,44,12
PHI,Joe Smith,1,31,18
GSW,Baron Davis,0,13,25
GSW,Mickael Pietrus,1,23,7
PHI,Joe Smith,0,39,19
PHI,Rodney Carney,1,25,6
GSW,Baron Davis,1,48,5
GSW,Mike Dunleavy,1,24,7
PHI,Joe Smith,1,27,8
PHI,Bobby Jones,1,22,10
GSW,Mike Dunleavy,0,2,7
GSW,Mickael Pietrus,1,27,8
GSW,Mike Dunleavy,0,20,27
PHI,Rodney Carney,1,17,21
