SEA,Nick Collison,1,25,6
SAC,Kevin Martin,0,25,11
SAC,Kenny Thomas,1,25,12
SEA,Ray Allen,0,23,22
SAC,Mike Bibby,0,48,8
SEA,Ray Allen,1,25,6
SAC,Ron Artest,0,11,29
SAC,Mike Bibby,0,28,32
SAC,Shareef Abdur-Rahim,1,25,6
SEA,Luke Ridnour,0,24,32
SAC,Shareef Abdur-Rahim,1,25,6
SEA,Rashard Lewis,0,22,9
SAC,Kevin Martin,0,6,5
SEA,Ray Allen,1,35,13
SAC,Shareef Abdur-Rahim,0,27,15
SEA,Luke Ridnour,0,42,5
SAC,Kevin Martin,1,24,10
SEA,Luke Ridnour,1,25,6
SAC,Ron Artest,1,25,6
SEA,Nick Collison,0,27,11
SAC,Ron Artest,1,45,23
SEA,Rashard Lewis,0,47,20
SEA,Chris Wilcox,0,25,11
SAC,Kenny Thomas,1,25,6
SEA,Ray Allen,0,22,31
SAC,Shareef Abdur-Rahim,1,25,23
SEA,Ray Allen,0,25,6
SAC,Ron Artest,1,9,26
SEA,Ray Allen,0,49,13
SEA,Chris Wilcox,1,25,6
SAC,Mike Bibby,0,44,7
SAC,Mike Bibby,0,6,6
SEA,Rashard Lewis,1,36,5
SEA,Rashard Lewis,0,8,10
SAC,Ron Artest,0,40,16
SEA,Ray Allen,1,42,26
SAC,Ron Artest,1,25,6
SEA,Chris Wilcox,1,25,6
SAC,Ron Artest,0,8,25
SEA,Rashard Lewis,0,48,12
SAC,Corliss Williamson,0,11,9
SAC,John Salmons,0,9,36
SAC,Francisco Garcia,1,7,20
SEA,Mickael Gelabale,0,34,11
SAC,Kevin Martin,1,45,24
SEA,Ray Allen,0,20,22
SEA,Earl Watson,0,11,29
SEA,Ray Allen,0,45,9
SEA,Andre Brown,0,25,6
SAC,Francisco Garcia,1,43,25
SEA,Earl Watson,0,25,6
SEA,Earl Watson,1,30,32
SEA,Ray Allen,1,37,25
SAC,Corliss Williamson,1,25,6
SEA,Rashard Lewis,0,19,8
SEA,Ray Allen,0,6,5
SAC,John Salmons,0,25,12
SEA,Rashard Lewis,1,32,31
SAC,Kevin Martin,1,24,22
SEA,Ray Allen,0,32,21
SAC,Kevin Martin,1,46,20
SEA,Luke Ridnour,0,25,12
SEA,Rashard Lewis,0,29,32
SAC,Kevin Martin,0,40,16
SEA,Damien Wilkins,0,25,6
SAC,Ron Artest,1,2,17
SEA,Damien Wilkins,0,4,14
SAC,Francisco Garcia,0,25,32
SEA,Chris Wilcox,1,25,6
SAC,Ron Artest,0,23,28
SAC,Mike Bibby,1,20,28
SEA,Ray Allen,0,25,6
SEA,Ray Allen,1,25,6
SAC,Mike Bibby,0,25,6
SEA,Luke Ridnour,1,42,15
SAC,Mike Bibby,0,45,5
SAC,Kenny Thomas,1,25,6
SEA,Chris Wilcox,1,25,6
SAC,Kevin Martin,0,48,18
SEA,Ray Allen,1,38,5
SAC,Ron Artest,0,34,7
SAC,Kevin Martin,1,41,27
SEA,Ray Allen,0,21,32
SEA,Rashard Lewis,0,9,12
SAC,Shareef Abdur-Rahim,1,25,6
SAC,Kevin Martin,1,32,21
SAC,Mike Bibby,1,25,29
SEA,Ray Allen,1,29,32
SAC,Ron Artest,0,28,27
SEA,Nick Collison,1,26,11
SAC,Kenny Thomas,1,20,7
SAC,Mike Bibby,0,39,22
SEA,Chris Wilcox,0,18,5
SAC,Ron Artest,1,25,6
SEA,Ray Allen,1,23,31
SAC,Kenny Thomas,0,21,8
SEA,Nick Collison,1,25,6
SAC,Shareef Abdur-Rahim,1,35,18
SAC,John Salmons,0,13,5
SEA,Earl Watson,0,0,9
SAC,Ron Artest,1,28,8
SEA,Rashard Lewis,0,32,8
SAC,Francisco Garcia,1,31,32
SAC,Shareef Abdur-Rahim,0,39,5
SAC,Mike Bibby,0,6,25
SAC,Corliss Williamson,0,22,10
SAC,Kevin Martin,0,40,28
SEA,Ray Allen,0,25,6
SEA,Nick Collison,1,25,6
SAC,Corliss Williamson,1,22,9
SEA,Mickael Gelabale,0,9,28
SAC,Corliss Williamson,0,20,7
SEA,Earl Watson,0,7,25
SEA,Nick Collison,1,22,7
SAC,Kevin Martin,0,19,19
SEA,Ray Allen,0,47,20
SEA,Nick Collison,0,17,6
SEA,Luke Ridnour,0,47,19
SAC,Corliss Williamson,1,25,6
SAC,Kevin Martin,0,22,9
SAC,Kevin Martin,0,23,11
SAC,Corliss Williamson,1,25,6
SEA,Earl Watson,0,43,26
SAC,Kevin Martin,0,19,10
SEA,Rashard Lewis,0,29,31
SAC,Corliss Williamson,1,24,12
SEA,Nick Collison,1,25,6
SEA,Luke Ridnour,1,15,6
SAC,John Salmons,1,31,32
SAC,Shareef Abdur-Rahim,1,31,21
SAC,Francisco Garcia,1,1,6
SEA,Luke Ridnour,1,48,5
SAC,John Salmons,1,40,5
SEA,Ray Allen,0,47,20
SAC,Kevin Martin,1,25,6
SEA,Johan Petro,1,29,8
SAC,Quincy Douby,0,15,24
SAC,Justin Williams,0,25,6
SAC,Francisco Garcia,0,25,6
SEA,Damien Wilkins,1,25,6
SEA,Johan Petro,0,13,10
SAC,Justin Williams,0,25,10
SAC,Quincy Douby,0,21,9
SEA,Mickael Gelabale,0,4,6
SAC,Justin Williams,0,25,10
SAC,Quincy Douby,1,21,8
SEA,Damien Wilkins,1,45,22
SEA,Johan Petro,0,25,13
SAC,Francisco Garcia,1,25,6
SEA,Luke Ridnour,0,27,32
