CHI,P.J. Brown,0,16,7
CHI,Luol Deng,0,24,17
CHI,Ben Gordon,1,10,26
ORL,Grant Hill,0,42,11
CHI,P.J. Brown,0,25,6
ORL,Darko Milicic,1,25,6
CHI,Luol Deng,0,31,28
ORL,Jameer Nelson,1,25,6
CHI,Ben Gordon,1,26,32
ORL,Hedo Turkoglu,1,15,8
CHI,Kirk Hinrich,0,9,5
ORL,Grant Hill,1,25,6
CHI,Kirk Hinrich,1,38,18
CHI,Ben Gordon,1,9,21
CHI,Ben Gordon,1,9,19
ORL,Darko Milicic,1,26,27
CHI,P.J. Brown,0,18,24
ORL,Grant Hill,1,25,6
ORL,Jameer Nelson,0,21,17
ORL,Darko Milicic,1,25,6
CHI,Ben Gordon,0,10,19
ORL,Grant Hill,0,39,9
CHI,Kirk Hinrich,0,49,7
ORL,Dwight Howard,0,34,9
ORL,Darko Milicic,0,25,6
ORL,Dwight Howard,0,25,6
CHI,Ben Wallace,1,22,9
CHI,Kirk Hinrich,1,25,6
ORL,Darko Milicic,1,38,6
CHI,Ben Gordon,0,22,15
ORL,Dwight Howard,1,18,8
CHI,Kirk Hinrich,0,36,21
CHI,Luol Deng,1,10,17
ORL,Jameer Nelson,1,40,18
CHI,Ben Gordon,1,39,22
ORL,Grant Hill,0,12,6
ORL,Darko Milicic,1,25,6
CHI,Luol Deng,0,42,10
CHI,Luol Deng,0,25,6
ORL,Dwight Howard,1,25,6
CHI,Malik Allen,0,37,16
CHI,Malik Allen,0,25,6
ORL,Dwight Howard,1,25,6
ORL,Hedo Turkoglu,0,45,23
CHI,Adrian Griffin,0,19,19
ORL,Carlos Arroyo,0,9,8
ORL,Keyon Dooling,0,42,20
CHI,Chris Duhon,1,45,23
ORL,Trevor Ariza,1,18,24
ORL,Bo Outlaw,1,25,6
ORL,Bo Outlaw,1,25,6
CHI,Thabo Sefolosha,0,11,26
ORL,Keyon Dooling,0,16,23
CHI,Malik Allen,0,18,13
CHI,Malik Allen,1,25,6
CHI,Michael Sweetney,1,25,6
CHI,Michael Sweetney,0,25,6
CHI,Malik Allen,0,13,23
ORL,Carlos Arroyo,0,44,15
ORL,Trevor Ariza,0,20,18
ORL,Trevor Ariza,0,25,6
CHI,Kirk Hinrich,1,6,8
CHI,Kirk Hinrich,0,38,17
CHI,Ben Wallace,0,25,6
CHI,Michael Sweetney,1,25,6
CHI,Kirk Hinrich,0,13,28
CHI,Chris Duhon,0,10,25
ORL,Jameer Nelson,1,33,31
CHI,Luol Deng,0,14,19
CHI,Luol Deng,1,25,6
ORL,Hedo Turkoglu,0,25,6
ORL,Dwight Howard,0,25,6
CHI,Malik Allen,1,26,13
ORL,Darko Milicic,0,24,26
CHI,Chris Duhon,0,48,14
ORL,Jameer Nelson,1,40,25
CHI,Malik Allen,0,24,14
CHI,Kirk Hinrich,1,13,28
ORL,Grant Hill,0,11,7
ORL,Carlos Arroyo,0,39,22
CHI,Luol Deng,1,14,7
ORL,Grant Hill,0,43,5
ORL,Jameer Nelson,0,49,5
ORL,Grant Hill,1,41,6
ORL,Grant Hill,1,38,7
CHI,P.J. Brown,0,40,16
CHI,P.J. Brown,0,25,6
CHI,Luol Deng,0,9,6
ORL,Jameer Nelson,0,25,6
ORL,Darko Milicic,0,25,6
CHI,Luol Deng,1,25,6
ORL,Dwight Howard,1,24,11
CHI,Luol Deng,0,41,7
ORL,Jameer Nelson,0,25,6
CHI,Kirk Hinrich,0,39,10
CHI,Ben Gordon,0,13,11
ORL,Dwight Howard,1,25,6
CHI,Kirk Hinrich,0,43,18
CHI,P.J. Brown,0,35,21
ORL,Hedo Turkoglu,0,10,26
ORL,Hedo Turkoglu,0,3,6
CHI,P.J. Brown,0,25,6
CHI,Luol Deng,1,25,6
CHI,Ben Gordon,0,41,24
ORL,Jameer Nelson,0,30,27
ORL,Grant Hill,0,6,5
ORL,Grant Hill,0,26,14
ORL,Darko Milicic,1,27,13
CHI,Malik Allen,0,18,9
CHI,Ben Gordon,0,1,5
ORL,Hedo Turkoglu,1,40,25
CHI,Malik Allen,1,15,21
CHI,Ben Gordon,1,2,8
ORL,Darko Milicic,0,35,6
CHI,Ben Gordon,1,27,26
ORL,Darko Milicic,0,25,13
CHI,Ben Gordon,0,40,26
CHI,Ben Gordon,0,38,18
CHI,Luol Deng,1,7,13
ORL,Jameer Nelson,1,15,22
CHI,Chris Duhon,0,13,25
CHI,Ben Gordon,1,16,25
ORL,Hedo Turkoglu,0,9,46
ORL,Keyon Dooling,0,40,6
ORL,Carlos Arroyo,0,8,20
CHI,Tyrus Thomas,1,25,6
ORL,Grant Hill,0,25,27
ORL,Trevor Ariza,1,25,6
ORL,Grant Hill,1,25,6
CHI,Luol Deng,1,16,26
ORL,Grant Hill,0,25,6
ORL,Trevor Ariza,1,25,6
CHI,Luol Deng,1,42,20
ORL,Grant Hill,0,25,6
ORL,Dwight Howard,1,25,6
CHI,Ben Gordon,1,36,23
ORL,Grant Hill,0,8,6
CHI,Ben Gordon,0,36,23
CHI,Chris Duhon,1,49,4
ORL,Keyon Dooling,1,43,13
CHI,Luol Deng,1,30,25
ORL,Keyon Dooling,0,44,22
CHI,Ben Gordon,0,2,7
CHI,Kirk Hinrich,0,39,26
ORL,Dwight Howard,1,25,6
CHI,Luol Deng,0,25,6
CHI,Luol Deng,0,17,24
CHI,Luol Deng,0,43,13
ORL,Jameer Nelson,1,43,16
CHI,Kirk Hinrich,0,40,27
ORL,Jameer Nelson,0,25,6
CHI,Ben Gordon,1,2,5
ORL,Hedo Turkoglu,0,33,27
CHI,Kirk Hinrich,0,25,6
