CHI,Luol Deng,1,7,5
CHI,Ben Wallace,0,22,11
CHI,Kirk Hinrich,0,36,19
CHI,Luol Deng,1,25,6
CHI,P.J. Brown,0,18,24
BOS,Delonte West,0,14,25
BOS,Al Jefferson,0,25,6
CHI,Ben Gordon,0,9,14
BOS,Delonte West,1,25,6
CHI,Ben Gordon,1,11,21
BOS,Delonte West,0,25,6
BOS,Kendrick Perkins,1,25,6
BOS,Al Jefferson,0,28,13
CHI,P.J. Brown,0,25,6
BOS,Paul Pierce,1,26,18
CHI,Luol Deng,1,25,6
BOS,Brian Scalabrine,1,45,7
CHI,Luol Deng,1,7,12
BOS,Al Jefferson,1,38,18
CHI,Ben Wallace,1,37,16
BOS,Al Jefferson,1,25,6
CHI,P.J. Brown,1,25,6
BOS,Delonte West,1,48,5
CHI,Ben Wallace,1,25,12
BOS,Paul Pierce,0,25,6
CHI,Luol Deng,1,25,6
CHI,Ben Wallace,0,25,6
CHI,Tyrus Thomas,1,25,6
CHI,Kirk Hinrich,1,6,6
BOS,Paul Pierce,1,17,24
CHI,Chris Duhon,0,25,6
BOS,Paul Pierce,1,20,18
CHI,Kirk Hinrich,0,25,6
BOS,Paul Pierce,0,39,27
CHI,Luol Deng,1,31,11
BOS,Delonte West,1,2,4
BOS,Brian Scalabrine,0,45,22
CHI,Kirk Hinrich,0,23,21
BOS,Sebastian Telfair,1,49,5
BOS,Rajon Rondo,0,25,6
BOS,Gerald Green,0,25,6
BOS,Gerald Green,0,24,46
CHI,Tyrus Thomas,1,26,11
CHI,Adrian Griffin,1,25,6
BOS,Gerald Green,0,25,6
CHI,Tyrus Thomas,1,25,6
BOS,Gerald Green,0,2,6
BOS,Paul Pierce,1,26,15
CHI,Tyrus Thomas,1,18,18
BOS,Paul Pierce,1,33,18
CHI,Thabo Sefolosha,0,25,6
BOS,Gerald Green,1,25,6
BOS,Paul Pierce,0,42,7
CHI,Ben Gordon,1,10,10
BOS,Al Jefferson,0,18,9
CHI,Tyrus Thomas,1,38,8
BOS,Brian Scalabrine,0,19,31
CHI,Adrian Griffin,1,25,6
BOS,Al Jefferson,1,25,6
CHI,Kirk Hinrich,1,35,25
BOS,Gerald Green,0,44,23
CHI,P.J. Brown,0,33,7
CHI,Luol Deng,0,6,6
CHI,Kirk Hinrich,0,14,8
CHI,Ben Wallace,0,19,12
BOS,Al Jefferson,0,25,6
CHI,Luol Deng,1,25,6
BOS,Al Jefferson,1,9,15
CHI,Ben Wallace,0,37,11
BOS,Delonte West,1,25,6
CHI,Luol Deng,0,17,26
BOS,Delonte West,0,44,23
CHI,Ben Wallace,0,25,6
CHI,Ben Wallace,1,25,6
BOS,Al Jefferson,1,41,8
CHI,Thabo Sefolosha,0,25,6
CHI,Ben Wallace,1,25,6
BOS,Al Jefferson,1,25,6
CHI,P.J. Brown,0,42,13
BOS,Kendrick Perkins,1,25,6
CHI,Ben Wallace,1,19,8
BOS,Delonte West,1,25,6
CHI,P.J. Brown,0,30,15
CHI,Ben Wallace,0,25,6
BOS,Delonte West,1,25,6
CHI,Ben Gordon,0,48,4
CHI,Ben Wallace,0,30,11
CHI,Ben Wallace,0,25,6
BOS,Kendrick Perkins,1,40,7
CHI,Ben Wallace,0,26,12
BOS,Paul Pierce,1,25,6
CHI,Ben Wallace,1,12,16
BOS,Paul Pierce,0,38,28
CHI,Luol Deng,0,11,20
CHI,Kirk Hinrich,0,14,21
CHI,Tyrus Thomas,1,25,6
BOS,Rajon Rondo,0,25,6
CHI,Luol Deng,1,25,6
BOS,Kendrick Perkins,1,32,11
CHI,Ben Wallace,0,25,13
CHI,Tyrus Thomas,0,32,22
CHI,Luol Deng,1,25,6
BOS,Al Jefferson,0,13,9
BOS,Paul Pierce,0,39,12
CHI,Luol Deng,0,25,6
BOS,Rajon Rondo,0,24,15
CHI,Ben Wallace,1,25,6
BOS,Al Jefferson,0,36,4
BOS,Paul Pierce,0,2,5
CHI,Tyrus Thomas,0,25,6
BOS,Paul Pierce,1,23,13
CHI,Adrian Griffin,0,25,6
CHI,Ben Gordon,1,48,5
BOS,Sebastian Telfair,1,25,32
CHI,Tyrus Thomas,0,25,6
CHI,Tyrus Thomas,1,25,6
BOS,Sebastian Telfair,0,40,46
BOS,Delonte West,1,49,5
CHI,Ben Gordon,0,24,26
BOS,Al Jefferson,0,26,12
CHI,Ben Wallace,0,23,11
BOS,Sebastian Telfair,0,11,15
CHI,Tyrus Thomas,1,25,6
BOS,Sebastian Telfair,0,21,17
BOS,Paul Pierce,1,11,28
CHI,Kirk Hinrich,1,12,24
BOS,Rajon Rondo,1,21,16
CHI,Tyrus Thomas,0,28,21
BOS,Brian Scalabrine,0,8,25
BOS,Brian Scalabrine,0,10,6
CHI,Tyrus Thomas,0,15,14
CHI,Ben Wallace,0,25,6
BOS,Delonte West,1,8,5
BOS,Delonte West,0,34,20
CHI,Ben Gordon,0,27,16
BOS,Paul Pierce,0,14,22
CHI,Ben Wallace,1,25,6
BOS,Rajon Rondo,0,8,13
BOS,Paul Pierce,0,5,22
CHI,Luol Deng,0,9,15
BOS,Delonte West,0,25,6
BOS,Al Jefferson,1,31,8
CHI,Kirk Hinrich,0,25,6
CHI,Ben Wallace,1,25,6
BOS,Delonte West,0,49,5
CHI,Luol Deng,0,41,19
BOS,Al Jefferson,1,25,6
CHI,Tyrus Thomas,1,25,6
BOS,Gerald Green,1,25,6
BOS,Al Jefferson,1,25,6
BOS,Paul Pierce,0,37,28
