NJN,Jason Kidd,1,6,17
ORL,Hedo Turkoglu,0,43,8
NJN,Jason Collins,0,41,11
NJN,Mikki Moore,1,30,21
ORL,Hedo Turkoglu,0,17,8
ORL,Grant Hill,1,25,6
NJN,Mikki Moore,1,9,21
ORL,Jameer Nelson,0,25,6
NJN,Vince Carter,1,36,31
ORL,Jameer Nelson,1,46,19
NJN,Vince Carter,1,25,6
ORL,Jameer Nelson,0,45,22
NJN,Vince Carter,0,43,13
ORL,Grant Hill,1,37,4
NJN,Mikki Moore,0,12,19
ORL,Grant Hill,0,12,14
ORL,Tony Battie,0,25,6
NJN,Richard Jefferson,0,43,6
ORL,Hedo Turkoglu,1,36,10
ORL,Grant Hill,1,25,6
NJN,Mikki Moore,1,44,6
ORL,Hedo Turkoglu,0,25,6
ORL,Dwight Howard,0,25,6
ORL,Jameer Nelson,1,31,12
NJN,Vince Carter,1,8,14
NJN,Mikki Moore,0,21,27
NJN,Mikki Moore,1,42,5
ORL,Grant Hill,0,40,19
NJN,Jason Kidd,0,11,23
ORL,Tony Battie,1,27,19
NJN,Jason Kidd,0,37,7
ORL,Hedo Turkoglu,1,48,8
NJN,Vince Carter,0,25,6
NJN,Vince Carter,1,11,18
ORL,Dwight Howard,0,25,6
NJN,Vince Carter,0,26,31
ORL,Jameer Nelson,0,49,7
NJN,Marcus Williams,0,43,8
NJN,Vince Carter,1,25,6
NJN,Marcus Williams,0,25,6
ORL,Keyon Dooling,1,25,6
NJN,Eddie House,0,25,27
NJN,Clifford Robinson,0,34,23
ORL,Trevor Ariza,0,20,25
NJN,Marcus Williams,0,23,10
NJN,Marcus Williams,0,25,6
NJN,Mikki Moore,0,25,6
ORL,Keyon Dooling,0,25,6
ORL,Dwight Howard,0,28,10
ORL,Darko Milicic,0,25,6
NJN,Eddie House,0,45,5
NJN,Eddie House,1,3,6
ORL,Keyon Dooling,0,11,21
NJN,Bostjan Nachbar,0,25,6
ORL,Trevor Ariza,0,28,11
ORL,Hedo Turkoglu,0,26,22
ORL,Hedo Turkoglu,0,44,27
ORL,Trevor Ariza,1,25,6
NJN,Richard Jefferson,1,48,5
ORL,J.J. Redick,0,4,5
NJN,Jason Kidd,0,16,23
ORL,Darko Milicic,0,27,12
NJN,Richard Jefferson,1,23,17
NJN,Vince Carter,0,42,6
ORL,Grant Hill,1,37,18
NJN,Eddie House,1,29,31
ORL,Grant Hill,0,16,24
NJN,Vince Carter,1,25,6
ORL,Grant Hill,0,42,9
ORL,Jameer Nelson,0,25,6
ORL,Trevor Ariza,0,25,6
NJN,Richard Jefferson,1,25,6
ORL,Dwight Howard,1,25,6
NJN,Eddie House,0,8,20
NJN,Eddie House,0,3,19
NJN,Mikki Moore,0,25,6
ORL,Grant Hill,1,38,11
NJN,Mikki Moore,0,37,19
ORL,Jameer Nelson,1,25,6
NJN,Antoine Wright,1,7,14
ORL,Jameer Nelson,0,25,6
NJN,Richard Jefferson,1,3,17
ORL,Hedo Turkoglu,0,33,30
ORL,Trevor Ariza,1,25,6
NJN,Eddie House,0,24,28
NJN,Vince Carter,1,34,22
ORL,Jameer Nelson,0,44,6
NJN,Mikki Moore,0,45,5
ORL,Grant Hill,0,9,13
NJN,Vince Carter,1,4,19
NJN,Mikki Moore,0,25,6
NJN,Vince Carter,0,45,23
ORL,Hedo Turkoglu,0,11,18
ORL,Tony Battie,0,23,23
ORL,Tony Battie,1,25,6
NJN,Richard Jefferson,0,44,8
ORL,Jameer Nelson,0,17,20
NJN,Mikki Moore,0,36,8
ORL,Grant Hill,1,40,5
NJN,Richard Jefferson,1,47,9
ORL,Tony Battie,1,39,17
NJN,Richard Jefferson,0,48,10
ORL,Jameer Nelson,1,25,6
NJN,Richard Jefferson,1,9,18
ORL,Dwight Howard,1,31,5
NJN,Richard Jefferson,0,25,6
NJN,Jason Kidd,0,10,26
ORL,Dwight Howard,1,25,6
NJN,Mikki Moore,0,44,7
NJN,Mikki Moore,0,27,27
NJN,Vince Carter,0,25,6
NJN,Mikki Moore,1,25,6
ORL,Carlos Arroyo,0,28,22
NJN,Vince Carter,0,22,28
ORL,Carlos Arroyo,1,25,6
ORL,Darko Milicic,1,25,6
NJN,Vince Carter,0,5,4
NJN,Mikki Moore,0,25,6
NJN,Clifford Robinson,0,1,7
NJN,Marcus Williams,0,47,19
ORL,Darko Milicic,1,25,6
NJN,Jason Kidd,1,42,24
ORL,Keyon Dooling,0,25,6
ORL,Keyon Dooling,0,25,6
NJN,Josh Boone,0,25,6
ORL,Trevor Ariza,0,10,7
ORL,Hedo Turkoglu,0,25,6
ORL,Darko Milicic,1,25,6
NJN,Richard Jefferson,0,25,6
ORL,Hedo Turkoglu,1,25,6
NJN,Josh Boone,1,25,6
ORL,Carlos Arroyo,1,23,23
NJN,Jason Kidd,1,25,6
ORL,Carlos Arroyo,1,25,6
ORL,Hedo Turkoglu,0,6,21
ORL,Jameer Nelson,0,41,5
ORL,Jameer Nelson,0,25,6
ORL,Trevor Ariza,1,25,6
NJN,Vince Carter,0,25,6
ORL,Jameer Nelson,1,25,6
NJN,Vince Carter,0,44,23
NJN,Eddie House,0,12,27
ORL,Grant Hill,0,10,5
ORL,Jameer Nelson,1,25,6
NJN,Jason Kidd,0,16,29
NJN,Vince Carter,0,25,6
ORL,Jameer Nelson,1,34,23
NJN,Richard Jefferson,1,25,6
ORL,Jameer Nelson,0,12,28
NJN,Richard Jefferson,0,48,8
NJN,Richard Jefferson,0,25,6
NJN,Richard Jefferson,1,25,6
ORL,Hedo Turkoglu,0,10,21
NJN,Bostjan Nachbar,0,5,21
ORL,Jameer Nelson,0,25,6
NJN,Jason Kidd,0,25,6
NJN,Vince Carter,0,13,29
ORL,Trevor Ariza,0,25,6
ORL,Jameer Nelson,1,35,24
NJN,Jason Kidd,0,44,23
NJN,Vince Carter,1,25,6
NJN,Vince Carter,0,46,22
