NJN,Richard Jefferson,0,39,14
PHI,Andre Iguodala,0,10,16
NJN,Mikki Moore,1,12,20
PHI,Andre Miller,1,7,9
NJN,Jason Kidd,0,24,31
PHI,Samuel Dalembert,1,25,6
NJN,Jason Collins,0,14,22
PHI,Rodney Carney,1,25,6
NJN,Vince Carter,0,39,19
NJN,Vince Carter,1,25,6
PHI,Samuel Dalembert,1,24,25
NJN,Jason Kidd,0,11,28
PHI,Rodney Carney,0,42,7
PHI,Rodney Carney,0,2,5
PHI,Steven Hunter,0,28,11
NJN,Vince Carter,1,25,6
PHI,Andre Iguodala,1,28,29
NJN,Mikki Moore,0,32,24
NJN,Bostjan Nachbar,0,25,6
PHI,Rodney Carney,0,13,16
PHI,Andre Miller,0,8,7
NJN,Richard Jefferson,0,26,26
PHI,Samuel Dalembert,1,37,16
NJN,Mikki Moore,0,11,19
PHI,Rodney Carney,1,44,7
NJN,Jason Kidd,0,14,25
NJN,Bostjan Nachbar,0,20,25
PHI,Samuel Dalembert,0,41,9
PHI,Kyle Korver,0,39,26
NJN,Jason Kidd,0,25,6
NJN,Josh Boone,1,25,6
NJN,Clifford Robinson,1,8,7
PHI,Kyle Korver,0,13,22
PHI,Andre Miller,1,30,23
PHI,Andre Miller,0,25,13
NJN,Bostjan Nachbar,1,25,6
PHI,Kyle Korver,1,12,23
PHI,Kyle Korver,0,9,18
PHI,Kyle Korver,0,18,24
PHI,Willie Green,0,14,26
NJN,Antoine Wright,0,25,6
NJN,Marcus Williams,0,18,24
NJN,Richard Jefferson,0,1,5
PHI,Steven Hunter,0,25,11
PHI,Joe Smith,0,30,9
NJN,Antoine Wright,1,25,6
PHI,Willie Green,1,19,13
NJN,Antoine Wright,1,6,7
PHI,Willie Green,0,10,20
PHI,Louis Williams,1,25,6
NJN,Richard Jefferson,1,25,6
NJN,Clifford Robinson,0,11,11
PHI,Joe Smith,1,25,6
NJN,Jason Kidd,0,4,18
PHI,Kyle Korver,0,10,7
PHI,Kyle Korver,1,31,25
PHI,Andre Miller,0,34,25
NJN,Antoine Wright,1,2,5
PHI,Andre Iguodala,1,25,6
PHI,Steven Hunter,1,25,6
NJN,Antoine Wright,0,25,6
NJN,Mikki Moore,1,25,6
PHI,Andre Miller,1,8,17
PHI,Samuel Dalembert,0,25,6
PHI,Joe Smith,0,31,23
PHI,Andre Miller,1,13,18
NJN,Mikki Moore,1,25,6
PHI,Kyle Korver,1,11,22
NJN,Jason Kidd,1,25,6
NJN,Jason Kidd,0,25,6
NJN,Richard Jefferson,0,35,26
PHI,Rodney Carney,1,9,17
NJN,Vince Carter,0,36,20
PHI,Samuel Dalembert,0,34,19
PHI,Andre Miller,0,40,6
NJN,Vince Carter,0,25,6
NJN,Vince Carter,1,25,6
PHI,Joe Smith,1,23,24
NJN,Richard Jefferson,1,25,6
PHI,Rodney Carney,1,39,17
NJN,Vince Carter,0,25,6
NJN,Vince Carter,0,25,6
PHI,Joe Smith,1,14,21
NJN,Richard Jefferson,0,25,6
NJN,Jason Kidd,1,25,6
PHI,Rodney Carney,1,21,25
NJN,Jason Kidd,0,2,8
PHI,Andre Miller,0,37,18
NJN,Vince Carter,1,25,6
PHI,Andre Iguodala,0,10,16
NJN,Vince Carter,1,25,12
NJN,Vince Carter,1,11,28
PHI,Andre Miller,0,40,13
NJN,Vince Carter,1,11,19
PHI,Andre Iguodala,1,18,24
PHI,Andre Iguodala,0,25,6
NJN,Mikki Moore,1,20,12
PHI,Samuel Dalembert,0,41,5
PHI,Joe Smith,1,25,6
PHI,Andre Iguodala,0,20,25
NJN,Antoine Wright,0,25,6
NJN,Jason Kidd,1,25,6
PHI,Joe Smith,0,11,11
PHI,Andre Miller,0,25,6
NJN,Antoine Wright,1,25,6
PHI,Kyle Korver,0,11,27
PHI,Kyle Korver,0,43,18
PHI,Joe Smith,1,40,14
NJN,Jason Kidd,0,37,18
NJN,Marcus Williams,0,38,26
PHI,Andre Miller,1,25,6
NJN,Marcus Williams,0,25,6
PHI,Kyle Korver,0,6,6
PHI,Willie Green,0,7,7
NJN,Richard Jefferson,1,25,6
PHI,Andre Iguodala,0,8,24
PHI,Andre Miller,0,30,12
NJN,Josh Boone,0,25,6
NJN,Marcus Williams,0,25,6
PHI,Joe Smith,0,41,6
NJN,Antoine Wright,0,27,25
PHI,Andre Miller,0,25,6
PHI,Joe Smith,1,25,6
NJN,Richard Jefferson,1,45,8
PHI,Willie Green,0,17,25
NJN,Jason Kidd,1,33,30
NJN,Clifford Robinson,1,8,6
PHI,Kyle Korver,0,25,6
NJN,Josh Boone,0,25,6
NJN,Vince Carter,0,25,6
PHI,Kyle Korver,0,20,28
PHI,Andre Iguodala,0,9,12
PHI,Joe Smith,1,28,11
NJN,Richard Jefferson,0,28,26
PHI,Joe Smith,0,13,21
NJN,Clifford Robinson,1,8,6
PHI,Andre Iguodala,1,25,6
NJN,Vince Carter,1,25,6
NJN,Clifford Robinson,1,25,12
PHI,Andre Iguodala,1,46,5
NJN,Clifford Robinson,1,48,11
PHI,Samuel Dalembert,1,25,6
NJN,Jason Kidd,0,48,4
PHI,Samuel Dalembert,1,25,6
NJN,Vince Carter,0,25,6
PHI,Andre Iguodala,0,47,12
NJN,Vince Carter,0,32,25
PHI,Louis Williams,1,29,24
PHI,Kyle Korver,1,47,17
