WAS,Etan Thomas,1,26,9
CHA,Walter Herrmann,0,49,4
WAS,Etan Thomas,1,24,6
CHA,Raymond Felton,1,35,29
WAS,Antonio Daniels,0,28,14
CHA,Matt Carroll,0,48,2
WAS,Antawn Jamison,0,29,9
CHA,Walter Herrmann,1,45,4
WAS,Antawn Jamison,0,15,31
CHA,Walter Herrmann,0,24,10
WAS,DeShawn Stevenson,1,8,2
CHA,Emeka Okafor,0,18,19
WAS,Etan Thomas,1,27,10
CHA,Emeka Okafor,1,20,8
CHA,Matt Carroll,0,42,1
WAS,DeShawn Stevenson,0,24,7
CHA,Raymond Felton,1,34,20
WAS,Antawn Jamison,1,18,4
CHA,Gerald Wallace,1,25,6
WAS,Etan Thomas,0,24,7
CHA,Raymond Felton,0,26,8
WAS,Etan Thomas,1,25,6
CHA,Gerald Wallace,0,26,6
WAS,Jarvis Hayes,0,49,7
CHA,Walter Herrmann,1,25,4
WAS,Etan Thomas,1,25,9
CHA,Walter Herrmann,0,22,6
WAS,Antonio Daniels,1,25,6
CHA,Brevin Knight,1,24,14
CHA,Raymond Felton,0,49,6
WAS,Darius Songaila,0,12,3
CHA,Adam Morrison,0,9,14
WAS,Etan Thomas,1,23,20
CHA,Gerald Wallace,1,24,5
WAS,DeShawn Stevenson,0,43,8
CHA,Brevin Knight,1,44,8
WAS,DeShawn Stevenson,0,48,3
CHA,Adam Morrison,0,7,3
WAS,Antonio Daniels,0,26,13
WAS,Michael Ruffin,0,25,6
CHA,Adam Morrison,0,24,8
WAS,Calvin Booth,1,15,22
WAS,Antawn Jamison,0,7,3
CHA,Brevin Knight,0,23,11
WAS,Antawn Jamison,1,0,2
CHA,Primoz Brezec,1,45,4
WAS,Darius Songaila,0,44,8
CHA,Emeka Okafor,0,25,7
WAS,Darius Songaila,1,25,6
CHA,Primoz Brezec,0,8,9
WAS,Antawn Jamison,0,27,4
WAS,Antonio Daniels,0,13,17
CHA,Walter Herrmann,0,1,2
CHA,Walter Herrmann,1,26,6
WAS,DeShawn Stevenson,0,24,5
CHA,Raymond Felton,0,11,20
CHA,Gerald Wallace,0,22,6
WAS,Etan Thomas,1,30,7
CHA,Brevin Knight,1,24,5
WAS,Etan Thomas,1,26,6
CHA,Raymond Felton,0,29,6
CHA,Emeka Okafor,1,25,6
WAS,Antawn Jamison,1,19,6
CHA,Emeka Okafor,1,25,6
CHA,Gerald Wallace,1,25,6
WAS,Etan Thomas,0,28,7
WAS,Antawn Jamison,1,18,6
CHA,Brevin Knight,0,44,3
CHA,Walter Herrmann,0,25,5
WAS,Antawn Jamison,0,19,6
WAS,Antawn Jamison,1,29,6
CHA,Raymond Felton,0,4,19
WAS,Antawn Jamison,0,6,13
CHA,Gerald Wallace,1,41,20
CHA,Raymond Felton,1,6,22
WAS,Darius Songaila,0,27,9
CHA,Gerald Wallace,1,14,9
CHA,Emeka Okafor,1,26,6
CHA,Matt Carroll,0,18,31
WAS,Antonio Daniels,1,24,8
CHA,Raymond Felton,1,13,24
WAS,Antawn Jamison,1,26,7
CHA,Gerald Wallace,0,40,14
CHA,Emeka Okafor,1,21,9
WAS,Etan Thomas,0,24,8
CHA,Walter Herrmann,1,48,3
WAS,Jarvis Hayes,1,33,12
CHA,Gerald Wallace,1,48,3
WAS,DeShawn Stevenson,1,23,32
CHA,Gerald Wallace,0,25,8
WAS,Jarvis Hayes,1,26,7
CHA,Raymond Felton,0,24,3
WAS,Jarvis Hayes,1,11,25
CHA,Emeka Okafor,1,25,11
WAS,DeShawn Stevenson,0,30,30
CHA,Walter Herrmann,1,10,20
CHA,Gerald Wallace,1,15,19
CHA,Gerald Wallace,0,26,7
WAS,Antonio Daniels,1,24,7
CHA,Walter Herrmann,1,24,6
WAS,Etan Thomas,1,25,6
CHA,Gerald Wallace,0,49,4
WAS,Antawn Jamison,1,25,11
CHA,Walter Herrmann,1,29,11
WAS,Jarvis Hayes,0,26,28
WAS,Jarvis Hayes,1,25,5
CHA,Gerald Wallace,1,26,6
WAS,Antonio Daniels,0,40,29
CHA,Gerald Wallace,0,15,26
WAS,Jarvis Hayes,0,45,2
CHA,Adam Morrison,1,11,28
WAS,Darius Songaila,0,24,29
CHA,Brevin Knight,0,12,17
WAS,Jarvis Hayes,1,2,2
CHA,Brevin Knight,0,18,44
WAS,Jarvis Hayes,0,6,21
CHA,Raymond Felton,1,23,5
WAS,Antonio Daniels,0,22,27
CHA,Adam Morrison,0,12,29
WAS,Roger Mason,1,2,18
CHA,Primoz Brezec,0,38,16
WAS,Roger Mason,0,24,7
CHA,Adam Morrison,1,26,6
WAS,Antawn Jamison,0,1,5
WAS,Darius Songaila,0,24,4
CHA,Brevin Knight,0,41,16
WAS,Roger Mason,0,41,21
CHA,Emeka Okafor,1,24,9
WAS,Antawn Jamison,1,27,11
CHA,Adam Morrison,1,32,13
WAS,Roger Mason,0,1,3
CHA,Brevin Knight,1,23,4
WAS,Antawn Jamison,0,13,20
CHA,Adam Morrison,1,34,21
WAS,Darius Songaila,1,22,28
CHA,Gerald Wallace,0,49,4
WAS,Antonio Daniels,0,43,4
WAS,DeShawn Stevenson,1,35,30
CHA,Gerald Wallace,0,25,11
WAS,DeShawn Stevenson,1,5,23
CHA,Raymond Felton,1,14,28
CHA,Gerald Wallace,1,26,9
CHA,Raymond Felton,1,43,2
WAS,DeShawn Stevenson,0,31,31
WAS,Antawn Jamison,1,25,6
CHA,Gerald Wallace,1,25,6
WAS,Etan Thomas,0,23,8
CHA,Raymond Felton,0,5,23
CHA,Emeka Okafor,0,22,7
WAS,DeShawn Stevenson,0,21,9
WAS,Etan Thomas,0,26,6
CHA,Raymond Felton,0,9,26
CHA,Raymond Felton,0,35,20
CHA,Walter Herrmann,0,23,6
WAS,Antonio Daniels,1,26,6
WAS,DeShawn Stevenson,0,25,11
CHA,Gerald Wallace,1,25,5
WAS,Antawn Jamison,0,24,9
