SAC,John Salmons,1,39,15
MEM,Pau Gasol,1,25,6
SAC,John Salmons,1,26,15
MEM,Pau Gasol,0,27,23
SAC,Brad Miller,1,26,25
SAC,Beno Udrih,1,25,6
MEM,Mike Conley,0,6,23
MEM,Darko Milicic,1,21,9
SAC,Mikki Moore,0,42,9
MEM,Mike Conley,1,49,12
SAC,Brad Miller,0,20,27
MEM,Rudy Gay,1,12,12
SAC,Beno Udrih,0,11,14
MEM,Pau Gasol,1,25,6
MEM,Mike Conley,1,25,6
SAC,Brad Miller,0,39,23
MEM,Rudy Gay,1,18,7
SAC,Beno Udrih,0,42,7
MEM,Darko Milicic,0,31,7
SAC,Francisco Garcia,1,2,7
MEM,Juan Carlos Navarro,0,40,26
SAC,Mikki Moore,1,25,6
MEM,Pau Gasol,1,25,6
SAC,Brad Miller,0,28,10
MEM,Rudy Gay,0,25,6
SAC,John Salmons,1,25,6
SAC,John Salmons,1,25,6
MEM,Pau Gasol,0,29,10
SAC,Brad Miller,1,25,6
MEM,Rudy Gay,1,10,25
SAC,Beno Udrih,0,25,6
MEM,Juan Carlos Navarro,0,48,9
SAC,Beno Udrih,1,36,22
SAC,Francisco Garcia,0,42,26
SAC,Brad Miller,1,41,7
SAC,Francisco Garcia,1,25,6
SAC,Francisco Garcia,0,41,15
MEM,Juan Carlos Navarro,0,8,25
SAC,Quincy Douby,0,31,32
SAC,Brad Miller,0,23,14
MEM,Rudy Gay,1,6,22
SAC,Quincy Douby,1,16,7
MEM,Kyle Lowry,1,25,6
SAC,Mikki Moore,0,31,11
SAC,Spencer Hawes,0,25,6
MEM,Juan Carlos Navarro,0,25,13
SAC,Dahntay Jones,1,26,11
MEM,Hakim Warrick,0,39,7
SAC,Spencer Hawes,1,7,14
MEM,Rudy Gay,1,34,23
MEM,Pau Gasol,0,18,9
SAC,Beno Udrih,1,1,9
MEM,Juan Carlos Navarro,0,9,24
MEM,Pau Gasol,1,25,6
SAC,Beno Udrih,1,25,10
MEM,Kyle Lowry,0,9,25
SAC,Beno Udrih,1,25,6
MEM,Kyle Lowry,1,46,19
SAC,Beno Udrih,1,40,10
MEM,Darko Milicic,1,15,11
SAC,Mikki Moore,0,23,9
MEM,Juan Carlos Navarro,1,43,23
SAC,John Salmons,1,25,6
MEM,Pau Gasol,0,10,5
SAC,Brad Miller,0,11,26
SAC,Brad Miller,0,29,10
SAC,Brad Miller,0,25,6
MEM,Juan Carlos Navarro,0,25,6
SAC,Francisco Garcia,0,25,6
MEM,Juan Carlos Navarro,1,5,19
SAC,John Salmons,0,48,15
MEM,Mike Miller,1,36,29
