NJN,Richard Jefferson,1,37,7
MIN,Rashad McCants,1,39,28
NJN,Richard Jefferson,1,38,15
MIN,Ryan Gomes,1,23,28
MIN,Marko Jaric,0,15,25
NJN,Vince Carter,1,14,8
NJN,Richard Jefferson,1,42,13
MIN,Al Jefferson,0,21,7
MIN,Al Jefferson,1,33,10
NJN,Richard Jefferson,0,12,10
NJN,Richard Jefferson,1,25,6
MIN,Al Jefferson,0,33,8
NJN,Sean Williams,1,25,7
NJN,Richard Jefferson,0,25,6
MIN,Ryan Gomes,0,49,6
NJN,Josh Boone,0,25,6
MIN,Corey Brewer,0,9,11
NJN,Sean Williams,1,25,6
MIN,Sebastian Telfair,1,25,6
MIN,Sebastian Telfair,0,25,6
MIN,Al Jefferson,1,25,6
MIN,Al Jefferson,0,25,15
MIN,Al Jefferson,1,10,8
MIN,Al Jefferson,1,23,11
NJN,Vince Carter,0,38,10
NJN,Sean Williams,0,27,10
NJN,Josh Boone,1,25,6
MIN,Al Jefferson,1,25,6
MIN,Gerald Green,0,39,23
NJN,Antoine Wright,0,40,19
MIN,Ryan Gomes,0,2,6
MIN,Al Jefferson,1,25,6
NJN,Vince Carter,1,36,11
MIN,Gerald Green,0,18,26
NJN,Vince Carter,1,27,11
MIN,Gerald Green,1,25,6
NJN,Jason Kidd,1,5,19
MIN,Al Jefferson,0,39,23
NJN,Jason Kidd,0,25,6
MIN,Craig Smith,0,26,6
NJN,Vince Carter,1,40,9
MIN,Ryan Gomes,1,10,7
NJN,Antoine Wright,0,6,23
NJN,Malik Allen,0,25,27
MIN,Sebastian Telfair,1,31,25
NJN,Malik Allen,0,24,26
NJN,Vince Carter,0,22,31
NJN,Marcus Williams,0,9,19
NJN,Antoine Wright,1,25,6
MIN,Rashad McCants,0,39,26
NJN,Vince Carter,0,8,12
MIN,Antoine Walker,1,9,18
NJN,Richard Jefferson,1,8,25
MIN,Antoine Walker,0,30,13
MIN,Antoine Walker,0,43,22
MIN,Rashad McCants,0,12,18
NJN,Antoine Wright,0,8,25
MIN,Marko Jaric,0,11,9
MIN,Al Jefferson,1,25,6
NJN,Sean Williams,0,19,10
NJN,Josh Boone,1,25,6
MIN,Rashad McCants,0,25,6
MIN,Al Jefferson,0,29,9
MIN,Ryan Gomes,0,25,6
MIN,Ryan Gomes,0,25,6
MIN,Al Jefferson,0,25,6
MIN,Al Jefferson,1,25,6
NJN,Richard Jefferson,1,16,29
MIN,Sebastian Telfair,0,40,19
MIN,Marko Jaric,0,11,26
MIN,Corey Brewer,0,15,25
NJN,Vince Carter,0,18,12
NJN,Josh Boone,0,31,7
NJN,Richard Jefferson,1,25,6
MIN,Antoine Walker,1,24,30
NJN,Richard Jefferson,0,10,26
MIN,Ryan Gomes,0,14,11
MIN,Ryan Gomes,0,21,31
NJN,Josh Boone,0,32,21
NJN,Sean Williams,0,25,6
NJN,Antoine Wright,0,25,6
MIN,Sebastian Telfair,0,38,33
MIN,Marko Jaric,0,25,6
MIN,Al Jefferson,1,25,6
NJN,Richard Jefferson,1,24,28
MIN,Sebastian Telfair,0,25,31
NJN,Richard Jefferson,0,40,12
NJN,Richard Jefferson,1,25,6
MIN,Rashad McCants,1,35,29
NJN,Jason Kidd,0,21,31
MIN,Sebastian Telfair,0,39,14
NJN,Richard Jefferson,1,40,13
MIN,Al Jefferson,1,30,9
MIN,Rashad McCants,0,25,6
MIN,Rashad McCants,1,14,24
NJN,Vince Carter,0,32,9
MIN,Rashad McCants,1,42,24
NJN,Sean Williams,0,26,11
NJN,Sean Williams,1,16,8
MIN,Rashad McCants,1,29,25
NJN,Richard Jefferson,0,48,8
NJN,Vince Carter,0,37,22
NJN,Richard Jefferson,0,25,11
MIN,Rashad McCants,0,24,41
NJN,Malik Allen,1,6,7
MIN,Sebastian Telfair,1,6,21
MIN,Al Jefferson,1,25,6
NJN,Richard Jefferson,0,16,11
MIN,Rashad McCants,0,36,8
NJN,Jason Kidd,1,38,28
MIN,Al Jefferson,1,25,8
NJN,Jason Kidd,1,14,29
NJN,Jason Kidd,1,16,30
MIN,Antoine Walker,0,21,32
MIN,Corey Brewer,0,39,13
NJN,Vince Carter,0,14,31
NJN,Jason Collins,0,25,6
NJN,Vince Carter,1,15,22
MIN,Sebastian Telfair,0,2,7
NJN,Antoine Wright,1,20,11
MIN,Corey Brewer,0,40,20
NJN,Malik Allen,0,36,23
MIN,Gerald Green,0,40,26
NJN,Vince Carter,1,31,13
MIN,Gerald Green,1,2,6
NJN,Vince Carter,1,14,21
MIN,Gerald Green,1,7,22
NJN,Malik Allen,0,39,21
MIN,Al Jefferson,0,20,11
NJN,Richard Jefferson,0,25,6
MIN,Al Jefferson,1,25,6
NJN,Richard Jefferson,1,17,25
MIN,Al Jefferson,0,23,10
NJN,Richard Jefferson,0,24,27
MIN,Corey Brewer,1,8,8
NJN,Jason Kidd,0,13,27
MIN,Gerald Green,0,10,28
MIN,Marko Jaric,0,31,31
MIN,Gerald Green,0,25,6
MIN,Marko Jaric,0,15,23
NJN,Richard Jefferson,0,28,24
MIN,Ryan Gomes,1,6,11
NJN,Jason Kidd,0,23,32
NJN,Vince Carter,1,11,21
MIN,Sebastian Telfair,1,21,25
NJN,Jason Kidd,0,25,13
MIN,Antoine Walker,0,9,25
NJN,Vince Carter,1,14,24
MIN,Rashad McCants,1,35,30
MIN,Ryan Gomes,1,48,6
NJN,Vince Carter,0,18,25
MIN,Rashad McCants,0,38,24
NJN,Richard Jefferson,0,21,10
NJN,Vince Carter,0,43,28
