MEM,Pau Gasol,0,45,7
DAL,Dirk Nowitzki,0,11,20
MEM,Pau Gasol,0,15,12
DAL,Erick Dampier,0,24,11
DAL,Jason Terry,1,9,14
MEM,Kyle Lowry,1,5,8
DAL,Josh Howard,1,40,22
MEM,Darko Milicic,0,43,9
MEM,Mike Miller,0,45,22
DAL,Eddie Jones,1,19,32
MEM,Rudy Gay,1,15,15
DAL,Erick Dampier,1,25,6
MEM,Rudy Gay,1,6,6
DAL,Dirk Nowitzki,1,43,5
MEM,Pau Gasol,0,18,9
MEM,Kyle Lowry,1,25,6
DAL,Josh Howard,1,40,27
MEM,Mike Miller,1,25,6
DAL,Josh Howard,1,13,7
MEM,Darko Milicic,1,24,27
DAL,Erick Dampier,1,25,6
MEM,Mike Miller,1,25,6
DAL,Josh Howard,1,42,6
MEM,Mike Miller,0,33,22
MEM,Juan Carlos Navarro,1,25,6
DAL,Erick Dampier,0,30,12
MEM,Darko Milicic,0,31,10
DAL,Dirk Nowitzki,1,30,13
MEM,Kyle Lowry,0,42,25
DAL,Dirk Nowitzki,0,28,13
DAL,Trenton Hassell,1,29,23
DAL,Jose Juan Barea,1,25,6
MEM,Rudy Gay,0,25,26
DAL,Jose Juan Barea,0,25,6
DAL,DeSagana Diop,1,25,6
MEM,Pau Gasol,1,30,21
DAL,Dirk Nowitzki,0,11,20
MEM,Mike Miller,0,25,6
DAL,Josh Howard,1,25,6
MEM,Kyle Lowry,0,12,22
MEM,Rudy Gay,0,24,11
DAL,Jason Terry,0,40,27
MEM,Rudy Gay,1,25,6
DAL,Brandon Bass,0,6,6
DAL,Dirk Nowitzki,1,25,6
MEM,Pau Gasol,1,13,15
DAL,Dirk Nowitzki,0,15,10
DAL,Brandon Bass,0,31,13
MEM,Hakim Warrick,0,9,13
DAL,Jason Terry,0,23,26
MEM,Hakim Warrick,0,28,24
MEM,Kyle Lowry,1,25,6
DAL,Dirk Nowitzki,1,39,17
MEM,Pau Gasol,0,25,6
DAL,Devean George,0,15,25
DAL,Devean George,1,42,14
MEM,Mike Miller,1,25,6
DAL,Dirk Nowitzki,0,32,23
MEM,Juan Carlos Navarro,0,4,9
DAL,Jason Terry,1,25,6
MEM,Juan Carlos Navarro,1,25,12
DAL,Josh Howard,1,36,14
MEM,Darko Milicic,0,19,26
DAL,Jason Terry,1,25,6
DAL,Brandon Bass,0,35,16
MEM,Juan Carlos Navarro,0,15,14
MEM,Mike Miller,0,25,6
DAL,Brandon Bass,0,13,11
MEM,Kyle Lowry,1,25,6
DAL,Josh Howard,1,48,12
MEM,Rudy Gay,0,17,27
DAL,Erick Dampier,1,25,6
DAL,Dirk Nowitzki,1,29,14
MEM,Rudy Gay,1,25,6
MEM,Mike Miller,0,39,22
DAL,Josh Howard,1,20,18
MEM,Juan Carlos Navarro,1,12,29
DAL,Jose Juan Barea,1,25,6
DAL,Brandon Bass,1,23,19
DAL,Josh Howard,0,33,26
MEM,Mike Miller,0,39,28
DAL,Jason Terry,1,2,7
MEM,Pau Gasol,1,35,22
DAL,Dirk Nowitzki,0,35,16
DAL,Eddie Jones,0,3,18
MEM,Pau Gasol,0,23,27
DAL,Josh Howard,0,25,6
DAL,Dirk Nowitzki,1,25,6
MEM,Rudy Gay,1,24,21
DAL,Jason Terry,0,14,23
MEM,Mike Miller,0,41,17
DAL,Josh Howard,0,26,24
MEM,Juan Carlos Navarro,0,38,23
DAL,Jason Terry,0,25,6
MEM,Rudy Gay,0,13,7
DAL,Dirk Nowitzki,1,25,6
MEM,Juan Carlos Navarro,1,24,12
DAL,Jason Terry,0,7,13
DAL,Josh Howard,1,26,17
MEM,Rudy Gay,0,18,13
DAL,Jose Juan Barea,1,25,6
MEM,Stromile Swift,1,15,10
DAL,Dirk Nowitzki,1,25,6
DAL,Jose Juan Barea,1,25,6
MEM,Andre Brown,0,28,12
MEM,Kyle Lowry,0,25,32
DAL,Jose Juan Barea,0,27,31
MEM,Kyle Lowry,0,25,6
DAL,Trenton Hassell,1,22,9
DAL,DeSagana Diop,0,30,15
MEM,Rudy Gay,1,35,29
DAL,Brandon Bass,0,40,12
DAL,Josh Howard,0,34,26
DAL,Jose Juan Barea,0,28,22
MEM,Kyle Lowry,1,48,7
DAL,Brandon Bass,1,12,20
MEM,Kyle Lowry,0,22,14
DAL,Eddie Jones,1,3,18
MEM,Rudy Gay,0,4,18
DAL,Trenton Hassell,1,11,21
MEM,Rudy Gay,1,25,7
DAL,Jason Terry,0,39,12
MEM,Pau Gasol,1,26,19
DAL,Dirk Nowitzki,1,22,16
MEM,Kyle Lowry,0,2,7
MEM,Pau Gasol,1,25,12
DAL,Erick Dampier,1,25,6
MEM,Rudy Gay,0,10,6
DAL,Jason Terry,0,26,30
MEM,Pau Gasol,1,25,6
DAL,Josh Howard,0,11,28
MEM,Juan Carlos Navarro,0,16,33
DAL,Josh Howard,1,25,6
MEM,Pau Gasol,0,32,22
DAL,Jose Juan Barea,0,10,32
MEM,Kyle Lowry,0,25,19
DAL,Josh Howard,0,35,15
MEM,Juan Carlos Navarro,1,24,12
DAL,Jason Terry,0,24,26
MEM,Kyle Lowry,0,25,6
DAL,Jose Juan Barea,0,25,6
MEM,Casey Jacobsen,0,44,16
MEM,Casey Jacobsen,1,25,6
DAL,Jason Terry,1,22,13
MEM,Juan Carlos Navarro,0,12,18
MEM,Andre Brown,1,25,6
DAL,Brandon Bass,0,7,7
MEM,Andre Brown,0,41,15
DAL,Jason Terry,1,6,6
DAL,Devean George,1,19,12
MEM,Hakim Warrick,0,2,13
