ATL,Al Horford,1,24,14
PHI,Andre Iguodala,1,20,20
ATL,Marvin Williams,0,39,6
PHI,Andre Miller,0,14,8
PHI,Thaddeus Young,0,31,10
PHI,Thaddeus Young,1,25,6
ATL,Anthony Johnson,0,25,6
PHI,Andre Iguodala,1,6,16
ATL,Joe Johnson,0,32,9
ATL,Josh Smith,0,30,23
PHI,Andre Miller,1,25,6
ATL,Josh Smith,1,25,6
PHI,Samuel Dalembert,0,25,6
PHI,Samuel Dalembert,0,25,6
PHI,Samuel Dalembert,1,25,6
ATL,Al Horford,0,25,6
ATL,Marvin Williams,1,25,6
PHI,Andre Miller,0,33,22
PHI,Thaddeus Young,0,25,6
PHI,Andre Iguodala,0,25,6
ATL,Marvin Williams,0,25,6
PHI,Willie Green,1,25,6
ATL,Joe Johnson,0,17,12
ATL,Joe Johnson,1,25,6
PHI,Andre Miller,1,25,6
ATL,Joe Johnson,0,25,6
PHI,Andre Iguodala,1,25,6
ATL,Josh Childress,0,25,6
PHI,Willie Green,0,25,6
ATL,Acie Law,0,7,26
ATL,Acie Law,0,25,6
PHI,Thaddeus Young,1,25,6
ATL,Al Horford,0,26,13
ATL,Al Horford,0,25,6
PHI,Willie Green,0,24,12
ATL,Al Horford,0,13,22
PHI,Andre Iguodala,1,25,6
ATL,Marvin Williams,0,38,15
ATL,Joe Johnson,0,34,17
PHI,Louis Williams,1,25,6
ATL,Joe Johnson,1,24,11
PHI,Andre Iguodala,0,37,21
PHI,Andre Iguodala,0,25,6
PHI,Andre Miller,1,34,20
PHI,Louis Williams,1,25,6
ATL,Joe Johnson,0,18,9
ATL,Zaza Pachulia,1,25,6
PHI,Rodney Carney,0,27,34
PHI,Reggie Evans,0,25,6
ATL,Josh Childress,1,25,6
ATL,Marvin Williams,0,40,8
ATL,Josh Childress,1,25,6
PHI,Rodney Carney,0,47,6
PHI,Kevin Ollie,0,25,6
PHI,Rodney Carney,0,26,12
ATL,Josh Smith,1,25,6
PHI,Kevin Ollie,1,37,21
ATL,Josh Smith,1,25,6
PHI,Thaddeus Young,0,33,5
ATL,Josh Smith,0,34,20
PHI,Andre Miller,0,25,6
ATL,Marvin Williams,0,25,6
ATL,Marvin Williams,1,25,6
PHI,Samuel Dalembert,1,25,18
ATL,Tyronn Lue,1,10,20
PHI,Willie Green,0,25,6
ATL,Tyronn Lue,1,28,24
PHI,Andre Miller,1,25,6
ATL,Zaza Pachulia,0,25,25
PHI,Samuel Dalembert,0,26,22
ATL,Zaza Pachulia,1,25,6
PHI,Rodney Carney,1,25,6
ATL,Tyronn Lue,1,10,28
PHI,Willie Green,0,17,35
ATL,Josh Childress,1,25,6
ATL,Josh Smith,1,22,14
ATL,Joe Johnson,0,47,19
PHI,Rodney Carney,0,43,8
ATL,Josh Childress,1,25,6
PHI,Willie Green,1,17,12
ATL,Tyronn Lue,0,36,23
ATL,Zaza Pachulia,0,25,6
PHI,Andre Iguodala,1,43,10
ATL,Zaza Pachulia,1,24,10
PHI,Andre Miller,1,6,9
ATL,Tyronn Lue,0,13,31
PHI,Samuel Dalembert,0,25,6
ATL,Al Horford,0,23,44
PHI,Andre Iguodala,0,25,15
ATL,Josh Smith,0,13,23
ATL,Josh Smith,0,32,10
ATL,Al Horford,0,25,6
PHI,Willie Green,1,11,18
ATL,Joe Johnson,1,25,6
ATL,Anthony Johnson,1,40,16
PHI,Andre Iguodala,0,25,13
ATL,Joe Johnson,0,9,10
PHI,Andre Miller,1,23,14
ATL,Josh Smith,0,43,26
ATL,Al Horford,1,25,6
PHI,Andre Iguodala,0,3,19
ATL,Marvin Williams,1,25,6
PHI,Andre Iguodala,0,10,17
ATL,Anthony Johnson,1,44,23
ATL,Anthony Johnson,0,13,30
PHI,Reggie Evans,0,31,11
ATL,Josh Smith,0,25,6
PHI,Andre Miller,1,21,24
ATL,Al Horford,0,20,12
PHI,Andre Miller,1,14,20
PHI,Samuel Dalembert,0,25,6
PHI,Samuel Dalembert,1,25,6
ATL,Joe Johnson,1,48,9
PHI,Andre Miller,1,25,6
ATL,Josh Childress,1,25,6
ATL,Josh Smith,1,25,6
ATL,Josh Smith,1,22,12
PHI,Andre Iguodala,0,1,10
PHI,Louis Williams,0,5,24
ATL,Josh Childress,0,25,6
PHI,Andre Miller,1,6,9
ATL,Tyronn Lue,0,16,18
PHI,Andre Iguodala,1,5,24
ATL,Joe Johnson,1,13,28
PHI,Andre Miller,0,35,16
ATL,Josh Smith,1,25,6
PHI,Thaddeus Young,1,25,6
ATL,Tyronn Lue,1,36,21
PHI,Louis Williams,0,39,11
PHI,Thaddeus Young,1,25,6
PHI,Thaddeus Young,0,30,12
ATL,Josh Childress,1,25,6
PHI,Willie Green,0,1,13
ATL,Josh Childress,1,25,6
ATL,Joe Johnson,1,25,13
PHI,Thaddeus Young,0,25,6
PHI,Willie Green,1,20,13
ATL,Marvin Williams,1,5,13
PHI,Samuel Dalembert,0,7,12
ATL,Al Horford,0,23,10
ATL,Josh Childress,1,25,6
PHI,Andre Iguodala,0,7,10
ATL,Marvin Williams,0,30,22
PHI,Andre Miller,1,39,10
PHI,Andre Iguodala,1,12,29
ATL,Marvin Williams,0,42,12
PHI,Andre Miller,1,24,12
ATL,Tyronn Lue,0,43,8
ATL,Joe Johnson,0,20,15
ATL,Josh Childress,1,25,6
ATL,Joe Johnson,0,25,6
PHI,Andre Iguodala,0,34,30
ATL,Joe Johnson,1,25,6
PHI,Rodney Carney,0,25,12
PHI,Thaddeus Young,0,25,6
ATL,Joe Johnson,0,25,6
ATL,Al Horford,1,25,6
PHI,Andre Miller,0,21,12
PHI,Andre Iguodala,0,25,6
PHI,Andre Iguodala,1,25,6
PHI,Andre Miller,0,3,22
