CHI,Ben Wallace,1,31,8
POR,LaMarcus Aldridge,1,32,19
CHI,Joe Smith,1,25,11
POR,LaMarcus Aldridge,1,37,6
CHI,Thabo Sefolosha,0,25,6
POR,Steve Blake,0,38,7
CHI,Joe Smith,0,21,21
CHI,Thabo Sefolosha,1,25,6
POR,LaMarcus Aldridge,0,20,20
POR,LaMarcus Aldridge,1,23,10
CHI,Andres Nocioni,1,30,30
POR,LaMarcus Aldridge,0,37,11
POR,Jarrett Jack,1,2,7
CHI,Joe Smith,0,22,7
POR,LaMarcus Aldridge,0,42,6
POR,Brandon Roy,1,10,10
CHI,Joe Smith,1,6,7
POR,LaMarcus Aldridge,1,38,6
CHI,Ben Wallace,1,15,19
POR,LaMarcus Aldridge,0,31,14
CHI,Joe Smith,1,20,25
CHI,Chris Duhon,0,4,8
POR,Brandon Roy,1,39,24
POR,Brandon Roy,1,25,6
POR,Brandon Roy,1,40,10
CHI,Joe Smith,0,25,6
POR,Brandon Roy,0,13,17
POR,Travis Outlaw,0,43,6
POR,Martell Webster,0,2,6
CHI,Joakim Noah,1,25,6
POR,Steve Blake,1,31,6
CHI,Adrian Griffin,0,23,15
POR,Brandon Roy,0,43,23
POR,Martell Webster,0,2,6
CHI,Joe Smith,0,31,22
POR,Martell Webster,1,25,6
CHI,Chris Duhon,0,38,27
CHI,Chris Duhon,0,25,6
CHI,Thabo Sefolosha,0,31,24
POR,Travis Outlaw,1,20,22
CHI,Aaron Gray,0,25,6
CHI,Adrian Griffin,1,25,19
POR,Sergio Rodriguez,1,25,6
CHI,Adrian Griffin,0,44,7
CHI,Thabo Sefolosha,0,4,7
POR,Travis Outlaw,1,14,15
CHI,Andres Nocioni,0,40,25
POR,Joel Przybilla,0,29,10
CHI,Thabo Sefolosha,1,23,31
POR,Travis Outlaw,0,24,19
CHI,Andres Nocioni,1,7,13
POR,Joel Przybilla,1,25,6
CHI,Thabo Sefolosha,0,16,11
POR,Steve Blake,0,41,18
POR,LaMarcus Aldridge,0,10,8
CHI,Thabo Sefolosha,0,37,23
POR,Jarrett Jack,0,13,19
POR,Joel Przybilla,1,25,6
CHI,Andres Nocioni,0,39,24
CHI,Thabo Sefolosha,1,25,6
POR,Steve Blake,0,2,6
POR,Jarrett Jack,0,2,7
POR,LaMarcus Aldridge,1,25,6
CHI,Chris Duhon,1,27,30
POR,Steve Blake,0,19,29
POR,Jarrett Jack,1,18,9
CHI,Ben Wallace,0,16,9
POR,LaMarcus Aldridge,0,39,16
CHI,Joe Smith,0,35,24
POR,Jarrett Jack,1,25,6
CHI,Thabo Sefolosha,1,25,6
POR,Jarrett Jack,0,2,6
CHI,Andres Nocioni,0,33,9
CHI,Joe Smith,1,25,6
POR,Brandon Roy,1,21,21
CHI,Andres Nocioni,0,5,20
CHI,Andres Nocioni,1,25,6
CHI,Joe Smith,1,22,11
CHI,Joe Smith,0,33,20
POR,Steve Blake,0,4,6
POR,Brandon Roy,1,9,22
CHI,Ben Wallace,0,40,7
POR,Brandon Roy,1,25,6
POR,Brandon Roy,0,36,21
CHI,Andres Nocioni,0,47,6
CHI,Ben Wallace,1,25,6
POR,Jarrett Jack,0,25,6
CHI,Chris Duhon,1,31,30
POR,Steve Blake,0,6,22
CHI,Chris Duhon,0,25,30
POR,Jarrett Jack,1,2,7
CHI,Ben Wallace,1,25,6
POR,LaMarcus Aldridge,1,19,24
CHI,Joe Smith,1,33,11
POR,Brandon Roy,1,39,14
POR,Brandon Roy,1,46,7
CHI,Chris Duhon,0,25,30
POR,LaMarcus Aldridge,1,36,22
CHI,Thabo Sefolosha,1,29,22
POR,LaMarcus Aldridge,0,9,10
CHI,Joe Smith,1,38,21
CHI,Thabo Sefolosha,1,32,12
POR,LaMarcus Aldridge,1,25,6
CHI,Andres Nocioni,1,47,15
POR,Martell Webster,0,33,29
CHI,Andres Nocioni,0,2,9
POR,Brandon Roy,1,34,12
CHI,Thabo Sefolosha,0,22,28
POR,Channing Frye,0,25,6
POR,Martell Webster,1,25,6
POR,Travis Outlaw,0,31,23
CHI,Andres Nocioni,0,7,7
POR,Steve Blake,1,48,6
CHI,Adrian Griffin,0,16,17
CHI,Andres Nocioni,1,47,14
POR,Brandon Roy,0,8,6
CHI,Chris Duhon,0,25,6
POR,Martell Webster,0,47,17
CHI,Adrian Griffin,1,36,6
POR,Joel Przybilla,0,25,6
CHI,Joakim Noah,0,25,6
CHI,Adrian Griffin,0,18,25
POR,Martell Webster,1,18,9
CHI,Thabo Sefolosha,1,14,19
POR,Channing Frye,1,12,22
CHI,Adrian Griffin,1,17,20
POR,Travis Outlaw,1,15,21
CHI,Thabo Sefolosha,0,25,6
POR,Martell Webster,1,15,13
CHI,Thabo Sefolosha,1,21,30
POR,Brandon Roy,0,17,9
CHI,Thabo Sefolosha,0,15,29
POR,Travis Outlaw,0,47,7
POR,Travis Outlaw,0,25,6
CHI,Tyrus Thomas,1,42,6
CHI,Chris Duhon,0,33,31
POR,Brandon Roy,1,35,25
POR,Brandon Roy,0,40,8
POR,Brandon Roy,1,32,27
POR,Travis Outlaw,1,6,7
POR,Steve Blake,1,25,6
CHI,Andres Nocioni,1,20,9
POR,Steve Blake,0,33,29
CHI,Ben Wallace,1,25,6
CHI,Tyrus Thomas,1,18,11
POR,Brandon Roy,0,30,27
POR,Travis Outlaw,1,23,9
CHI,Thabo Sefolosha,1,25,6
CHI,Chris Duhon,1,7,7
CHI,Andres Nocioni,1,42,24
