MIN,Corey Brewer,0,7,10
MIN,Sebastian Telfair,1,8,6
SAS,Bruce Bowen,0,23,25
SAS,Tim Duncan,0,41,10
MIN,Ryan Gomes,1,25,26
SAS,Fabricio Oberto,1,25,6
MIN,Sebastian Telfair,1,17,20
MIN,Sebastian Telfair,1,24,22
SAS,Tim Duncan,1,38,22
MIN,Corey Brewer,1,39,16
SAS,Bruce Bowen,0,25,6
MIN,Rashad McCants,0,6,23
MIN,Al Jefferson,1,38,17
SAS,Michael Finley,1,40,19
MIN,Al Jefferson,1,25,6
SAS,Tim Duncan,0,23,11
MIN,Sebastian Telfair,0,25,6
SAS,Tim Duncan,1,25,6
MIN,Al Jefferson,0,25,6
SAS,Damon Stoudamire,1,24,7
SAS,Michael Finley,0,29,13
SAS,Damon Stoudamire,0,17,29
MIN,Rashad McCants,1,13,23
SAS,Manu Ginobili,0,40,27
MIN,Ryan Gomes,0,15,9
SAS,Ime Udoka,1,8,10
MIN,Randy Foye,0,41,15
SAS,Michael Finley,0,9,11
SAS,Tim Duncan,0,25,6
MIN,Al Jefferson,1,31,11
SAS,Ime Udoka,0,49,3
MIN,Sebastian Telfair,1,39,20
SAS,Tim Duncan,0,25,6
SAS,Tony Parker,1,25,6
MIN,Ryan Gomes,0,25,6
SAS,Tony Parker,0,40,20
MIN,Sebastian Telfair,0,7,9
SAS,Ime Udoka,0,40,27
SAS,Tony Parker,0,16,19
SAS,Michael Finley,1,12,18
MIN,Theo Ratliff,0,15,20
SAS,Tony Parker,1,25,6
MIN,Rashad McCants,0,24,11
MIN,Craig Smith,0,25,6
MIN,Sebastian Telfair,0,18,24
SAS,Michael Finley,0,2,6
MIN,Craig Smith,1,30,10
SAS,Michael Finley,1,20,22
MIN,Craig Smith,1,19,9
SAS,Ime Udoka,0,42,14
SAS,Manu Ginobili,1,32,22
MIN,Randy Foye,0,10,9
MIN,Theo Ratliff,1,25,6
SAS,Manu Ginobili,1,9,8
MIN,Craig Smith,0,24,13
MIN,Theo Ratliff,1,25,6
SAS,Tim Duncan,0,27,11
MIN,Rashad McCants,1,25,6
MIN,Craig Smith,0,23,9
MIN,Randy Foye,0,46,20
MIN,Al Jefferson,1,25,6
MIN,Rashad McCants,1,21,11
SAS,Manu Ginobili,1,7,22
MIN,Marko Jaric,0,25,27
MIN,Rashad McCants,0,25,6
SAS,Matt Bonner,0,2,4
MIN,Randy Foye,0,16,9
MIN,Al Jefferson,1,17,11
SAS,Manu Ginobili,1,38,28
MIN,Ryan Gomes,1,19,14
SAS,Manu Ginobili,1,47,19
MIN,Al Jefferson,0,35,17
SAS,Tim Duncan,0,23,18
MIN,Randy Foye,1,25,6
MIN,Sebastian Telfair,1,2,6
SAS,Matt Bonner,0,25,6
SAS,Matt Bonner,1,25,6
MIN,Al Jefferson,0,35,7
SAS,Manu Ginobili,1,41,25
MIN,Al Jefferson,1,30,6
MIN,Sebastian Telfair,1,25,6
MIN,Theo Ratliff,1,21,11
SAS,Manu Ginobili,1,15,30
SAS,Manu Ginobili,1,20,32
MIN,Sebastian Telfair,0,18,19
SAS,Tim Duncan,1,16,20
MIN,Randy Foye,1,46,18
SAS,Damon Stoudamire,0,5,21
SAS,Manu Ginobili,0,44,25
SAS,Tim Duncan,1,25,6
SAS,Tim Duncan,1,20,7
MIN,Corey Brewer,0,36,4
SAS,Manu Ginobili,0,22,20
SAS,Tim Duncan,0,35,8
MIN,Sebastian Telfair,0,23,25
SAS,Damon Stoudamire,1,21,10
MIN,Al Jefferson,0,39,6
MIN,Randy Foye,1,15,29
SAS,Robert Horry,0,44,23
MIN,Corey Brewer,0,23,24
SAS,Manu Ginobili,0,25,6
SAS,Tim Duncan,0,28,25
MIN,Al Jefferson,0,16,7
SAS,Bruce Bowen,0,48,5
MIN,Ryan Gomes,0,23,25
MIN,Al Jefferson,0,36,5
SAS,Bruce Bowen,0,48,5
SAS,Manu Ginobili,1,25,6
MIN,Al Jefferson,0,19,18
MIN,Corey Brewer,0,25,6
SAS,Tim Duncan,1,25,6
MIN,Ryan Gomes,1,30,12
SAS,Michael Finley,1,10,12
MIN,Rashad McCants,0,20,26
SAS,Tony Parker,1,32,26
MIN,Marko Jaric,1,10,12
SAS,Tony Parker,0,49,5
MIN,Sebastian Telfair,1,25,6
MIN,Al Jefferson,1,29,14
SAS,Michael Finley,1,2,11
MIN,Craig Smith,1,25,6
MIN,Rashad McCants,1,17,12
SAS,Robert Horry,0,10,27
MIN,Craig Smith,0,25,6
SAS,Fabricio Oberto,0,24,14
MIN,Rashad McCants,0,31,10
MIN,Rashad McCants,0,34,19
SAS,Tony Parker,0,9,5
MIN,Rashad McCants,1,21,9
MIN,Craig Smith,0,18,9
SAS,Robert Horry,0,49,4
SAS,Manu Ginobili,1,2,7
MIN,Al Jefferson,1,25,6
SAS,Tim Duncan,1,29,14
MIN,Randy Foye,1,49,6
SAS,Manu Ginobili,1,25,6
MIN,Marko Jaric,1,2,7
SAS,Manu Ginobili,1,25,6
MIN,Al Jefferson,0,25,6
SAS,Ime Udoka,0,49,11
MIN,Sebastian Telfair,0,1,13
SAS,Manu Ginobili,0,12,14
SAS,Michael Finley,1,12,21
MIN,Al Jefferson,1,25,6
SAS,Michael Finley,0,22,23
MIN,Rashad McCants,1,13,15
SAS,Tim Duncan,1,25,6
MIN,Randy Foye,1,25,6
SAS,Michael Finley,0,3,18
MIN,Al Jefferson,1,12,10
MIN,Al Jefferson,1,25,6
MIN,Randy Foye,0,25,6
SAS,Manu Ginobili,1,25,22
MIN,Sebastian Telfair,0,44,22
