DEN,Kenyon Martin,0,25,6
DEN,Marcus Camby,1,25,6
NJN,Devin Harris,0,25,6
DEN,Anthony Carter,1,10,7
NJN,Richard Jefferson,0,19,24
DEN,Kenyon Martin,1,7,6
NJN,Richard Jefferson,1,25,6
DEN,Kenyon Martin,1,25,6
NJN,Richard Jefferson,1,38,7
DEN,Marcus Camby,0,24,25
NJN,Vince Carter,0,25,6
DEN,Kenyon Martin,1,25,6
NJN,Nenad Krstic,1,15,18
DEN,Allen Iverson,0,14,7
NJN,Josh Boone,1,25,6
DEN,Carmelo Anthony,1,24,11
NJN,Vince Carter,0,26,32
DEN,Carmelo Anthony,0,42,15
NJN,Richard Jefferson,1,25,6
DEN,Kenyon Martin,1,34,22
NJN,Nenad Krstic,0,9,7
DEN,Anthony Carter,0,25,6
NJN,Devin Harris,0,25,6
DEN,Marcus Camby,0,5,5
DEN,Carmelo Anthony,1,25,6
NJN,Vince Carter,0,22,27
DEN,Anthony Carter,0,2,5
NJN,Nenad Krstic,1,25,6
DEN,Anthony Carter,1,25,6
NJN,Josh Boone,0,23,26
NJN,Vince Carter,1,38,11
DEN,Carmelo Anthony,1,13,7
DEN,Carmelo Anthony,1,12,14
NJN,Josh Boone,1,25,6
DEN,Allen Iverson,0,25,6
DEN,Kenyon Martin,0,25,20
NJN,Sean Williams,1,27,20
DEN,Allen Iverson,0,25,6
NJN,Vince Carter,0,25,6
NJN,Vince Carter,1,15,19
DEN,Carmelo Anthony,1,7,12
NJN,Vince Carter,0,20,30
DEN,Carmelo Anthony,1,24,25
NJN,Stromile Swift,1,25,6
DEN,Eduardo Najera,0,25,6
DEN,Marcus Camby,1,25,6
DEN,Marcus Camby,0,30,9
NJN,Bostjan Nachbar,0,49,11
NJN,Marcus Williams,1,24,23
NJN,Vince Carter,0,45,9
DEN,Eduardo Najera,1,25,6
NJN,Marcus Williams,1,23,30
DEN,J.R. Smith,1,25,6
NJN,Marcus Williams,0,42,26
DEN,Linas Kleiza,1,25,6
NJN,Stromile Swift,0,42,10
DEN,J.R. Smith,0,25,6
DEN,Linas Kleiza,1,7,23
NJN,Richard Jefferson,0,30,11
NJN,Richard Jefferson,1,49,5
DEN,Linas Kleiza,1,5,20
NJN,Josh Boone,1,25,6
DEN,Allen Iverson,1,13,19
NJN,Richard Jefferson,1,25,6
DEN,J.R. Smith,1,3,14
DEN,Allen Iverson,0,40,26
NJN,Nenad Krstic,0,9,7
DEN,Linas Kleiza,0,26,32
NJN,Vince Carter,0,25,6
DEN,Linas Kleiza,1,23,16
NJN,Vince Carter,1,19,26
DEN,Marcus Camby,1,33,9
NJN,Vince Carter,1,23,27
DEN,Kenyon Martin,1,25,6
NJN,Devin Harris,0,48,13
DEN,Marcus Camby,0,24,14
NJN,Devin Harris,1,25,6
DEN,Allen Iverson,0,25,6
DEN,Kenyon Martin,0,25,6
NJN,Vince Carter,1,25,6
DEN,Kenyon Martin,1,25,6
