MEM,Darko Milicic,0,22,9
LAL,Kobe Bryant,0,16,26
MEM,Rudy Gay,1,29,9
LAL,Kobe Bryant,1,29,17
MEM,Hakim Warrick,1,44,10
LAL,Kobe Bryant,1,1,5
MEM,Mike Miller,0,7,19
MEM,Hakim Warrick,1,25,6
LAL,Ronny Turiaf,0,22,27
MEM,Darko Milicic,0,31,7
LAL,Lamar Odom,0,39,23
MEM,Rudy Gay,0,9,26
MEM,Hakim Warrick,0,33,23
LAL,Kobe Bryant,0,39,20
LAL,Ronny Turiaf,0,36,22
MEM,Hakim Warrick,0,25,6
LAL,Kobe Bryant,1,12,30
MEM,Mike Miller,0,25,6
LAL,Lamar Odom,1,15,14
MEM,Rudy Gay,1,25,6
LAL,Kobe Bryant,0,35,26
MEM,Rudy Gay,1,19,10
LAL,Vladimir Radmanovic,0,41,26
MEM,Mike Miller,0,10,21
LAL,Kobe Bryant,0,13,19
MEM,Rudy Gay,0,15,6
MEM,Darko Milicic,1,25,6
LAL,Lamar Odom,0,25,6
LAL,Jordan Farmar,1,18,31
MEM,Mike Conley,0,27,11
MEM,Darko Milicic,1,25,6
LAL,Kobe Bryant,1,27,32
MEM,Hakim Warrick,1,25,6
LAL,Kobe Bryant,1,13,27
LAL,Kobe Bryant,0,28,23
MEM,Javaris Crittenton,0,37,24
LAL,Jordan Farmar,0,25,6
MEM,Kyle Lowry,1,17,20
LAL,Kobe Bryant,1,9,26
MEM,Darko Milicic,0,17,27
MEM,Hakim Warrick,0,25,6
MEM,Hakim Warrick,1,30,7
LAL,Kobe Bryant,0,37,30
LAL,Luke Walton,0,13,11
MEM,Rudy Gay,1,37,24
LAL,Jordan Farmar,1,8,7
MEM,Rudy Gay,0,39,29
LAL,Jordan Farmar,0,32,30
LAL,Jordan Farmar,0,13,30
MEM,Juan Carlos Navarro,1,38,30
LAL,Vladimir Radmanovic,1,25,6
LAL,Vladimir Radmanovic,0,42,24
MEM,Javaris Crittenton,0,18,8
