SAC,Brad Miller,0,15,23
SAC,Jason Thompson,1,19,9
SAC,Beno Udrih,1,2,6
TOR,Jose Calderon,1,25,6
SAC,Beno Udrih,0,23,14
TOR,Jose Calderon,0,35,24
SAC,Kevin Martin,1,8,25
TOR,Andrea Bargnani,0,41,24
TOR,Jamario Moon,1,25,6
SAC,Kevin Martin,0,43,24
TOR,Chris Bosh,1,40,9
SAC,Kevin Martin,1,1,13
TOR,Anthony Parker,1,2,6
SAC,Beno Udrih,0,2,6
TOR,Andrea Bargnani,1,25,6
SAC,Brad Miller,1,25,6
TOR,Chris Bosh,1,8,7
SAC,John Salmons,1,22,25
TOR,Chris Bosh,0,16,10
TOR,Jamario Moon,0,8,7
SAC,Jason Thompson,0,14,11
SAC,John Salmons,1,25,6
TOR,Andrea Bargnani,1,18,26
TOR,Chris Bosh,0,15,9
TOR,Chris Bosh,1,39,16
TOR,Jermaine O'Neal,1,25,14
SAC,Jason Thompson,0,22,24
SAC,John Salmons,0,41,24
TOR,Chris Bosh,1,16,19
SAC,Brad Miller,1,12,27
TOR,Jermaine O'Neal,0,35,14
SAC,Spencer Hawes,0,38,12
TOR,Jermaine O'Neal,1,22,10
SAC,Brad Miller,1,23,31
SAC,Bobby Brown,1,38,27
SAC,Spencer Hawes,0,17,12
TOR,Roko Ukic,0,35,11
TOR,Andrea Bargnani,0,22,46
TOR,Joey Graham,0,25,6
TOR,Jermaine O'Neal,1,25,6
TOR,Andrea Bargnani,0,23,25
SAC,Bobby Brown,1,41,20
TOR,Joey Graham,0,40,13
SAC,Francisco Garcia,1,47,9
TOR,Roko Ukic,1,25,6
SAC,Francisco Garcia,1,23,28
SAC,Mikki Moore,1,18,12
TOR,Chris Bosh,1,15,12
SAC,Francisco Garcia,0,33,30
TOR,Anthony Parker,1,21,25
SAC,Francisco Garcia,1,25,6
TOR,Jason Kapono,0,44,10
SAC,Kevin Martin,0,25,6
SAC,Kevin Martin,1,36,6
TOR,Jose Calderon,1,33,30
SAC,Bobby Jackson,0,22,24
TOR,Chris Bosh,0,13,19
SAC,Jason Thompson,0,30,9
SAC,Jason Thompson,1,25,6
TOR,Anthony Parker,0,21,25
SAC,Bobby Jackson,0,8,7
TOR,Chris Bosh,0,25,6
SAC,Kevin Martin,0,21,31
TOR,Andrea Bargnani,0,17,19
TOR,Chris Bosh,1,25,6
TOR,Jose Calderon,1,33,25
SAC,Beno Udrih,0,25,6
TOR,Jose Calderon,1,38,11
SAC,Beno Udrih,0,25,6
SAC,Jason Thompson,0,25,6
TOR,Jamario Moon,1,12,28
SAC,John Salmons,1,25,6
SAC,John Salmons,1,14,8
TOR,Andrea Bargnani,0,25,6
SAC,Jason Thompson,1,25,6
TOR,Chris Bosh,1,37,10
SAC,John Salmons,0,8,24
TOR,Andrea Bargnani,1,12,28
SAC,Jason Thompson,1,25,6
TOR,Anthony Parker,0,44,21
SAC,Kevin Martin,0,38,23
TOR,Chris Bosh,0,17,27
SAC,Brad Miller,1,24,24
TOR,Andrea Bargnani,1,9,18
SAC,Jason Thompson,0,27,14
