ATL,Maurice Evans,0,18,21
ATL,Mike Bibby,0,7,25
PHI,Andre Iguodala,1,25,6
ATL,Josh Smith,0,22,16
PHI,Thaddeus Young,0,33,5
ATL,Joe Johnson,0,7,24
PHI,Willie Green,0,40,14
PHI,Thaddeus Young,0,26,23
PHI,Thaddeus Young,0,25,19
ATL,Josh Smith,1,25,11
PHI,Andre Miller,1,9,14
ATL,Al Horford,0,23,16
ATL,Maurice Evans,1,25,6
ATL,Josh Smith,1,25,6
PHI,Willie Green,1,25,6
PHI,Thaddeus Young,1,25,6
PHI,Willie Green,1,25,18
ATL,Josh Smith,1,25,6
PHI,Willie Green,1,25,6
PHI,Thaddeus Young,0,25,6
PHI,Thaddeus Young,0,25,6
PHI,Thaddeus Young,1,10,10
PHI,Willie Green,1,1,6
ATL,Joe Johnson,0,44,12
PHI,Thaddeus Young,1,25,6
ATL,Al Horford,0,40,14
PHI,Andre Iguodala,0,7,8
ATL,Ronald Murray,1,25,6
PHI,Andre Miller,1,35,17
ATL,Josh Smith,1,24,16
PHI,Andre Miller,0,45,22
ATL,Joe Johnson,0,15,11
PHI,Andre Iguodala,1,7,22
ATL,Josh Smith,1,25,6
PHI,Samuel Dalembert,1,35,9
ATL,Ronald Murray,0,25,6
PHI,Andre Iguodala,0,10,27
PHI,Andre Iguodala,0,2,5
ATL,Ronald Murray,0,37,9
PHI,Andre Iguodala,0,27,33
PHI,Lou Williams,0,25,6
ATL,Al Horford,1,25,6
PHI,Marreese Speights,0,13,17
PHI,Marreese Speights,1,27,24
PHI,Marreese Speights,0,8,6
ATL,Ronald Murray,0,36,22
PHI,Royal Ivey,1,36,19
PHI,Reggie Evans,0,17,11
ATL,Zaza Pachulia,1,38,5
PHI,Andre Miller,1,25,6
ATL,Al Horford,1,25,6
PHI,Royal Ivey,0,25,6
ATL,Mike Bibby,0,7,25
ATL,Ronald Murray,1,25,6
PHI,Marreese Speights,0,36,20
ATL,Al Horford,0,11,15
PHI,Lou Williams,0,33,22
ATL,Ronald Murray,0,25,6
ATL,Joe Johnson,0,23,21
PHI,Marreese Speights,1,28,13
ATL,Mike Bibby,0,38,29
PHI,Marreese Speights,1,25,16
ATL,Mike Bibby,0,17,17
ATL,Joe Johnson,0,14,18
PHI,Samuel Dalembert,0,25,6
ATL,Josh Smith,1,25,6
ATL,Josh Smith,1,27,31
PHI,Andre Miller,1,12,14
ATL,Mike Bibby,0,28,31
PHI,Andre Iguodala,1,25,6
PHI,Marreese Speights,1,25,6
ATL,Ronald Murray,0,25,6
ATL,Zaza Pachulia,0,25,6
ATL,Maurice Evans,0,49,5
ATL,Maurice Evans,0,47,5
PHI,Andre Miller,1,25,6
ATL,Mike Bibby,1,4,22
PHI,Willie Green,1,14,20
ATL,Josh Smith,1,25,6
PHI,Andre Iguodala,0,34,22
ATL,Josh Smith,1,10,27
PHI,Samuel Dalembert,0,25,6
ATL,Maurice Evans,0,43,25
ATL,Zaza Pachulia,0,22,10
PHI,Andre Miller,0,8,6
PHI,Reggie Evans,1,25,6
ATL,Mike Bibby,0,8,25
ATL,Maurice Evans,1,25,6
PHI,Andre Iguodala,1,10,18
PHI,Willie Green,1,9,15
PHI,Reggie Evans,0,25,6
PHI,Reggie Evans,0,25,6
PHI,Andre Miller,0,39,12
ATL,Mike Bibby,1,8,12
PHI,Reggie Evans,1,25,6
ATL,Joe Johnson,1,34,18
PHI,Andre Miller,1,41,9
ATL,Joe Johnson,1,24,11
PHI,Willie Green,1,11,17
PHI,Andre Miller,0,25,6
PHI,Samuel Dalembert,1,25,6
ATL,Josh Smith,1,47,19
PHI,Reggie Evans,1,25,6
ATL,Joe Johnson,1,44,22
PHI,Andre Miller,0,8,14
ATL,Ronald Murray,1,42,24
PHI,Andre Miller,0,16,10
ATL,Maurice Evans,0,5,21
PHI,Andre Iguodala,1,25,6
ATL,Josh Smith,1,25,6
PHI,Marreese Speights,0,35,21
ATL,Ronald Murray,1,14,17
PHI,Lou Williams,0,10,15
ATL,Zaza Pachulia,1,25,6
PHI,Andre Miller,0,34,19
ATL,Ronald Murray,1,13,12
ATL,Zaza Pachulia,0,24,19
PHI,Royal Ivey,0,48,5
ATL,Josh Smith,1,25,6
PHI,Andre Iguodala,0,12,32
PHI,Marreese Speights,1,25,6
ATL,Josh Smith,1,25,6
PHI,Lou Williams,1,12,17
ATL,Ronald Murray,0,37,29
PHI,Andre Iguodala,0,14,19
PHI,Lou Williams,0,21,7
PHI,Marreese Speights,1,25,6
ATL,Josh Smith,0,24,14
ATL,Mike Bibby,0,44,23
ATL,Ronald Murray,0,12,18
PHI,Theo Ratliff,1,25,6
ATL,Joe Johnson,0,15,14
PHI,Theo Ratliff,1,25,17
PHI,Andre Iguodala,1,25,6
PHI,Lou Williams,0,24,32
PHI,Marreese Speights,0,25,6
PHI,Andre Miller,0,15,6
ATL,Ronald Murray,0,36,15
PHI,Marreese Speights,0,25,6
ATL,Maurice Evans,0,42,23
ATL,Ronald Murray,0,7,8
PHI,Willie Green,0,7,29
