GSW,Jamal Crawford,0,43,26
GSW,Ronny Turiaf,0,22,24
MIN,Kevin Love,0,39,18
GSW,Kelenna Azubuike,1,14,30
MIN,Kevin Love,0,22,7
MIN,Kevin Love,1,25,6
GSW,Anthony Randolph,1,40,7
GSW,Ronny Turiaf,1,24,9
MIN,Mike Miller,0,25,7
GSW,Kelenna Azubuike,1,24,7
MIN,Ryan Gomes,0,40,5
GSW,Anthony Randolph,0,38,7
GSW,Anthony Randolph,1,25,11
MIN,Brian Cardinal,1,45,23
MIN,Kevin Love,0,39,6
MIN,Kevin Ollie,1,26,9
GSW,Kelenna Azubuike,1,25,31
MIN,Brian Cardinal,0,12,25
GSW,Jamal Crawford,0,37,19
GSW,Anthony Randolph,0,29,9
MIN,Ryan Gomes,0,32,31
GSW,Kelenna Azubuike,1,25,7
MIN,Ryan Gomes,1,36,12
GSW,Kelenna Azubuike,0,42,15
MIN,Craig Smith,0,26,14
GSW,Jamal Crawford,1,29,32
MIN,Kevin Love,1,25,6
MIN,Ryan Gomes,0,36,16
GSW,Jamal Crawford,0,2,7
GSW,Anthony Morrow,0,31,9
GSW,Rob Kurz,1,27,32
MIN,Craig Smith,0,41,8
MIN,Sebastian Telfair,0,37,21
MIN,Ryan Gomes,1,8,11
GSW,Kelenna Azubuike,1,25,9
MIN,Sebastian Telfair,1,25,18
GSW,Jamal Crawford,0,48,5
MIN,Craig Smith,0,30,16
MIN,Craig Smith,1,40,19
GSW,Jamal Crawford,0,45,38
MIN,Brian Cardinal,1,5,22
GSW,Rob Kurz,0,36,17
MIN,Bobby Brown,0,37,22
GSW,Anthony Morrow,1,12,9
MIN,Sebastian Telfair,1,29,32
GSW,Andris Biedrins,1,26,7
MIN,Craig Smith,1,25,6
GSW,C.J. Watson,1,24,6
GSW,C.J. Watson,1,24,16
MIN,Craig Smith,1,25,7
GSW,Kelenna Azubuike,1,25,8
MIN,Shelden Williams,1,24,7
GSW,Anthony Morrow,1,41,12
MIN,Bobby Brown,1,26,11
GSW,Anthony Morrow,0,38,25
GSW,Anthony Randolph,0,40,18
MIN,Shelden Williams,1,25,10
GSW,Kelenna Azubuike,0,17,24
MIN,Shelden Williams,0,23,9
MIN,Shelden Williams,0,25,9
MIN,Sebastian Telfair,0,48,6
GSW,Jamal Crawford,1,38,16
MIN,Sebastian Telfair,1,38,7
MIN,Brian Cardinal,1,9,7
GSW,Anthony Randolph,1,25,6
GSW,C.J. Watson,0,37,8
MIN,Sebastian Telfair,0,39,8
GSW,Kelenna Azubuike,1,18,27
GSW,Anthony Randolph,1,36,19
MIN,Brian Cardinal,1,24,7
GSW,Jamal Crawford,0,23,9
GSW,Anthony Morrow,0,2,6
MIN,Kevin Love,1,27,6
GSW,Anthony Randolph,1,28,9
GSW,C.J. Watson,1,25,18
MIN,Ryan Gomes,0,22,32
MIN,Craig Smith,0,26,8
GSW,Jamal Crawford,0,17,31
GSW,Andris Biedrins,1,25,8
MIN,Kevin Love,1,14,21
MIN,Mike Miller,0,26,12
GSW,Kelenna Azubuike,0,27,7
GSW,Andris Biedrins,1,25,7
MIN,Brian Cardinal,0,38,29
MIN,Ryan Gomes,0,25,7
GSW,Anthony Morrow,0,24,8
MIN,Ryan Gomes,0,33,10
MIN,Kevin Love,0,40,10
GSW,Jamal Crawford,0,10,28
GSW,Jamal Crawford,1,25,20
MIN,Mike Miller,1,29,28
GSW,Anthony Morrow,0,12,28
MIN,Kevin Ollie,0,17,23
GSW,Jamal Crawford,1,40,17
GSW,Anthony Morrow,0,7,27
MIN,Kevin Ollie,0,27,7
GSW,Anthony Randolph,0,25,17
GSW,Kelenna Azubuike,0,25,6
MIN,Kevin Love,0,27,7
GSW,C.J. Watson,0,41,8
MIN,Kevin Love,1,25,5
GSW,Anthony Randolph,0,30,11
GSW,Andris Biedrins,1,26,6
MIN,Ryan Gomes,1,2,9
GSW,Kelenna Azubuike,1,27,8
MIN,Kevin Ollie,0,37,5
GSW,Kelenna Azubuike,1,24,6
MIN,Mike Miller,1,25,12
GSW,Jamal Crawford,0,25,20
MIN,Kevin Love,0,24,13
GSW,C.J. Watson,0,22,13
GSW,Anthony Morrow,0,24,9
MIN,Kevin Love,0,25,9
MIN,Mike Miller,0,12,31
