TOR,Chris Bosh,0,26,20
PHI,Samuel Dalembert,1,25,6
TOR,Shawn Marion,0,33,16
PHI,Willie Green,1,48,6
TOR,Andrea Bargnani,0,34,22
PHI,Andre Iguodala,0,15,24
PHI,Andre Miller,0,25,6
PHI,Andre Miller,0,25,6
TOR,Andrea Bargnani,0,16,26
TOR,Chris Bosh,0,2,6
PHI,Willie Green,0,42,19
TOR,Chris Bosh,1,40,18
PHI,Willie Green,0,22,23
TOR,Chris Bosh,0,25,6
PHI,Andre Miller,0,41,6
TOR,Andrea Bargnani,1,25,6
PHI,Reggie Evans,1,25,6
TOR,Andrea Bargnani,1,26,31
PHI,Andre Miller,0,27,18
PHI,Andre Iguodala,0,25,6
TOR,Shawn Marion,1,25,6
PHI,Andre Iguodala,1,25,6
TOR,Chris Bosh,1,25,6
PHI,Reggie Evans,0,25,6
TOR,Chris Bosh,1,21,26
PHI,Andre Miller,0,39,19
PHI,Reggie Evans,0,18,10
PHI,Reggie Evans,0,25,6
TOR,Anthony Parker,0,25,6
PHI,Andre Iguodala,1,25,6
TOR,Jose Calderon,1,25,6
TOR,Andrea Bargnani,0,34,26
TOR,Anthony Parker,1,42,19
PHI,Andre Miller,0,25,6
TOR,Jose Calderon,0,25,6
PHI,Lou Williams,1,25,6
TOR,Patrick O'Bryant,0,11,6
PHI,Andre Miller,1,25,6
TOR,Andrea Bargnani,1,16,20
PHI,Andre Iguodala,1,25,6
TOR,Patrick O'Bryant,1,14,7
PHI,Lou Williams,1,25,6
TOR,Jason Kapono,1,44,10
TOR,Patrick O'Bryant,1,25,6
PHI,Royal Ivey,0,25,6
PHI,Lou Williams,0,25,6
PHI,Marreese Speights,0,25,6
PHI,Marreese Speights,1,25,6
TOR,Chris Bosh,1,18,9
PHI,Marreese Speights,0,17,18
PHI,Marreese Speights,0,25,6
PHI,Lou Williams,1,15,7
TOR,Patrick O'Bryant,0,9,7
TOR,Joey Graham,0,25,6
PHI,Marreese Speights,1,25,6
TOR,Chris Bosh,1,8,8
PHI,Royal Ivey,0,48,9
TOR,Roko Ukic,0,38,18
TOR,Jason Kapono,0,5,10
TOR,Andrea Bargnani,1,8,19
PHI,Marreese Speights,1,38,22
TOR,Joey Graham,1,20,9
PHI,Kareem Rush,0,47,6
PHI,Royal Ivey,1,30,30
TOR,Andrea Bargnani,1,31,24
PHI,Royal Ivey,1,44,21
TOR,Jason Kapono,0,20,28
PHI,Lou Williams,1,25,6
TOR,Chris Bosh,0,25,6
TOR,Chris Bosh,0,25,6
PHI,Royal Ivey,1,43,22
PHI,Marreese Speights,0,9,8
PHI,Andre Iguodala,0,27,26
TOR,Anthony Parker,0,44,9
TOR,Chris Bosh,0,2,6
TOR,Andrea Bargnani,1,25,6
PHI,Marreese Speights,1,28,25
TOR,Shawn Marion,1,32,13
TOR,Shawn Marion,1,25,6
PHI,Lou Williams,0,33,30
PHI,Andre Miller,0,7,12
TOR,Anthony Parker,1,30,23
PHI,Reggie Evans,0,25,6
TOR,Anthony Parker,0,46,18
TOR,Shawn Marion,1,41,19
TOR,Jose Calderon,1,25,6
PHI,Reggie Evans,1,25,6
TOR,Anthony Parker,0,48,5
PHI,Andre Iguodala,0,25,6
TOR,Shawn Marion,1,14,7
PHI,Willie Green,1,42,19
TOR,Andrea Bargnani,0,39,26
PHI,Samuel Dalembert,1,24,14
TOR,Andrea Bargnani,0,18,12
PHI,Andre Iguodala,1,25,6
TOR,Chris Bosh,0,14,12
PHI,Samuel Dalembert,1,39,9
TOR,Anthony Parker,0,2,6
PHI,Andre Miller,0,41,24
PHI,Reggie Evans,0,25,6
TOR,Jose Calderon,1,12,27
PHI,Willie Green,1,41,19
TOR,Anthony Parker,1,2,8
PHI,Andre Miller,0,42,12
PHI,Willie Green,0,47,19
PHI,Reggie Evans,1,25,6
TOR,Andrea Bargnani,1,22,21
PHI,Andre Miller,0,25,6
PHI,Willie Green,0,28,14
PHI,Reggie Evans,0,25,6
TOR,Chris Bosh,0,33,24
TOR,Patrick O'Bryant,1,25,6
PHI,Andre Miller,0,8,7
PHI,Samuel Dalembert,0,25,6
PHI,Samuel Dalembert,1,32,12
PHI,Willie Green,0,20,27
TOR,Jose Calderon,0,5,21
TOR,Anthony Parker,1,25,6
TOR,Anthony Parker,1,12,12
PHI,Andre Miller,1,25,6
TOR,Andrea Bargnani,0,12,27
TOR,Patrick O'Bryant,1,25,6
PHI,Samuel Dalembert,1,24,11
PHI,Lou Williams,0,25,6
TOR,Patrick O'Bryant,1,36,7
PHI,Marreese Speights,0,39,12
TOR,Anthony Parker,0,14,10
TOR,Joey Graham,1,25,6
PHI,Lou Williams,0,26,21
TOR,Anthony Parker,0,13,23
PHI,Marreese Speights,0,22,24
TOR,Quincy Douby,1,36,12
PHI,Marreese Speights,0,1,6
TOR,Shawn Marion,1,25,6
TOR,Joey Graham,1,22,11
PHI,Lou Williams,1,34,13
TOR,Quincy Douby,1,34,26
PHI,Marreese Speights,0,34,9
PHI,Lou Williams,0,38,27
TOR,Chris Bosh,1,41,9
PHI,Marreese Speights,1,25,6
TOR,Chris Bosh,1,29,26
TOR,Anthony Parker,1,25,6
TOR,Quincy Douby,1,48,6
PHI,Andre Iguodala,1,11,29
TOR,Anthony Parker,0,25,6
TOR,Anthony Parker,0,13,20
PHI,Andre Miller,0,34,10
PHI,Andre Iguodala,1,20,31
TOR,Andrea Bargnani,1,25,6
PHI,Andre Iguodala,0,44,21
TOR,Quincy Douby,0,2,7
TOR,Shawn Marion,0,27,10
PHI,Andre Iguodala,1,25,6
PHI,Andre Iguodala,0,23,31
TOR,Shawn Marion,0,23,14
TOR,Chris Bosh,0,23,11
PHI,Samuel Dalembert,1,25,6
PHI,Lou Williams,0,44,21
PHI,Lou Williams,0,45,21
PHI,Lou Williams,0,7,24
