GSW,Kelenna Azubuike,1,25,6
MEM,Mike Conley,0,24,13
MEM,Zach Randolph,1,21,9
GSW,Stephen Jackson,0,16,31
MEM,Mike Conley,0,23,7
MEM,O.J. Mayo,0,20,21
GSW,Kelenna Azubuike,0,46,6
MEM,Mike Conley,0,13,13
MEM,Rudy Gay,0,7,13
GSW,Monta Ellis,1,29,15
MEM,Zach Randolph,1,32,9
GSW,Stephen Curry,1,12,28
GSW,Kelenna Azubuike,1,24,6
MEM,Marc Gasol,0,23,8
MEM,Rudy Gay,1,35,14
GSW,Stephen Jackson,0,22,23
MEM,Mike Conley,1,27,6
GSW,Kelenna Azubuike,0,47,16
MEM,O.J. Mayo,0,23,8
MEM,Marc Gasol,0,17,22
MEM,Marc Gasol,0,26,13
GSW,Andris Biedrins,1,24,6
MEM,Rudy Gay,1,25,5
MEM,O.J. Mayo,0,24,10
MEM,Marc Gasol,0,25,6
GSW,Stephen Curry,0,26,7
MEM,Allen Iverson,0,16,9
GSW,Stephen Jackson,0,23,7
MEM,Marc Gasol,1,25,6
GSW,Monta Ellis,0,37,18
MEM,Allen Iverson,1,38,18
GSW,Monta Ellis,0,19,22
MEM,Allen Iverson,1,21,13
GSW,Monta Ellis,0,24,12
MEM,Rudy Gay,0,24,12
MEM,Allen Iverson,1,45,5
GSW,Monta Ellis,0,30,11
MEM,Rudy Gay,1,17,10
GSW,Corey Maggette,0,13,23
MEM,Rudy Gay,1,24,21
GSW,Corey Maggette,0,28,8
GSW,Mikki Moore,0,42,7
MEM,Rudy Gay,1,42,6
GSW,Corey Maggette,1,23,7
MEM,Allen Iverson,0,39,18
GSW,Stephen Curry,1,10,17
MEM,Mike Conley,1,47,12
GSW,Corey Maggette,0,16,24
MEM,Allen Iverson,0,26,6
GSW,Stephen Curry,0,19,7
GSW,Corey Maggette,1,31,22
GSW,Monta Ellis,0,33,18
GSW,Monta Ellis,0,14,13
GSW,Anthony Randolph,1,25,10
MEM,Zach Randolph,0,9,6
GSW,Stephen Curry,0,25,32
MEM,Zach Randolph,1,36,18
GSW,Corey Maggette,1,43,6
MEM,Allen Iverson,1,33,24
GSW,Corey Maggette,0,40,15
GSW,Monta Ellis,1,25,8
GSW,Anthony Morrow,0,4,5
GSW,Anthony Morrow,1,25,6
MEM,Marc Gasol,0,25,10
GSW,Corey Maggette,1,25,9
MEM,O.J. Mayo,1,43,6
GSW,Monta Ellis,0,15,9
GSW,Monta Ellis,1,24,7
MEM,Rudy Gay,0,25,31
GSW,Monta Ellis,0,26,7
GSW,Mikki Moore,1,25,6
MEM,Allen Iverson,1,24,7
GSW,Corey Maggette,0,5,8
GSW,Monta Ellis,0,22,7
GSW,Anthony Morrow,1,26,8
MEM,Marc Gasol,1,23,7
GSW,Corey Maggette,1,22,7
MEM,Mike Conley,0,24,7
GSW,Anthony Morrow,1,47,9
MEM,Rudy Gay,0,17,10
MEM,Zach Randolph,1,23,7
GSW,Corey Maggette,1,24,10
MEM,Marc Gasol,0,19,15
MEM,Rudy Gay,0,41,18
MEM,O.J. Mayo,1,25,6
GSW,Monta Ellis,1,25,8
GSW,Monta Ellis,1,25,6
GSW,Corey Maggette,1,25,7
MEM,Allen Iverson,0,44,5
MEM,Zach Randolph,1,23,7
MEM,O.J. Mayo,1,5,10
GSW,Corey Maggette,1,25,6
MEM,DeMarre Carroll,0,13,12
MEM,Allen Iverson,1,23,8
GSW,Monta Ellis,1,25,6
MEM,DeMarre Carroll,1,7,6
GSW,Monta Ellis,0,18,9
GSW,Stephen Jackson,0,23,12
MEM,Zach Randolph,0,24,9
GSW,Stephen Jackson,0,12,19
GSW,Kelenna Azubuike,1,22,6
MEM,O.J. Mayo,0,11,28
MEM,Rudy Gay,1,40,17
GSW,Stephen Jackson,1,12,21
MEM,O.J. Mayo,1,27,7
MEM,Rudy Gay,1,40,16
GSW,Stephen Jackson,0,29,27
MEM,Mike Conley,1,26,26
GSW,Anthony Morrow,1,9,27
MEM,Rudy Gay,1,35,17
GSW,Stephen Jackson,1,25,6
MEM,Rudy Gay,1,14,29
GSW,Anthony Morrow,1,10,7
MEM,Rudy Gay,1,25,6
GSW,Anthony Morrow,1,6,23
GSW,Stephen Jackson,1,33,24
GSW,Anthony Morrow,1,23,7
GSW,Stephen Curry,1,25,8
GSW,Stephen Jackson,0,47,9
GSW,Monta Ellis,0,33,25
MEM,Zach Randolph,0,12,15
GSW,Anthony Morrow,1,24,31
MEM,Rudy Gay,0,38,29
MEM,Mike Conley,0,16,24
GSW,Monta Ellis,1,19,22
