PHI,Willie Green,0,25,6
DAL,Jason Kidd,1,25,6
PHI,Andre Iguodala,0,23,30
DAL,Jason Kidd,1,5,20
PHI,Willie Green,0,39,20
PHI,Samuel Dalembert,1,11,22
DAL,Dirk Nowitzki,0,27,20
PHI,Thaddeus Young,1,25,6
DAL,Rodrigue Beaubois,0,47,16
PHI,Jrue Holiday,0,25,6
PHI,Thaddeus Young,0,24,10
PHI,Thaddeus Young,0,21,26
DAL,Rodrigue Beaubois,1,43,12
DAL,Erick Dampier,1,25,6
PHI,Samuel Dalembert,0,33,18
DAL,Rodrigue Beaubois,0,25,6
PHI,Andre Iguodala,1,25,6
DAL,Dirk Nowitzki,1,8,9
PHI,Willie Green,0,25,6
PHI,Willie Green,1,25,6
PHI,Jrue Holiday,1,25,6
PHI,Thaddeus Young,0,25,10
DAL,Jason Kidd,1,40,25
DAL,Jason Kidd,1,25,6
PHI,Thaddeus Young,0,42,8
PHI,Elton Brand,1,25,6
DAL,Shawn Marion,0,25,6
DAL,Shawn Marion,0,29,10
PHI,Willie Green,1,25,6
DAL,Jason Kidd,0,19,29
PHI,Samuel Dalembert,1,11,15
DAL,Shawn Marion,0,15,8
PHI,Thaddeus Young,1,33,9
DAL,Jason Kidd,1,5,20
PHI,Elton Brand,1,34,9
DAL,Dirk Nowitzki,1,40,15
PHI,Willie Green,0,41,13
DAL,Dirk Nowitzki,1,11,11
PHI,Elton Brand,0,37,9
DAL,James Singleton,1,25,6
PHI,Jrue Holiday,0,10,19
PHI,Willie Green,0,15,28
DAL,Dirk Nowitzki,0,15,28
PHI,Thaddeus Young,0,13,27
DAL,Dirk Nowitzki,0,31,10
PHI,Thaddeus Young,0,12,27
DAL,Drew Gooden,1,33,23
PHI,Willie Green,0,25,6
DAL,Jason Terry,0,47,6
PHI,Jason Smith,0,19,26
DAL,Drew Gooden,0,15,24
PHI,Jason Smith,0,34,10
DAL,Jose Juan Barea,0,12,27
DAL,James Singleton,0,6,8
PHI,Rodney Carney,0,25,6
PHI,Jason Smith,1,25,6
DAL,Drew Gooden,1,25,6
PHI,Jason Kapono,0,35,11
DAL,Shawn Marion,1,25,6
DAL,James Singleton,0,40,11
PHI,Rodney Carney,0,16,29
DAL,Shawn Marion,1,28,11
PHI,Elton Brand,1,25,6
PHI,Andre Iguodala,1,25,6
DAL,Drew Gooden,0,37,9
PHI,Andre Iguodala,1,20,30
DAL,Dirk Nowitzki,0,25,6
DAL,Drew Gooden,1,25,6
PHI,Royal Ivey,0,25,6
PHI,Jason Smith,0,25,6
PHI,Andre Iguodala,0,33,24
PHI,Jason Smith,0,40,14
DAL,Dirk Nowitzki,0,9,14
DAL,Dirk Nowitzki,1,33,24
PHI,Andre Iguodala,0,20,15
DAL,Jason Terry,1,25,6
DAL,Jose Juan Barea,0,25,6
PHI,Andre Iguodala,0,25,6
DAL,Dirk Nowitzki,0,24,11
PHI,Andre Iguodala,0,23,12
DAL,Jason Kidd,0,48,7
DAL,Jason Terry,1,10,25
PHI,Jrue Holiday,0,17,16
DAL,Jason Terry,0,8,11
DAL,Dirk Nowitzki,1,40,9
PHI,Samuel Dalembert,0,27,25
DAL,Dirk Nowitzki,1,19,31
PHI,Andre Iguodala,0,40,26
DAL,Jason Terry,0,33,29
PHI,Jrue Holiday,1,31,10
PHI,Willie Green,1,25,11
DAL,Shawn Marion,1,25,6
DAL,Jason Kidd,1,41,16
PHI,Jrue Holiday,0,11,27
PHI,Andre Iguodala,1,6,9
DAL,Erick Dampier,0,25,6
PHI,Thaddeus Young,1,34,9
DAL,Jason Kidd,0,46,18
PHI,Andre Iguodala,0,8,13
DAL,Shawn Marion,1,25,6
PHI,Willie Green,1,18,19
DAL,Jose Juan Barea,0,20,30
PHI,Thaddeus Young,0,25,6
PHI,Thaddeus Young,1,25,6
DAL,Dirk Nowitzki,0,35,22
DAL,Dirk Nowitzki,1,14,14
PHI,Willie Green,0,46,7
PHI,Thaddeus Young,1,35,29
DAL,Dirk Nowitzki,1,13,10
DAL,Dirk Nowitzki,0,25,6
DAL,Jason Kidd,0,36,21
DAL,Dirk Nowitzki,0,40,14
DAL,Shawn Marion,0,15,8
PHI,Royal Ivey,0,43,23
DAL,Drew Gooden,1,31,10
DAL,Jason Kidd,0,20,9
DAL,Jason Kidd,0,25,6
DAL,Jason Kidd,1,47,15
PHI,Willie Green,1,34,18
DAL,Shawn Marion,1,32,13
PHI,Elton Brand,1,29,11
DAL,Shawn Marion,1,29,12
PHI,Elton Brand,0,28,15
PHI,Royal Ivey,1,25,6
DAL,Jason Kidd,0,45,13
PHI,Andre Iguodala,0,25,6
PHI,Elton Brand,1,25,6
DAL,Jose Juan Barea,0,16,9
PHI,Willie Green,1,11,18
DAL,Drew Gooden,0,42,8
PHI,Willie Green,0,41,9
DAL,Jose Juan Barea,1,3,8
PHI,Andre Iguodala,0,2,9
DAL,Dirk Nowitzki,0,23,16
PHI,Royal Ivey,0,20,10
DAL,Jason Terry,0,5,20
PHI,Royal Ivey,0,25,6
PHI,Elton Brand,1,25,6
DAL,Dirk Nowitzki,1,16,18
DAL,Dirk Nowitzki,1,38,18
PHI,Jrue Holiday,1,18,10
DAL,Jose Juan Barea,1,11,27
DAL,Jose Juan Barea,1,25,6
PHI,Elton Brand,0,34,10
DAL,Dirk Nowitzki,0,18,22
DAL,Jose Juan Barea,0,23,12
DAL,Drew Gooden,1,27,21
DAL,Jason Kidd,1,3,17
PHI,Elton Brand,0,19,11
PHI,Samuel Dalembert,0,25,6
PHI,Samuel Dalembert,0,25,6
PHI,Elton Brand,1,25,6
DAL,Dirk Nowitzki,0,24,14
PHI,Thaddeus Young,0,25,6
PHI,Thaddeus Young,0,25,6
PHI,Willie Green,1,22,23
DAL,Jose Juan Barea,1,42,23
PHI,Elton Brand,1,29,21
PHI,Thaddeus Young,0,45,20
DAL,Jason Kidd,0,30,29
DAL,Jose Juan Barea,0,26,31
DAL,Drew Gooden,0,25,6
PHI,Willie Green,1,23,10
DAL,Dirk Nowitzki,1,34,22
PHI,Andre Iguodala,1,39,8
PHI,Thaddeus Young,1,25,6
DAL,Dirk Nowitzki,0,40,11
DAL,Dirk Nowitzki,0,42,5
PHI,Jason Kapono,0,6,22
PHI,Thaddeus Young,1,25,6
PHI,Thaddeus Young,1,38,26
DAL,Dirk Nowitzki,0,25,6
DAL,Drew Gooden,0,25,6
PHI,Jason Kapono,0,5,20
PHI,Andre Iguodala,0,25,24
