CHI,Derrick Rose,0,21,25
CHI,Luol Deng,1,25,6
NYK,Wilson Chandler,0,14,26
CHI,Luol Deng,0,8,19
NYK,Danilo Gallinari,1,46,14
NYK,Jared Jeffries,0,25,6
CHI,Derrick Rose,0,25,6
NYK,David Lee,1,24,26
CHI,John Salmons,0,21,22
NYK,Chris Duhon,0,25,6
CHI,John Salmons,0,43,22
NYK,Danilo Gallinari,0,25,6
CHI,Joakim Noah,0,25,6
NYK,Wilson Chandler,1,25,6
CHI,Joakim Noah,0,25,6
NYK,Danilo Gallinari,1,13,28
CHI,Luol Deng,1,26,28
NYK,Wilson Chandler,1,23,10
NYK,Danilo Gallinari,0,38,26
CHI,Brad Miller,0,4,5
NYK,Danilo Gallinari,0,41,33
CHI,Derrick Rose,0,38,21
NYK,Chris Duhon,1,10,29
CHI,Joakim Noah,0,30,12
CHI,Luol Deng,1,25,6
NYK,Wilson Chandler,0,25,6
NYK,David Lee,0,41,9
CHI,Luol Deng,0,26,11
NYK,Al Harrington,0,41,24
NYK,David Lee,1,28,27
CHI,Joakim Noah,0,18,7
NYK,Danilo Gallinari,0,26,30
CHI,Kirk Hinrich,0,13,28
CHI,Taj Gibson,1,25,6
NYK,Chris Duhon,0,29,30
NYK,Jonathan Bender,0,2,10
CHI,James Johnson,1,25,6
CHI,Joakim Noah,0,23,9
CHI,Joakim Noah,0,25,6
NYK,Al Harrington,1,25,6
CHI,Kirk Hinrich,1,39,21
NYK,Larry Hughes,0,5,23
NYK,Chris Duhon,0,33,26
NYK,Al Harrington,1,25,6
CHI,Jannero Pargo,0,20,24
CHI,Kirk Hinrich,1,48,15
NYK,Jared Jeffries,1,25,6
CHI,James Johnson,0,18,25
NYK,Wilson Chandler,1,25,6
NYK,Larry Hughes,1,19,22
CHI,Kirk Hinrich,0,21,26
NYK,Larry Hughes,1,25,6
CHI,James Johnson,0,25,6
CHI,Taj Gibson,1,21,10
CHI,Joakim Noah,0,25,6
CHI,Joakim Noah,1,25,6
NYK,Al Harrington,1,36,28
CHI,Taj Gibson,1,29,8
NYK,Jonathan Bender,0,14,7
CHI,Joakim Noah,0,25,6
CHI,John Salmons,0,39,19
CHI,Derrick Rose,1,9,20
NYK,David Lee,0,37,21
CHI,Luol Deng,0,24,25
CHI,Derrick Rose,1,17,14
NYK,Chris Duhon,0,25,6
NYK,Danilo Gallinari,0,39,27
CHI,Luol Deng,0,45,11
NYK,Wilson Chandler,1,11,20
CHI,Joakim Noah,0,17,5
CHI,Derrick Rose,0,21,25
NYK,David Lee,1,24,21
NYK,David Lee,1,14,19
CHI,Kirk Hinrich,0,25,6
CHI,Joakim Noah,1,25,6
NYK,Danilo Gallinari,0,27,28
CHI,Derrick Rose,0,25,6
NYK,Wilson Chandler,1,25,6
CHI,Luol Deng,1,25,6
NYK,Chris Duhon,1,25,6
CHI,John Salmons,0,2,5
NYK,Wilson Chandler,1,25,6
CHI,Luol Deng,0,13,29
NYK,Wilson Chandler,0,28,25
NYK,Al Harrington,1,46,10
NYK,Wilson Chandler,0,30,9
CHI,Derrick Rose,1,25,6
NYK,Danilo Gallinari,0,25,6
CHI,Luol Deng,0,25,6
NYK,Jared Jeffries,0,29,9
NYK,Chris Duhon,1,25,6
NYK,Wilson Chandler,0,25,6
CHI,Derrick Rose,0,14,18
NYK,Danilo Gallinari,0,15,16
CHI,Luol Deng,0,46,14
CHI,Derrick Rose,0,18,12
NYK,Wilson Chandler,0,39,27
CHI,Derrick Rose,1,25,6
NYK,Chris Duhon,0,8,24
NYK,David Lee,0,25,6
CHI,Taj Gibson,0,25,6
CHI,Luol Deng,1,25,6
NYK,Jared Jeffries,0,39,8
NYK,David Lee,1,25,6
CHI,Luol Deng,0,25,6
NYK,Wilson Chandler,0,31,28
CHI,Derrick Rose,1,26,13
NYK,David Lee,0,19,5
NYK,Al Harrington,0,13,18
CHI,Luol Deng,0,42,15
CHI,Kirk Hinrich,0,25,6
NYK,Al Harrington,0,17,30
NYK,Wilson Chandler,0,31,9
NYK,David Lee,1,24,26
CHI,Luol Deng,1,44,7
NYK,Danilo Gallinari,0,40,27
CHI,Luol Deng,1,25,6
NYK,Larry Hughes,0,1,6
NYK,Al Harrington,0,2,9
CHI,Luol Deng,0,40,22
NYK,David Lee,1,27,10
CHI,Derrick Rose,1,21,10
NYK,Al Harrington,1,38,18
CHI,Derrick Rose,1,25,6
NYK,Al Harrington,0,32,30
CHI,Derrick Rose,0,31,20
NYK,Chris Duhon,0,16,30
NYK,Al Harrington,1,25,6
CHI,John Salmons,0,10,15
NYK,Wilson Chandler,1,25,13
CHI,Derrick Rose,1,35,30
CHI,John Salmons,1,25,6
CHI,John Salmons,0,44,21
NYK,Larry Hughes,0,19,30
CHI,Luol Deng,1,27,25
NYK,Wilson Chandler,1,25,6
CHI,John Salmons,0,29,14
NYK,Jared Jeffries,1,1,6
CHI,Luol Deng,1,14,21
NYK,Al Harrington,1,11,7
CHI,Kirk Hinrich,0,25,6
NYK,Al Harrington,0,32,21
CHI,Brad Miller,0,31,25
NYK,Larry Hughes,0,15,24
CHI,Brad Miller,0,41,5
NYK,Danilo Gallinari,0,27,31
CHI,Luol Deng,1,25,6
NYK,Jared Jeffries,1,10,18
CHI,Derrick Rose,0,11,22
NYK,Danilo Gallinari,0,44,21
CHI,John Salmons,1,8,25
NYK,Al Harrington,0,25,6
CHI,Derrick Rose,1,25,6
NYK,Al Harrington,1,49,7
CHI,Luol Deng,0,29,26
CHI,Joakim Noah,1,25,6
NYK,Wilson Chandler,0,23,31
CHI,Derrick Rose,1,25,6
NYK,Al Harrington,0,49,7
NYK,David Lee,0,25,6
CHI,Derrick Rose,1,25,6
NYK,Wilson Chandler,0,8,6
CHI,Joakim Noah,1,18,6
NYK,Chris Duhon,0,25,6
CHI,Derrick Rose,0,27,21
NYK,Jared Jeffries,0,16,30
CHI,Luol Deng,0,32,27
NYK,David Lee,1,42,8
CHI,Luol Deng,1,25,6
