PHI,Lou Williams,0,13,9
SAC,Donte Greene,0,30,9
PHI,Lou Williams,0,48,8
SAC,Beno Udrih,0,13,28
PHI,Thaddeus Young,0,42,10
SAC,Donte Greene,0,21,7
SAC,Donte Greene,0,25,6
PHI,Allen Iverson,1,14,20
SAC,Spencer Hawes,1,32,14
PHI,Samuel Dalembert,0,11,7
SAC,Omri Casspi,0,31,7
PHI,Allen Iverson,0,25,6
SAC,Jason Thompson,1,15,9
PHI,Andre Iguodala,0,13,21
SAC,Jason Thompson,0,15,11
PHI,Lou Williams,0,25,10
SAC,Spencer Hawes,0,25,6
SAC,Omri Casspi,1,25,6
SAC,Omri Casspi,1,25,6
PHI,Lou Williams,0,17,8
SAC,Omri Casspi,1,25,6
PHI,Andre Iguodala,1,8,15
SAC,Donte Greene,1,25,6
PHI,Thaddeus Young,1,34,7
SAC,Donte Greene,0,15,7
PHI,Allen Iverson,0,10,7
PHI,Lou Williams,1,25,6
SAC,Beno Udrih,0,38,9
SAC,Beno Udrih,0,30,22
PHI,Thaddeus Young,0,25,6
PHI,Elton Brand,0,24,8
PHI,Elton Brand,0,25,6
PHI,Elton Brand,1,25,6
SAC,Omri Casspi,1,19,10
PHI,Jrue Holiday,1,26,18
SAC,Spencer Hawes,1,20,27
PHI,Jrue Holiday,1,25,6
SAC,Sergio Rodriguez,1,12,17
SAC,Sergio Rodriguez,1,25,6
SAC,Omri Casspi,1,7,6
SAC,Ime Udoka,1,25,6
PHI,Elton Brand,0,25,6
SAC,Spencer Hawes,0,25,6
PHI,Jrue Holiday,0,25,6
SAC,Ime Udoka,0,25,6
PHI,Jrue Holiday,0,25,43
SAC,Donte Greene,1,25,6
SAC,Sergio Rodriguez,0,21,14
PHI,Marreese Speights,1,39,14
SAC,Donte Greene,0,1,7
SAC,Sergio Rodriguez,1,25,6
PHI,Lou Williams,1,25,6
SAC,Jon Brockman,1,25,6
PHI,Rodney Carney,1,43,22
SAC,Sergio Rodriguez,1,24,24
PHI,Elton Brand,1,25,6
SAC,Kenny Thomas,1,25,6
PHI,Andre Iguodala,0,43,23
SAC,Andres Nocioni,0,38,27
SAC,Jason Thompson,0,20,11
PHI,Rodney Carney,0,47,17
PHI,Elton Brand,1,25,6
SAC,Andres Nocioni,0,28,12
SAC,Donte Greene,1,25,6
PHI,Elton Brand,0,24,18
SAC,Donte Greene,0,17,8
PHI,Andre Iguodala,1,25,6
SAC,Donte Greene,1,29,13
PHI,Marreese Speights,1,25,6
SAC,Jason Thompson,1,22,11
PHI,Lou Williams,1,25,31
PHI,Elton Brand,1,25,6
SAC,Spencer Hawes,1,37,21
PHI,Marreese Speights,1,25,6
SAC,Omri Casspi,0,18,9
PHI,Allen Iverson,0,29,9
PHI,Allen Iverson,1,48,6
SAC,Jason Thompson,1,30,10
PHI,Allen Iverson,0,18,7
PHI,Marreese Speights,0,42,8
SAC,Beno Udrih,0,26,25
SAC,Spencer Hawes,0,28,11
PHI,Lou Williams,1,25,6
SAC,Jon Brockman,1,25,6
SAC,Andres Nocioni,0,18,10
PHI,Allen Iverson,1,12,13
SAC,Andres Nocioni,0,28,10
PHI,Thaddeus Young,0,35,8
PHI,Thaddeus Young,0,17,12
PHI,Andre Iguodala,1,16,19
SAC,Beno Udrih,0,40,10
PHI,Thaddeus Young,0,24,14
PHI,Thaddeus Young,0,30,9
SAC,Donte Greene,0,12,28
PHI,Thaddeus Young,1,25,6
SAC,Spencer Hawes,0,35,22
PHI,Thaddeus Young,0,5,22
PHI,Allen Iverson,1,9,20
SAC,Spencer Hawes,0,29,13
SAC,Jason Thompson,1,25,6
PHI,Lou Williams,1,25,13
SAC,Spencer Hawes,0,42,23
PHI,Allen Iverson,0,32,8
SAC,Beno Udrih,0,34,18
SAC,Jason Thompson,1,30,9
PHI,Allen Iverson,0,25,6
SAC,Omri Casspi,1,29,31
SAC,Andres Nocioni,1,22,8
PHI,Elton Brand,0,25,16
SAC,Jason Thompson,0,30,12
SAC,Jason Thompson,0,29,12
SAC,Jason Thompson,0,22,10
PHI,Allen Iverson,1,22,7
SAC,Beno Udrih,0,35,29
SAC,Omri Casspi,1,40,8
SAC,Beno Udrih,1,25,6
PHI,Marreese Speights,1,9,11
SAC,Jason Thompson,1,30,9
PHI,Andre Iguodala,1,39,26
SAC,Andres Nocioni,1,28,31
PHI,Allen Iverson,1,32,30
PHI,Royal Ivey,0,2,7
SAC,Jason Thompson,0,16,19
PHI,Elton Brand,1,34,7
SAC,Andres Nocioni,0,37,27
PHI,Allen Iverson,0,8,14
SAC,Omri Casspi,0,12,27
SAC,Jason Thompson,1,25,6
SAC,Beno Udrih,1,1,9
PHI,Rodney Carney,1,1,9
SAC,Beno Udrih,0,33,19
PHI,Andre Iguodala,0,28,26
PHI,Rodney Carney,1,5,21
SAC,Donte Greene,1,4,18
PHI,Rodney Carney,1,2,8
SAC,Sergio Rodriguez,0,24,10
SAC,Sergio Rodriguez,1,25,6
PHI,Thaddeus Young,1,19,8
SAC,Sergio Rodriguez,0,17,29
PHI,Lou Williams,1,22,8
SAC,Sergio Rodriguez,0,25,6
PHI,Thaddeus Young,0,31,10
PHI,Lou Williams,0,41,24
PHI,Rodney Carney,1,25,6
SAC,Omri Casspi,1,48,7
PHI,Royal Ivey,0,31,12
SAC,Spencer Hawes,1,25,6
PHI,Lou Williams,1,25,6
SAC,Sergio Rodriguez,0,41,16
PHI,Allen Iverson,0,33,11
PHI,Lou Williams,1,22,31
SAC,Beno Udrih,1,41,24
SAC,Jason Thompson,0,25,14
PHI,Andre Iguodala,1,35,22
SAC,Omri Casspi,0,23,12
PHI,Lou Williams,0,23,14
SAC,Omri Casspi,0,25,6
PHI,Thaddeus Young,0,25,6
PHI,Andre Iguodala,1,20,8
SAC,Donte Greene,0,43,22
PHI,Lou Williams,1,25,6
SAC,Omri Casspi,0,2,8
SAC,Donte Greene,1,25,6
PHI,Andre Iguodala,1,30,24
SAC,Donte Greene,0,16,29
SAC,Donte Greene,1,25,6
SAC,Andres Nocioni,1,25,6
PHI,Thaddeus Young,1,25,6
SAC,Sergio Rodriguez,1,27,11
