MIN,Al Jefferson,1,13,12
GSW,Stephen Curry,0,4,15
GSW,Monta Ellis,1,25,6
MIN,Corey Brewer,0,36,5
MIN,Kevin Love,1,39,21
GSW,Corey Maggette,0,44,8
GSW,Anthony Randolph,0,10,12
MIN,Corey Brewer,1,25,6
GSW,Corey Maggette,0,25,6
MIN,Corey Brewer,1,25,6
GSW,Anthony Randolph,0,14,8
MIN,Damien Wilkins,0,17,21
GSW,Anthony Randolph,1,25,6
MIN,Jonny Flynn,0,25,6
GSW,Corey Maggette,1,25,6
GSW,Stephen Curry,1,14,23
GSW,Corey Maggette,1,25,6
MIN,Corey Brewer,0,7,16
GSW,Monta Ellis,1,45,9
MIN,Corey Brewer,1,44,9
GSW,Anthony Randolph,0,35,8
GSW,Corey Maggette,1,25,6
MIN,Damien Wilkins,0,17,7
MIN,Damien Wilkins,1,25,6
GSW,Monta Ellis,1,27,29
MIN,Jonny Flynn,0,25,6
GSW,Anthony Randolph,0,30,11
GSW,Monta Ellis,0,25,6
GSW,Stephen Curry,1,45,6
MIN,Corey Brewer,0,37,22
GSW,Monta Ellis,1,25,6
MIN,Jonny Flynn,0,27,12
MIN,Nathan Jawai,0,24,10
GSW,Anthony Randolph,1,25,6
GSW,Anthony Randolph,0,42,18
GSW,Andris Biedrins,0,32,9
MIN,Al Jefferson,0,35,11
GSW,Corey Maggette,1,25,6
MIN,Al Jefferson,0,30,11
GSW,Anthony Morrow,1,3,16
MIN,Ramon Sessions,0,25,6
MIN,Oleksiy Pecherov,0,25,6
GSW,Monta Ellis,0,25,6
MIN,Al Jefferson,1,25,6
GSW,Andris Biedrins,1,25,10
MIN,Ramon Sessions,1,20,7
MIN,Wayne Ellington,0,41,9
GSW,Vladimir Radmanovic,1,3,8
GSW,Anthony Morrow,0,49,7
MIN,Oleksiy Pecherov,1,25,21
GSW,Monta Ellis,1,25,6
MIN,Wayne Ellington,1,15,7
GSW,Andris Biedrins,1,25,12
MIN,Sasha Pavlovic,0,11,22
GSW,C.J. Watson,0,49,9
GSW,Stephen Curry,0,48,15
MIN,Al Jefferson,1,25,6
GSW,Stephen Curry,1,25,6
MIN,Wayne Ellington,1,41,15
GSW,C.J. Watson,0,8,9
GSW,Anthony Morrow,1,9,10
MIN,Sasha Pavlovic,0,23,31
GSW,Stephen Curry,1,25,6
MIN,Damien Wilkins,1,30,23
GSW,Ronny Turiaf,0,25,6
GSW,Stephen Curry,1,14,21
MIN,Al Jefferson,1,20,10
GSW,Anthony Morrow,1,14,10
MIN,Wayne Ellington,0,22,8
GSW,Andris Biedrins,1,25,6
MIN,Jonny Flynn,0,10,20
MIN,Jonny Flynn,0,23,31
GSW,Corey Maggette,0,48,6
MIN,Al Jefferson,1,26,10
GSW,Anthony Morrow,0,9,28
MIN,Kevin Love,0,49,7
GSW,C.J. Watson,0,45,8
GSW,Corey Maggette,0,30,17
GSW,Andris Biedrins,1,26,12
MIN,Ryan Gomes,0,1,7
MIN,Corey Brewer,0,25,6
MIN,Oleksiy Pecherov,0,25,6
GSW,Anthony Randolph,0,35,6
MIN,Corey Brewer,1,25,6
GSW,Anthony Morrow,0,14,28
GSW,Corey Maggette,1,25,6
MIN,Jonny Flynn,0,25,6
MIN,Corey Brewer,1,25,6
GSW,Monta Ellis,0,25,6
GSW,Anthony Randolph,1,25,6
MIN,Corey Brewer,0,33,20
GSW,Stephen Curry,1,19,12
MIN,Corey Brewer,0,2,8
GSW,Corey Maggette,0,37,20
MIN,Jonny Flynn,0,20,6
MIN,Kevin Love,0,25,6
MIN,Kevin Love,1,25,6
GSW,Stephen Curry,0,19,31
MIN,Jonny Flynn,0,25,28
GSW,Anthony Randolph,1,25,6
MIN,Kevin Love,0,21,6
MIN,Al Jefferson,1,25,6
GSW,Anthony Randolph,0,29,25
MIN,Al Jefferson,1,33,9
GSW,Monta Ellis,0,13,18
MIN,Al Jefferson,1,26,13
GSW,Vladimir Radmanovic,0,25,6
MIN,Corey Brewer,1,25,6
GSW,Corey Maggette,0,27,11
MIN,Corey Brewer,0,23,9
MIN,Al Jefferson,1,25,6
GSW,Vladimir Radmanovic,0,35,13
MIN,Ramon Sessions,0,21,11
MIN,Kevin Love,0,25,6
GSW,Corey Maggette,0,25,6
GSW,C.J. Watson,0,28,28
MIN,Corey Brewer,1,26,10
MIN,Ryan Gomes,1,40,21
GSW,Monta Ellis,1,25,6
MIN,Ryan Gomes,0,33,31
GSW,Anthony Randolph,0,25,6
GSW,Corey Maggette,1,25,6
MIN,Ryan Gomes,0,25,6
GSW,Corey Maggette,0,8,16
GSW,Corey Maggette,0,25,12
MIN,Al Jefferson,0,37,9
GSW,Monta Ellis,0,10,20
MIN,Kevin Love,1,11,6
GSW,Anthony Randolph,1,29,8
MIN,Ramon Sessions,0,33,7
MIN,Al Jefferson,0,24,46
GSW,Stephen Curry,0,39,20
GSW,Stephen Curry,1,28,20
MIN,Corey Brewer,1,25,11
GSW,Vladimir Radmanovic,0,41,8
MIN,Kevin Love,0,25,6
GSW,Corey Maggette,1,25,6
MIN,Al Jefferson,1,31,11
GSW,Corey Maggette,1,34,23
MIN,Al Jefferson,1,25,6
GSW,Corey Maggette,0,25,6
MIN,Kevin Love,1,39,10
GSW,Anthony Morrow,1,48,8
GSW,Corey Maggette,0,25,6
GSW,Anthony Morrow,0,8,25
MIN,Corey Brewer,1,31,13
GSW,Monta Ellis,0,9,25
MIN,Ryan Gomes,0,17,29
GSW,Monta Ellis,0,38,12
GSW,Anthony Randolph,0,19,7
MIN,Jonny Flynn,0,25,6
GSW,Monta Ellis,1,25,6
MIN,Wayne Ellington,1,2,7
GSW,Monta Ellis,0,30,12
GSW,Anthony Randolph,1,25,6
MIN,Al Jefferson,0,32,9
MIN,Kevin Love,1,25,6
MIN,Jonny Flynn,1,11,8
GSW,Monta Ellis,1,35,7
GSW,C.J. Watson,1,34,23
MIN,Jonny Flynn,0,43,14
GSW,Anthony Morrow,0,2,8
GSW,Monta Ellis,1,25,6
MIN,Kevin Love,1,33,12
GSW,Ronny Turiaf,0,36,12
MIN,Ryan Gomes,0,25,6
MIN,Al Jefferson,0,25,6
MIN,Kevin Love,0,25,6
MIN,Al Jefferson,1,25,6
MIN,Kevin Love,0,19,9
MIN,Wayne Ellington,1,20,5
