NOH,Chris Paul,0,20,10
NOH,Peja Stojakovic,1,45,2
WAS,Caron Butler,1,19,25
NOH,Peja Stojakovic,1,20,8
WAS,Antawn Jamison,0,16,2
NOH,Devin Brown,0,8,26
WAS,Caron Butler,0,7,8
NOH,David West,1,25,5
WAS,Antawn Jamison,1,31,14
NOH,David West,0,42,13
WAS,Randy Foye,0,20,26
WAS,Brendan Haywood,1,25,6
NOH,Emeka Okafor,0,24,7
WAS,Antawn Jamison,1,24,6
NOH,Peja Stojakovic,0,6,3
NOH,Chris Paul,1,23,24
WAS,Brendan Haywood,1,27,6
NOH,Peja Stojakovic,1,48,4
WAS,Antawn Jamison,0,2,3
NOH,Emeka Okafor,1,24,7
WAS,Caron Butler,1,46,5
NOH,Emeka Okafor,1,25,10
NOH,Devin Brown,0,7,5
WAS,Caron Butler,0,28,7
WAS,Brendan Haywood,1,26,6
NOH,Chris Paul,1,24,20
WAS,Antawn Jamison,1,5,3
NOH,Chris Paul,0,43,14
WAS,Brendan Haywood,1,25,5
NOH,Peja Stojakovic,1,48,17
WAS,Randy Foye,1,20,27
NOH,Chris Paul,0,23,13
WAS,Randy Foye,1,26,6
WAS,Nick Young,1,15,28
NOH,David West,1,37,11
WAS,Nick Young,1,12,14
NOH,David West,0,30,12
NOH,Emeka Okafor,0,24,6
NOH,David West,1,27,12
WAS,Antawn Jamison,1,45,3
NOH,Peja Stojakovic,1,30,31
WAS,Brendan Haywood,1,27,6
WAS,Antawn Jamison,0,8,24
WAS,Antawn Jamison,1,24,5
NOH,James Posey,1,46,21
WAS,Nick Young,0,24,4
NOH,Marcus Thornton,0,23,6
WAS,Antawn Jamison,0,23,31
NOH,Peja Stojakovic,0,7,22
WAS,Mike Miller,1,24,7
NOH,Darius Songaila,0,26,6
WAS,Antawn Jamison,1,25,8
NOH,Marcus Thornton,1,26,6
WAS,Earl Boykins,0,25,23
NOH,Darius Songaila,1,34,5
WAS,Earl Boykins,0,18,15
NOH,James Posey,1,44,25
NOH,Marcus Thornton,1,6,23
WAS,Nick Young,0,49,5
NOH,James Posey,0,27,32
WAS,Caron Butler,0,42,10
NOH,Darren Collison,0,26,21
NOH,Devin Brown,0,1,6
WAS,Randy Foye,0,49,12
NOH,Darren Collison,0,29,8
NOH,Darren Collison,1,27,7
WAS,Earl Boykins,1,20,12
NOH,Darren Collison,0,6,21
WAS,Caron Butler,0,21,9
NOH,Chris Paul,0,8,17
NOH,Chris Paul,1,9,16
NOH,Devin Brown,1,25,5
WAS,Nick Young,1,29,31
NOH,Devin Brown,1,11,26
WAS,Randy Foye,1,16,10
NOH,David West,1,17,6
NOH,Chris Paul,0,18,13
NOH,Chris Paul,1,33,32
WAS,Antawn Jamison,1,9,4
NOH,David West,1,27,11
WAS,Randy Foye,0,12,11
NOH,Devin Brown,1,8,24
WAS,Mike Miller,1,49,17
NOH,Peja Stojakovic,1,34,18
NOH,Chris Paul,1,14,22
WAS,Antawn Jamison,0,18,12
WAS,Randy Foye,0,17,24
NOH,Devin Brown,0,26,30
WAS,Caron Butler,0,14,22
WAS,Brendan Haywood,1,25,8
NOH,Chris Paul,0,18,29
NOH,Emeka Okafor,0,26,15
WAS,Randy Foye,0,25,8
NOH,Peja Stojakovic,0,49,4
NOH,Emeka Okafor,1,26,7
WAS,Caron Butler,1,24,6
NOH,Chris Paul,1,25,7
WAS,Antawn Jamison,0,20,12
NOH,Peja Stojakovic,0,5,4
WAS,Nick Young,1,18,20
NOH,David West,1,24,13
WAS,Randy Foye,1,22,22
NOH,Devin Brown,0,2,4
NOH,Peja Stojakovic,0,6,6
WAS,Randy Foye,1,41,18
NOH,Emeka Okafor,0,31,10
WAS,Brendan Haywood,1,25,5
NOH,David West,0,41,6
NOH,Chris Paul,0,26,8
NOH,Darius Songaila,0,13,22
WAS,Caron Butler,1,8,16
NOH,Chris Paul,1,24,30
WAS,Randy Foye,1,8,15
WAS,Antawn Jamison,1,2,5
NOH,Chris Paul,0,10,24
NOH,Darius Songaila,0,17,24
NOH,Peja Stojakovic,1,25,5
WAS,Caron Butler,0,13,16
NOH,Chris Paul,1,13,16
WAS,Randy Foye,0,15,10
WAS,Nick Young,0,40,20
NOH,Darius Songaila,0,25,18
NOH,Marcus Thornton,1,5,14
WAS,Antawn Jamison,1,25,5
NOH,Marcus Thornton,1,6,23
WAS,Antawn Jamison,1,4,19
NOH,Chris Paul,0,27,6
WAS,Earl Boykins,1,28,7
NOH,Peja Stojakovic,0,44,5
WAS,Nick Young,1,25,6
NOH,Marcus Thornton,1,25,6
WAS,Antawn Jamison,0,43,25
WAS,Caron Butler,0,40,17
WAS,Earl Boykins,1,21,9
NOH,Darius Songaila,1,26,7
WAS,Antawn Jamison,1,41,18
WAS,Earl Boykins,0,22,32
NOH,Marcus Thornton,1,3,16
WAS,Antawn Jamison,0,48,12
NOH,Chris Paul,0,25,9
WAS,Caron Butler,0,22,7
NOH,Darius Songaila,1,26,6
WAS,Nick Young,1,25,6
NOH,Marcus Thornton,0,21,7
WAS,Nick Young,1,42,6
NOH,Chris Paul,1,15,17
NOH,James Posey,1,49,15
WAS,Caron Butler,0,24,24
WAS,Randy Foye,0,28,8
WAS,Randy Foye,1,4,19
NOH,Chris Paul,1,41,16
WAS,Antawn Jamison,1,25,7
WAS,Randy Foye,0,24,31
WAS,Antawn Jamison,1,27,6
WAS,Randy Foye,1,24,6
WAS,Randy Foye,0,6,21
