PHX,Steve Nash,0,2,4
PHX,Steve Nash,1,31,12
GSW,Anthony Tolliver,1,25,6
PHX,Steve Nash,0,43,14
GSW,Stephen Curry,1,17,31
PHX,Jason Richardson,0,38,23
GSW,Corey Maggette,0,40,21
GSW,Cartier Martin,0,18,8
GSW,Corey Maggette,1,12,23
PHX,Grant Hill,1,25,6
GSW,Andris Biedrins,1,25,14
PHX,Robin Lopez,0,25,12
GSW,Corey Maggette,1,15,22
PHX,Robin Lopez,1,25,6
GSW,Corey Maggette,0,17,11
PHX,Grant Hill,0,23,14
PHX,Grant Hill,0,6,5
GSW,Anthony Tolliver,0,36,29
GSW,Andris Biedrins,0,25,6
PHX,Grant Hill,1,25,6
GSW,Stephen Curry,0,33,27
PHX,Grant Hill,0,34,30
PHX,Robin Lopez,1,32,12
GSW,Corey Maggette,0,33,24
GSW,Stephen Curry,1,8,25
PHX,Steve Nash,0,44,5
GSW,Andris Biedrins,0,25,6
PHX,Steve Nash,1,29,17
GSW,Anthony Tolliver,0,8,14
PHX,Grant Hill,1,24,22
GSW,Andris Biedrins,0,33,11
GSW,Corey Maggette,1,23,18
PHX,Amare Stoudemire,0,37,8
GSW,Cartier Martin,0,21,18
PHX,Amare Stoudemire,0,25,6
GSW,Corey Maggette,0,25,6
PHX,Jared Dudley,0,25,6
GSW,Stephen Curry,1,25,6
PHX,Steve Nash,1,25,6
PHX,Steve Nash,0,21,30
GSW,Corey Maggette,0,10,19
PHX,Steve Nash,1,9,26
GSW,Stephen Curry,0,16,11
PHX,Jared Dudley,0,8,24
GSW,Corey Maggette,1,44,17
PHX,Amare Stoudemire,0,25,14
GSW,Anthony Tolliver,1,45,8
PHX,Amare Stoudemire,0,30,13
GSW,C.J. Watson,1,31,10
PHX,Channing Frye,0,17,30
GSW,Ronny Turiaf,0,29,14
PHX,Jason Richardson,1,25,6
GSW,Devean George,1,2,15
GSW,Ronny Turiaf,0,24,14
GSW,Devean George,0,20,18
PHX,Jason Richardson,1,43,13
GSW,C.J. Watson,1,43,17
PHX,Jason Richardson,0,45,4
GSW,C.J. Watson,0,2,5
PHX,Goran Dragic,1,25,6
GSW,Stephen Curry,0,42,23
PHX,Grant Hill,0,26,13
PHX,Jason Richardson,1,10,13
GSW,Corey Maggette,1,10,13
PHX,Goran Dragic,0,10,27
GSW,Stephen Curry,0,22,14
PHX,Jason Richardson,0,41,19
PHX,Grant Hill,1,25,6
