CLE,J.J. Hickson,1,25,7
MIN,Corey Brewer,1,31,21
CLE,J.J. Hickson,0,34,12
MIN,Corey Brewer,1,25,7
CLE,Daniel Gibson,0,28,10
MIN,Damien Wilkins,0,13,21
MIN,Damien Wilkins,1,36,20
CLE,J.J. Hickson,1,26,8
MIN,Corey Brewer,0,25,8
MIN,Damien Wilkins,1,27,5
CLE,J.J. Hickson,1,25,6
MIN,Al Jefferson,0,28,14
MIN,Damien Wilkins,0,27,15
CLE,Shaquille O'Neal,1,26,7
MIN,Corey Brewer,1,24,5
CLE,Anthony Parker,1,18,31
MIN,Jonny Flynn,0,40,25
CLE,LeBron James,0,25,7
MIN,Ryan Gomes,1,43,7
CLE,Anthony Parker,1,35,22
MIN,Jonny Flynn,1,26,8
CLE,Shaquille O'Neal,1,24,7
MIN,Jonny Flynn,0,26,16
CLE,J.J. Hickson,1,24,6
MIN,Al Jefferson,1,16,17
CLE,LeBron James,0,25,7
MIN,Kevin Love,1,36,14
CLE,Daniel Gibson,0,41,26
MIN,Ryan Hollins,1,25,7
CLE,LeBron James,0,14,29
CLE,Daniel Gibson,0,25,31
MIN,Kevin Love,0,37,20
CLE,Anderson Varejao,1,24,6
MIN,Jonny Flynn,0,29,8
MIN,Corey Brewer,0,24,6
MIN,Jonny Flynn,0,37,19
CLE,Jawad Williams,0,13,28
MIN,Corey Brewer,0,25,6
MIN,Kevin Love,1,25,6
CLE,Jamario Moon,1,43,17
MIN,Ryan Hollins,0,25,12
CLE,Jawad Williams,0,25,7
MIN,Sasha Pavlovic,0,33,17
CLE,LeBron James,0,25,8
MIN,Wayne Ellington,0,2,6
MIN,Kevin Love,1,8,14
CLE,Zydrunas Ilgauskas,1,26,15
MIN,Sasha Pavlovic,0,6,11
CLE,Daniel Gibson,1,15,29
MIN,Al Jefferson,0,36,17
CLE,Daniel Gibson,1,25,7
MIN,Ramon Sessions,0,39,23
MIN,Wayne Ellington,0,24,6
MIN,Al Jefferson,1,24,6
CLE,Shaquille O'Neal,0,22,9
MIN,Ryan Gomes,0,12,20
CLE,Jawad Williams,0,17,30
CLE,Zydrunas Ilgauskas,1,24,6
MIN,Kevin Love,1,16,12
CLE,Zydrunas Ilgauskas,1,24,6
MIN,Kevin Love,0,35,24
CLE,Jawad Williams,0,10,12
CLE,Jamario Moon,0,16,23
MIN,Ryan Hollins,1,39,15
CLE,Shaquille O'Neal,1,25,7
MIN,Ryan Gomes,0,12,22
MIN,Corey Brewer,0,5,23
MIN,Ramon Sessions,1,11,11
CLE,Daniel Green,0,13,28
CLE,J.J. Hickson,1,25,6
MIN,Ryan Gomes,0,15,13
MIN,Kevin Love,0,26,5
CLE,LeBron James,1,40,5
CLE,LeBron James,1,21,9
MIN,Corey Brewer,1,35,19
CLE,Daniel Green,0,9,13
CLE,Daniel Green,1,25,7
MIN,Jonny Flynn,0,7,6
CLE,J.J. Hickson,1,25,7
MIN,Corey Brewer,0,25,9
MIN,Jonny Flynn,1,8,36
CLE,Anderson Varejao,1,25,6
MIN,Al Jefferson,0,24,7
CLE,J.J. Hickson,1,24,7
MIN,Corey Brewer,0,11,23
MIN,Jonny Flynn,1,24,20
CLE,Jamario Moon,1,49,9
CLE,Daniel Gibson,0,49,14
MIN,Damien Wilkins,0,38,18
CLE,Shaquille O'Neal,1,22,14
MIN,Al Jefferson,0,37,14
MIN,Al Jefferson,1,25,14
CLE,J.J. Hickson,1,24,7
MIN,Al Jefferson,0,39,12
MIN,Jonny Flynn,1,24,6
CLE,LeBron James,1,41,25
CLE,Shaquille O'Neal,1,16,9
MIN,Al Jefferson,0,8,10
CLE,Shaquille O'Neal,1,25,5
MIN,Kevin Love,0,8,9
CLE,LeBron James,0,9,29
MIN,Al Jefferson,0,31,12
MIN,Kevin Love,1,24,7
CLE,Shaquille O'Neal,0,25,13
MIN,Jonny Flynn,0,25,13
CLE,Anthony Parker,0,27,24
MIN,Corey Brewer,0,11,15
CLE,Anthony Parker,0,2,8
MIN,Al Jefferson,0,11,18
MIN,Kevin Love,0,24,6
CLE,Zydrunas Ilgauskas,0,45,8
MIN,Kevin Love,0,30,14
CLE,J.J. Hickson,0,7,13
MIN,Ryan Hollins,1,24,7
CLE,Jawad Williams,0,24,10
MIN,Corey Brewer,1,38,12
CLE,Daniel Gibson,1,25,6
CLE,Jamario Moon,1,25,8
MIN,Sasha Pavlovic,0,12,27
MIN,Kevin Love,1,25,6
CLE,Jawad Williams,0,47,7
CLE,Zydrunas Ilgauskas,1,25,6
MIN,Ryan Hollins,0,38,10
CLE,Anderson Varejao,0,25,8
MIN,Sasha Pavlovic,0,15,18
CLE,Jamario Moon,0,21,27
MIN,Ryan Gomes,1,12,21
MIN,Ryan Gomes,1,45,10
CLE,Jamario Moon,1,38,27
MIN,Sasha Pavlovic,0,33,13
CLE,Zydrunas Ilgauskas,1,25,13
MIN,Al Jefferson,0,25,7
