MIL,Brandon Jennings,0,20,31
MIL,Charlie Bell,1,48,6
NYK,Nate Robinson,0,18,25
MIL,Andrew Bogut,1,20,9
NYK,Wilson Chandler,1,25,6
MIL,Charlie Bell,1,48,4
NYK,Nate Robinson,1,25,6
MIL,Carlos Delfino,0,41,15
NYK,David Lee,0,20,26
MIL,Carlos Delfino,0,25,6
MIL,Brandon Jennings,0,40,22
MIL,Andrew Bogut,1,25,6
NYK,David Lee,1,23,11
MIL,Andrew Bogut,1,18,11
NYK,Wilson Chandler,0,25,6
NYK,Wilson Chandler,1,25,6
MIL,Carlos Delfino,1,25,6
NYK,Nate Robinson,0,14,5
MIL,Brandon Jennings,0,29,15
NYK,Wilson Chandler,0,21,15
NYK,David Lee,0,40,17
MIL,Charlie Bell,0,2,18
MIL,Brandon Jennings,1,17,10
NYK,David Lee,1,25,6
MIL,Brandon Jennings,0,10,22
NYK,David Lee,1,25,6
NYK,Nate Robinson,1,39,12
NYK,Al Harrington,0,5,19
MIL,Luc Richard Mbah a Moute,1,25,6
MIL,Luke Ridnour,1,25,6
NYK,David Lee,0,18,10
NYK,Nate Robinson,0,40,13
MIL,Jerry Stackhouse,1,9,5
NYK,David Lee,1,8,7
MIL,Ersan Ilyasova,1,25,6
NYK,Al Harrington,0,25,6
MIL,Ersan Ilyasova,1,10,3
NYK,Al Harrington,1,25,6
MIL,Jerry Stackhouse,0,9,3
MIL,Jerry Stackhouse,0,26,13
NYK,Al Harrington,1,48,4
MIL,Carlos Delfino,0,5,21
NYK,Larry Hughes,0,21,18
MIL,Hakim Warrick,0,25,6
NYK,David Lee,1,25,6
MIL,Ersan Ilyasova,1,45,20
NYK,Chris Duhon,1,25,6
MIL,Luke Ridnour,1,29,12
NYK,Larry Hughes,1,25,6
NYK,Al Harrington,0,25,6
NYK,David Lee,1,25,6
MIL,Luke Ridnour,0,13,4
NYK,Chris Duhon,1,25,6
NYK,Al Harrington,1,3,6
MIL,Jerry Stackhouse,0,7,19
NYK,Larry Hughes,0,3,18
MIL,Ersan Ilyasova,1,30,11
NYK,Al Harrington,1,3,16
MIL,Ersan Ilyasova,1,45,19
NYK,Chris Duhon,0,6,22
MIL,Luc Richard Mbah a Moute,1,25,6
NYK,Al Harrington,1,25,6
MIL,Brandon Jennings,0,40,9
NYK,Wilson Chandler,1,10,18
MIL,Charlie Bell,0,25,6
MIL,Ersan Ilyasova,0,7,5
NYK,Al Harrington,0,25,6
NYK,Al Harrington,0,25,6
MIL,Ersan Ilyasova,0,3,18
NYK,Danilo Gallinari,0,38,6
NYK,David Lee,0,25,6
MIL,Brandon Jennings,0,45,21
NYK,Nate Robinson,0,21,19
MIL,Charlie Bell,1,25,6
