PHI,Andre Iguodala,1,13,15
SAS,Tim Duncan,0,37,15
PHI,Samuel Dalembert,0,28,12
SAS,Keith Bogans,0,10,28
PHI,Jrue Holiday,1,14,4
SAS,George Hill,1,41,17
PHI,Elton Brand,0,24,11
SAS,Richard Jefferson,0,14,19
PHI,Allen Iverson,0,37,15
SAS,Tony Parker,0,37,16
SAS,George Hill,1,25,6
PHI,Andre Iguodala,1,10,4
SAS,George Hill,0,27,15
PHI,Jrue Holiday,1,29,11
SAS,Tim Duncan,0,37,16
PHI,Elton Brand,0,25,6
PHI,Allen Iverson,0,32,6
PHI,Elton Brand,1,26,14
PHI,Andre Iguodala,1,2,3
SAS,Manu Ginobili,0,25,6
PHI,Allen Iverson,0,26,18
PHI,Samuel Dalembert,1,25,6
SAS,Tim Duncan,1,25,6
PHI,Jrue Holiday,0,15,26
PHI,Elton Brand,0,32,10
SAS,Antonio McDyess,1,12,4
SAS,Manu Ginobili,0,25,6
PHI,Jrue Holiday,1,25,6
SAS,Richard Jefferson,1,29,6
PHI,Allen Iverson,1,27,20
SAS,Manu Ginobili,1,48,3
PHI,Jrue Holiday,1,26,22
SAS,Tony Parker,0,25,6
PHI,Marreese Speights,0,30,4
SAS,Tim Duncan,1,37,9
PHI,Lou Williams,1,25,6
SAS,Manu Ginobili,1,25,6
PHI,Thaddeus Young,0,39,26
SAS,DeJuan Blair,1,25,6
PHI,Marreese Speights,1,26,11
SAS,DeJuan Blair,1,25,6
PHI,Lou Williams,1,25,6
SAS,Tony Parker,1,25,6
PHI,Marreese Speights,1,25,6
SAS,Richard Jefferson,0,48,5
SAS,Richard Jefferson,0,23,32
PHI,Marreese Speights,0,24,23
SAS,Antonio McDyess,1,25,6
SAS,Richard Jefferson,1,25,6
PHI,Marreese Speights,1,25,6
SAS,DeJuan Blair,1,25,6
PHI,Thaddeus Young,1,26,11
PHI,Thaddeus Young,0,25,6
SAS,Manu Ginobili,0,2,5
PHI,Rodney Carney,0,6,22
PHI,Lou Williams,0,40,13
PHI,Jrue Holiday,0,25,6
SAS,Tony Parker,0,25,6
PHI,Samuel Dalembert,1,25,6
SAS,Tony Parker,0,41,11
SAS,Tony Parker,0,26,27
SAS,DeJuan Blair,0,25,6
SAS,DeJuan Blair,0,25,6
PHI,Elton Brand,1,34,12
SAS,Manu Ginobili,0,39,18
SAS,Tim Duncan,0,37,24
PHI,Thaddeus Young,0,42,11
SAS,Tony Parker,0,48,5
PHI,Andre Iguodala,0,23,23
SAS,Antonio McDyess,0,42,4
PHI,Jrue Holiday,1,20,6
SAS,Antonio McDyess,1,25,6
