PHI,Elton Brand,0,36,11
PHX,Jason Richardson,1,17,30
PHI,Andre Iguodala,1,6,17
PHX,Robin Lopez,1,37,6
PHI,Samuel Dalembert,1,17,10
PHX,Jason Richardson,0,16,7
PHI,Jrue Holiday,0,26,11
PHX,Jason Richardson,1,46,21
PHI,Lou Williams,0,48,8
PHI,Samuel Dalembert,1,32,14
PHX,Steve Nash,1,20,21
PHI,Samuel Dalembert,0,27,19
PHX,Steve Nash,1,8,24
PHX,Amare Stoudemire,0,42,11
PHI,Samuel Dalembert,0,12,9
PHX,Steve Nash,1,43,9
PHI,Jrue Holiday,0,30,22
PHI,Andre Iguodala,1,8,15
PHX,Grant Hill,0,2,6
PHX,Amare Stoudemire,0,25,6
PHX,Amare Stoudemire,0,16,6
PHI,Lou Williams,1,25,6
PHX,Grant Hill,1,44,8
PHI,Lou Williams,0,25,6
PHI,Samuel Dalembert,0,25,6
PHI,Lou Williams,1,1,6
PHX,Jason Richardson,0,13,27
PHX,Amare Stoudemire,1,35,19
PHX,Robin Lopez,1,25,6
PHI,Elton Brand,0,13,14
PHX,Grant Hill,0,36,17
PHI,Lou Williams,1,26,15
PHX,Amare Stoudemire,0,35,10
PHI,Samuel Dalembert,0,11,14
PHI,Andre Iguodala,1,18,27
PHX,Amare Stoudemire,0,24,11
PHI,Rodney Carney,0,25,6
PHI,Thaddeus Young,0,25,6
PHX,Steve Nash,1,38,11
PHI,Andre Iguodala,0,9,5
PHX,Channing Frye,1,34,30
PHI,Rodney Carney,0,49,9
PHI,Thaddeus Young,1,25,6
PHX,Channing Frye,0,12,27
PHI,Marreese Speights,0,34,21
PHX,Jared Dudley,1,25,6
PHI,Thaddeus Young,1,32,10
PHX,Steve Nash,1,42,29
PHX,Jared Dudley,0,25,14
PHX,Channing Frye,0,15,28
PHI,Marreese Speights,1,25,6
PHX,Channing Frye,0,17,13
PHI,Andre Iguodala,0,10,21
PHX,Channing Frye,0,10,27
PHX,Channing Frye,1,25,6
PHI,Rodney Carney,1,41,12
PHX,Goran Dragic,0,14,18
PHX,Goran Dragic,1,25,6
PHX,Channing Frye,0,24,14
PHI,Elton Brand,1,36,7
PHI,Jrue Holiday,0,42,24
PHX,Goran Dragic,0,10,27
PHX,Grant Hill,0,35,21
PHI,Jrue Holiday,1,25,6
PHX,Jared Dudley,0,5,20
PHI,Thaddeus Young,1,25,14
PHX,Goran Dragic,1,25,6
PHI,Elton Brand,0,12,14
PHI,Elton Brand,0,37,14
PHI,Thaddeus Young,0,25,6
PHX,Amare Stoudemire,0,25,6
PHX,Jason Richardson,0,25,6
PHX,Robin Lopez,1,25,6
PHX,Steve Nash,1,25,6
PHI,Andre Iguodala,0,30,15
PHI,Elton Brand,1,16,10
PHX,Amare Stoudemire,1,26,12
PHI,Thaddeus Young,1,30,12
PHX,Grant Hill,1,34,21
PHI,Elton Brand,0,26,22
PHX,Jason Richardson,1,42,12
PHI,Thaddeus Young,1,25,6
PHX,Jason Richardson,1,27,11
PHI,Andre Iguodala,1,5,21
PHX,Grant Hill,0,39,19
PHI,Thaddeus Young,0,37,11
PHX,Amare Stoudemire,1,25,6
PHX,Jason Richardson,1,25,6
PHI,Andre Iguodala,0,20,30
PHX,Amare Stoudemire,1,37,17
PHX,Jason Richardson,1,12,28
PHI,Jrue Holiday,0,13,29
PHX,Amare Stoudemire,1,38,6
PHI,Andre Iguodala,0,44,12
PHI,Andre Iguodala,1,25,6
PHX,Jason Richardson,1,25,6
PHX,Amare Stoudemire,1,24,12
PHI,Lou Williams,1,37,29
PHX,Jason Richardson,1,11,27
PHI,Elton Brand,0,12,21
PHX,Steve Nash,1,32,16
PHX,Robin Lopez,1,34,20
PHX,Robin Lopez,0,31,14
PHI,Lou Williams,0,41,16
PHI,Samuel Dalembert,0,25,6
PHI,Elton Brand,1,28,12
PHI,Elton Brand,0,10,6
PHX,Amare Stoudemire,0,27,12
PHI,Andre Iguodala,1,25,6
PHX,Amare Stoudemire,0,21,12
PHX,Robin Lopez,1,25,6
PHI,Elton Brand,0,27,13
PHX,Amare Stoudemire,1,24,12
PHI,Marreese Speights,0,19,11
PHX,Amare Stoudemire,1,37,22
PHI,Thaddeus Young,0,25,6
PHI,Thaddeus Young,0,25,6
PHI,Marreese Speights,1,18,9
PHX,Channing Frye,0,41,6
PHX,Channing Frye,0,16,24
PHI,Marreese Speights,1,25,6
PHX,Steve Nash,1,32,21
PHI,Thaddeus Young,1,25,6
PHX,Steve Nash,0,25,32
PHI,Thaddeus Young,1,48,7
PHI,Andre Iguodala,1,25,6
PHX,Amare Stoudemire,1,25,6
PHI,Lou Williams,0,19,31
PHX,Louis Amundson,0,23,13
PHX,Channing Frye,1,36,24
PHI,Jason Kapono,1,15,25
PHX,Goran Dragic,0,7,24
PHI,Thaddeus Young,0,25,6
PHX,Channing Frye,1,25,6
PHI,Thaddeus Young,0,25,14
PHX,Jared Dudley,0,40,16
PHX,Goran Dragic,0,23,22
PHI,Jason Kapono,0,39,27
PHX,Channing Frye,0,11,26
PHI,Rodney Carney,0,43,24
PHX,Grant Hill,0,31,15
PHX,Jason Richardson,0,43,12
PHI,Thaddeus Young,0,34,20
PHX,Jared Dudley,1,31,16
PHI,Lou Williams,1,33,23
PHI,Lou Williams,0,16,30
PHX,Jared Dudley,0,2,5
PHI,Lou Williams,1,25,6
PHI,Marreese Speights,1,33,10
PHX,Goran Dragic,1,25,6
PHI,Marreese Speights,1,22,24
PHX,Goran Dragic,0,20,11
PHI,Rodney Carney,0,25,12
PHI,Rodney Carney,1,25,6
PHX,Channing Frye,0,12,28
PHI,Thaddeus Young,0,48,7
PHX,Amare Stoudemire,0,36,8
PHX,Channing Frye,1,13,27
PHI,Marreese Speights,1,16,8
PHX,Amare Stoudemire,1,25,6
PHI,Rodney Carney,0,47,18
PHX,Jared Dudley,0,44,22
PHX,Taylor Griffin,1,25,6
PHI,Jodie Meeks,0,40,27
PHI,Jason Kapono,0,44,2
PHX,Earl Clark,0,44,5
PHI,Thaddeus Young,0,25,6
PHI,Jrue Holiday,1,5,21
PHI,Jrue Holiday,1,25,6
PHX,Earl Clark,0,11,18
