SAC,Beno Udrih,0,38,17
UTA,Carlos Boozer,0,26,11
UTA,Mehmet Okur,0,25,6
UTA,Mehmet Okur,0,25,6
UTA,Wesley Matthews,0,38,15
SAC,Tyreke Evans,0,12,28
UTA,Carlos Boozer,0,23,18
SAC,Tyreke Evans,1,25,6
UTA,Wesley Matthews,1,25,6
SAC,Omri Casspi,0,42,11
SAC,Beno Udrih,1,25,6
UTA,Mehmet Okur,1,25,6
SAC,Tyreke Evans,0,25,9
UTA,Wesley Matthews,0,25,6
SAC,Beno Udrih,1,25,6
UTA,Mehmet Okur,1,29,13
SAC,Carl Landry,0,25,6
SAC,Beno Udrih,1,25,6
UTA,Wesley Matthews,0,17,29
SAC,Tyreke Evans,0,25,6
SAC,Spencer Hawes,1,25,6
SAC,Spencer Hawes,1,30,30
UTA,Carlos Boozer,0,35,11
SAC,Tyreke Evans,1,34,24
UTA,Deron Williams,0,23,22
SAC,Carl Landry,1,25,6
UTA,Mehmet Okur,0,20,9
UTA,Carlos Boozer,1,25,6
SAC,Beno Udrih,0,25,21
UTA,Deron Williams,0,29,31
SAC,Omri Casspi,0,30,30
UTA,Andrei Kirilenko,0,22,13
UTA,Andrei Kirilenko,0,25,6
UTA,Paul Millsap,0,36,8
SAC,Tyreke Evans,0,34,10
UTA,C.J. Miles,1,36,12
SAC,Carl Landry,1,20,8
UTA,Kyrylo Fesenko,0,32,6
UTA,Wesley Matthews,1,25,6
SAC,Francisco Garcia,0,27,31
SAC,Francisco Garcia,1,25,6
SAC,Joey Dorsey,0,25,6
UTA,Wesley Matthews,1,11,28
SAC,Andres Nocioni,0,25,13
UTA,Kyrylo Fesenko,1,25,6
SAC,Beno Udrih,1,30,17
UTA,Wesley Matthews,0,11,36
SAC,Ime Udoka,0,5,12
SAC,Francisco Garcia,1,5,13
UTA,Paul Millsap,0,22,7
UTA,C.J. Miles,1,35,29
SAC,Ime Udoka,0,14,20
UTA,Paul Millsap,0,25,6
SAC,Beno Udrih,0,40,11
UTA,Paul Millsap,1,25,6
SAC,Sean May,1,6,17
UTA,Ronnie Price,0,9,8
UTA,Ronnie Price,1,20,20
SAC,Spencer Hawes,1,44,7
UTA,Kyle Korver,0,28,24
SAC,Tyreke Evans,1,25,6
UTA,Andrei Kirilenko,0,25,10
UTA,Andrei Kirilenko,0,25,6
SAC,Tyreke Evans,1,25,6
UTA,Carlos Boozer,1,25,6
SAC,Francisco Garcia,1,25,6
UTA,Mehmet Okur,1,24,12
