TOR,Andrea Bargnani,0,9,6
NYK,Danilo Gallinari,0,10,24
TOR,DeMar DeRozan,1,41,12
NYK,David Lee,1,25,6
NYK,David Lee,1,43,9
NYK,Al Harrington,1,23,7
TOR,Amir Johnson,1,28,12
TOR,Hedo Turkoglu,0,42,12
TOR,Amir Johnson,1,25,6
TOR,Andrea Bargnani,1,16,30
NYK,David Lee,0,42,6
NYK,Danilo Gallinari,0,42,23
TOR,Hedo Turkoglu,1,14,28
NYK,Al Harrington,1,23,7
NYK,Tracy McGrady,0,30,9
NYK,David Lee,1,25,6
TOR,Jarrett Jack,1,26,7
NYK,Al Harrington,1,36,28
TOR,Jarrett Jack,0,25,11
TOR,Andrea Bargnani,0,25,29
TOR,Amir Johnson,1,25,6
NYK,David Lee,1,21,8
TOR,Andrea Bargnani,0,25,6
NYK,David Lee,0,25,6
NYK,David Lee,0,25,6
TOR,Hedo Turkoglu,0,24,31
NYK,Bill Walker,0,25,7
TOR,DeMar DeRozan,1,25,6
NYK,Tracy McGrady,1,30,18
TOR,Jarrett Jack,1,27,6
TOR,Amir Johnson,0,29,8
TOR,Amir Johnson,1,24,7
NYK,Sergio Rodriguez,1,22,11
TOR,Andrea Bargnani,0,23,8
TOR,Antoine Wright,1,45,21
NYK,Eddie House,0,42,8
TOR,Antoine Wright,1,23,7
NYK,Danilo Gallinari,0,27,6
TOR,Antoine Wright,1,21,7
NYK,Danilo Gallinari,0,21,16
NYK,Sergio Rodriguez,1,23,7
TOR,Jose Calderon,1,23,6
NYK,Sergio Rodriguez,1,22,6
NYK,Bill Walker,1,25,6
TOR,Sonny Weems,0,16,26
NYK,Al Harrington,1,40,26
TOR,Sonny Weems,0,29,19
TOR,Sonny Weems,1,25,8
NYK,Al Harrington,0,4,21
TOR,Sonny Weems,1,19,11
NYK,Sergio Rodriguez,1,25,6
TOR,Jose Calderon,1,30,23
NYK,Eddie House,0,8,24
TOR,Reggie Evans,0,28,9
NYK,Wilson Chandler,1,24,7
TOR,Sonny Weems,1,24,7
TOR,Jose Calderon,1,14,24
NYK,Bill Walker,0,43,20
TOR,Jose Calderon,0,29,12
NYK,Wilson Chandler,0,7,24
TOR,Amir Johnson,0,23,11
TOR,Antoine Wright,0,25,6
TOR,Amir Johnson,0,25,6
NYK,Tracy McGrady,0,23,6
TOR,Jarrett Jack,1,25,6
TOR,Andrea Bargnani,0,23,7
TOR,Sonny Weems,0,8,6
TOR,Andrea Bargnani,1,25,6
TOR,Jose Calderon,0,17,27
NYK,Wilson Chandler,1,23,6
TOR,Sonny Weems,0,26,8
NYK,Wilson Chandler,1,25,8
TOR,DeMar DeRozan,0,42,16
TOR,Hedo Turkoglu,0,25,6
TOR,Andrea Bargnani,0,35,7
NYK,Wilson Chandler,0,5,6
NYK,Danilo Gallinari,1,23,12
TOR,Hedo Turkoglu,1,39,10
NYK,Eddie House,0,16,29
TOR,Andrea Bargnani,0,4,16
NYK,Wilson Chandler,1,5,5
TOR,DeMar DeRozan,0,21,9
NYK,Tracy McGrady,1,18,26
NYK,Tracy McGrady,0,38,44
NYK,Wilson Chandler,1,23,8
TOR,Hedo Turkoglu,1,16,31
NYK,David Lee,0,28,7
TOR,Jarrett Jack,1,27,7
NYK,Al Harrington,0,2,6
TOR,DeMar DeRozan,0,7,19
NYK,David Lee,1,21,26
TOR,Jarrett Jack,0,48,6
NYK,Wilson Chandler,1,43,6
TOR,Jarrett Jack,1,29,24
NYK,Al Harrington,0,39,21
TOR,Amir Johnson,0,33,8
NYK,Wilson Chandler,1,25,7
TOR,DeMar DeRozan,1,27,6
NYK,David Lee,0,19,27
NYK,Tracy McGrady,1,23,7
TOR,Jose Calderon,1,27,6
NYK,Tracy McGrady,0,23,27
TOR,DeMar DeRozan,1,31,24
NYK,David Lee,1,41,13
TOR,Amir Johnson,1,24,11
NYK,Wilson Chandler,0,24,10
NYK,Al Harrington,0,48,6
NYK,David Lee,0,33,8
NYK,David Lee,1,25,6
TOR,Sonny Weems,0,39,11
NYK,Sergio Rodriguez,0,27,7
TOR,Amir Johnson,0,26,28
NYK,Al Harrington,0,35,8
TOR,DeMar DeRozan,1,27,6
NYK,David Lee,1,27,6
TOR,Andrea Bargnani,1,26,8
NYK,David Lee,1,26,8
TOR,Jose Calderon,1,23,7
NYK,Al Harrington,0,25,11
TOR,Jose Calderon,1,27,7
TOR,Antoine Wright,0,48,8
NYK,Bill Walker,1,23,7
TOR,Sonny Weems,1,24,14
NYK,Wilson Chandler,0,36,24
TOR,Antoine Wright,0,4,6
NYK,Bill Walker,1,25,7
TOR,Jose Calderon,0,26,7
TOR,Jose Calderon,0,5,20
TOR,Amir Johnson,1,25,6
TOR,Sonny Weems,1,28,7
TOR,Andrea Bargnani,0,20,24
NYK,Eddie House,0,35,29
TOR,Sonny Weems,1,8,10
NYK,Wilson Chandler,0,44,11
TOR,Antoine Wright,0,6,26
NYK,Danilo Gallinari,1,13,7
TOR,Andrea Bargnani,0,38,28
TOR,Jose Calderon,1,27,7
TOR,Amir Johnson,0,21,7
NYK,Wilson Chandler,1,23,7
TOR,Sonny Weems,0,15,22
NYK,Al Harrington,0,43,14
TOR,Sonny Weems,1,27,6
NYK,Al Harrington,0,22,30
TOR,Andrea Bargnani,0,22,31
TOR,Antoine Wright,0,21,30
TOR,Amir Johnson,1,25,6
NYK,Tracy McGrady,1,15,22
TOR,Sonny Weems,1,32,26
NYK,Tracy McGrady,0,24,31
NYK,Bill Walker,1,25,8
TOR,Andrea Bargnani,0,9,11
NYK,Danilo Gallinari,1,43,23
TOR,Sonny Weems,0,9,21
NYK,Danilo Gallinari,1,24,29
TOR,Jarrett Jack,1,26,7
