HOU,Kevin Martin,1,39,17
HOU,Chuck Hayes,1,25,6
MIN,Darko Milicic,0,21,9
MIN,Darko Milicic,1,11,7
MIN,Ryan Gomes,0,11,22
HOU,Luis Scola,1,35,22
MIN,Ryan Hollins,1,11,11
HOU,Aaron Brooks,0,28,25
HOU,Luis Scola,1,25,6
MIN,Ryan Hollins,1,25,6
HOU,Luis Scola,1,38,15
MIN,Jonny Flynn,0,31,13
HOU,Aaron Brooks,1,28,16
MIN,Ryan Gomes,1,38,20
HOU,Kevin Martin,1,36,26
MIN,Corey Brewer,0,40,12
HOU,Luis Scola,1,24,21
MIN,Jonny Flynn,1,32,30
MIN,Ryan Hollins,1,25,6
HOU,Chuck Hayes,0,16,7
HOU,Aaron Brooks,0,40,10
MIN,Corey Brewer,0,33,7
MIN,Corey Brewer,1,25,6
HOU,Aaron Brooks,0,7,8
HOU,Jordan Hill,0,25,6
HOU,Luis Scola,0,25,6
MIN,Jonny Flynn,1,36,28
HOU,Shane Battier,1,2,6
MIN,Damien Wilkins,1,10,24
HOU,Shane Battier,1,34,8
MIN,Damien Wilkins,0,15,19
HOU,Luis Scola,0,40,9
HOU,Luis Scola,1,25,6
HOU,Kevin Martin,1,27,12
MIN,Alando Tucker,0,17,9
HOU,Chase Budinger,1,15,29
MIN,Jonny Flynn,0,11,8
HOU,Jared Jeffries,1,39,16
MIN,Kevin Love,0,25,6
MIN,Damien Wilkins,0,25,33
HOU,Aaron Brooks,0,32,24
HOU,Kevin Martin,1,42,23
HOU,Jared Jeffries,1,40,19
MIN,Ramon Sessions,0,14,21
MIN,Kevin Love,0,17,30
HOU,Kevin Martin,0,42,23
MIN,Damien Wilkins,1,25,6
HOU,Luis Scola,0,24,11
HOU,Chase Budinger,0,23,22
HOU,Chase Budinger,1,45,15
HOU,Shane Battier,0,14,30
HOU,Luis Scola,1,25,6
MIN,Ramon Sessions,1,23,13
HOU,Luis Scola,0,36,21
MIN,Kevin Love,1,42,7
HOU,Chase Budinger,0,13,8
HOU,Chase Budinger,0,11,11
MIN,Ramon Sessions,0,25,14
HOU,Shane Battier,1,49,8
MIN,Darko Milicic,0,34,10
MIN,Ramon Sessions,1,25,6
HOU,Will Conroy,1,25,6
HOU,Jared Jeffries,0,24,11
HOU,Will Conroy,0,24,12
HOU,Shane Battier,0,48,8
MIN,Corey Brewer,0,31,22
HOU,Kevin Martin,0,25,6
MIN,Ryan Gomes,1,25,6
HOU,Luis Scola,1,26,25
MIN,Kevin Love,0,31,23
MIN,Kevin Love,0,25,11
MIN,Corey Brewer,0,34,11
HOU,Luis Scola,1,25,6
MIN,Kevin Love,0,27,24
MIN,Corey Brewer,1,25,6
HOU,Kevin Martin,0,42,24
MIN,Ramon Sessions,0,25,6
MIN,Kevin Love,1,25,6
MIN,Ramon Sessions,1,25,6
HOU,Aaron Brooks,1,13,28
MIN,Sasha Pavlovic,0,21,30
HOU,Chuck Hayes,1,25,6
MIN,Kevin Love,1,25,6
HOU,Chuck Hayes,1,24,9
HOU,Kevin Martin,0,34,12
MIN,Sasha Pavlovic,0,43,12
HOU,Hilton Armstrong,0,25,6
MIN,Ramon Sessions,1,25,6
HOU,Aaron Brooks,0,25,6
HOU,Aaron Brooks,1,2,12
MIN,Ryan Hollins,1,25,6
HOU,Kevin Martin,0,10,18
HOU,Aaron Brooks,0,25,6
MIN,Darko Milicic,0,24,12
MIN,Ryan Gomes,1,11,15
HOU,Aaron Brooks,1,49,6
MIN,Jonny Flynn,0,21,24
HOU,Kevin Martin,1,41,25
MIN,Jonny Flynn,0,26,18
MIN,Ryan Hollins,1,25,6
HOU,Luis Scola,0,19,18
MIN,Corey Brewer,0,25,6
MIN,Ryan Gomes,1,25,6
HOU,Aaron Brooks,0,25,6
MIN,Corey Brewer,1,25,6
HOU,Luis Scola,1,25,11
MIN,Jonny Flynn,1,24,18
HOU,Aaron Brooks,0,48,7
MIN,Ryan Gomes,0,21,21
HOU,Shane Battier,1,2,6
MIN,Darko Milicic,0,23,11
HOU,Kevin Martin,0,39,26
MIN,Jonny Flynn,1,32,23
HOU,Aaron Brooks,0,11,27
HOU,Luis Scola,0,24,12
HOU,Luis Scola,0,23,14
HOU,Luis Scola,0,23,13
HOU,Aaron Brooks,1,25,6
MIN,Corey Brewer,1,41,24
HOU,Aaron Brooks,1,25,6
MIN,Kevin Love,1,25,6
HOU,Kevin Martin,1,16,9
MIN,Ryan Gomes,1,13,8
HOU,Jordan Hill,0,37,21
MIN,Kevin Love,0,42,26
HOU,Aaron Brooks,0,23,31
MIN,Damien Wilkins,0,15,9
HOU,Kevin Martin,0,40,25
HOU,Aaron Brooks,0,39,29
MIN,Ryan Gomes,0,15,29
HOU,Kevin Martin,1,48,8
MIN,Ryan Gomes,0,25,6
HOU,Aaron Brooks,1,16,9
MIN,Jonny Flynn,0,34,23
HOU,Kevin Martin,1,25,6
HOU,Luis Scola,0,21,14
HOU,Kevin Martin,0,21,30
MIN,Sasha Pavlovic,0,44,24
HOU,Luis Scola,0,14,20
MIN,Sasha Pavlovic,0,30,22
HOU,Kevin Martin,1,39,23
MIN,Damien Wilkins,0,30,12
HOU,Kevin Martin,0,20,24
MIN,Ramon Sessions,0,33,24
MIN,Kevin Love,0,37,10
HOU,Chase Budinger,1,10,11
MIN,Damien Wilkins,0,25,6
HOU,Aaron Brooks,1,40,11
MIN,Kevin Love,0,39,22
HOU,Jared Jeffries,0,35,11
HOU,Chase Budinger,0,3,18
MIN,Kevin Love,0,19,9
MIN,Ramon Sessions,1,25,6
HOU,Chuck Hayes,0,25,6
MIN,Ryan Hollins,1,30,10
HOU,Kevin Martin,0,38,23
HOU,Aaron Brooks,0,31,31
MIN,Ryan Hollins,1,25,6
HOU,Aaron Brooks,1,25,6
HOU,Luis Scola,1,24,21
MIN,Kevin Love,1,25,6
HOU,Aaron Brooks,0,27,24
HOU,Shane Battier,0,2,10
HOU,Kevin Martin,0,16,24
MIN,Kevin Love,0,33,30
MIN,Jonny Flynn,1,25,6
HOU,Kevin Martin,0,2,12
MIN,Jonny Flynn,1,24,11
HOU,Luis Scola,1,21,25
HOU,Kevin Martin,1,48,8
MIN,Kevin Love,1,24,11
HOU,Luis Scola,0,12,18
HOU,Kevin Martin,1,38,18
MIN,Kevin Love,1,25,6
HOU,Aaron Brooks,1,31,20
MIN,Corey Brewer,0,24,31
HOU,Chase Budinger,1,25,6
MIN,Ryan Gomes,0,11,27
