MIA,Quentin Richardson,1,40,26
PHI,Elton Brand,1,36,17
MIA,Jermaine O'Neal,1,41,6
PHI,Elton Brand,0,17,18
MIA,Quentin Richardson,1,4,19
PHI,Samuel Dalembert,0,30,20
MIA,Joel Anthony,0,28,9
PHI,Elton Brand,1,25,6
MIA,Carlos Arroyo,1,13,15
PHI,Elton Brand,0,25,6
MIA,Quentin Richardson,0,5,20
PHI,Lou Williams,0,25,6
PHI,Jrue Holiday,1,48,6
MIA,Dwyane Wade,0,25,6
PHI,Elton Brand,0,38,9
MIA,Carlos Arroyo,1,4,8
MIA,Udonis Haslem,0,35,19
PHI,Lou Williams,0,49,9
MIA,Dwyane Wade,1,25,6
PHI,Andre Iguodala,0,30,14
MIA,Dwyane Wade,1,25,6
PHI,Andre Iguodala,1,34,22
MIA,Dwyane Wade,1,25,6
PHI,Jrue Holiday,1,2,14
MIA,Dwyane Wade,0,36,9
MIA,Dwyane Wade,0,24,12
PHI,Jrue Holiday,0,33,11
PHI,Jason Smith,1,25,6
PHI,Andre Iguodala,1,25,6
PHI,Andre Iguodala,0,36,19
MIA,Dwyane Wade,1,35,13
MIA,Udonis Haslem,0,40,9
PHI,Thaddeus Young,0,25,6
MIA,Udonis Haslem,1,25,6
PHI,Jodie Meeks,0,10,26
MIA,Dwyane Wade,1,39,6
PHI,Andre Iguodala,0,31,14
MIA,Jamaal Magloire,1,25,6
MIA,Quentin Richardson,0,15,18
PHI,Rodney Carney,1,1,10
MIA,James Jones,0,49,7
MIA,Jermaine O'Neal,0,19,16
PHI,Rodney Carney,1,25,32
MIA,Jermaine O'Neal,0,31,9
PHI,Lou Williams,0,25,6
MIA,James Jones,1,44,23
PHI,Elton Brand,0,18,10
MIA,James Jones,1,7,19
PHI,Elton Brand,1,25,6
MIA,James Jones,0,2,9
PHI,Andre Iguodala,1,25,6
MIA,Jermaine O'Neal,0,32,11
PHI,Lou Williams,0,17,12
MIA,Mario Chalmers,1,25,6
PHI,Thaddeus Young,1,25,6
PHI,Thaddeus Young,0,31,12
MIA,Jermaine O'Neal,0,25,6
MIA,Jermaine O'Neal,1,25,6
PHI,Andre Iguodala,0,44,24
PHI,Thaddeus Young,0,20,12
PHI,Thaddeus Young,1,28,7
PHI,Lou Williams,0,6,22
PHI,Rodney Carney,0,25,6
PHI,Rodney Carney,0,48,6
MIA,Quentin Richardson,0,47,19
PHI,Elton Brand,0,24,17
MIA,Carlos Arroyo,1,16,19
MIA,Dwyane Wade,1,25,6
PHI,Thaddeus Young,1,25,13
MIA,Udonis Haslem,0,32,20
MIA,Dwyane Wade,0,18,9
MIA,Dwyane Wade,1,25,6
PHI,Jason Kapono,0,4,21
PHI,Jrue Holiday,1,45,20
MIA,Dwyane Wade,1,25,6
PHI,Elton Brand,0,22,11
MIA,Dwyane Wade,0,35,29
PHI,Jrue Holiday,1,46,19
MIA,Udonis Haslem,1,25,6
PHI,Thaddeus Young,1,42,25
MIA,Carlos Arroyo,1,10,18
PHI,Samuel Dalembert,0,15,13
MIA,Dwyane Wade,1,34,19
PHI,Jason Kapono,1,34,19
MIA,Jermaine O'Neal,1,37,10
PHI,Samuel Dalembert,1,25,6
MIA,Jermaine O'Neal,0,36,11
MIA,Quentin Richardson,0,44,23
PHI,Jason Kapono,0,24,19
MIA,Dwyane Wade,1,48,14
PHI,Jason Kapono,1,25,6
MIA,Carlos Arroyo,1,16,20
PHI,Elton Brand,0,17,15
MIA,Jermaine O'Neal,0,36,12
PHI,Andre Iguodala,1,25,6
MIA,Dwyane Wade,0,25,6
PHI,Jason Kapono,0,4,20
MIA,Dwyane Wade,1,25,6
MIA,Dwyane Wade,1,25,6
PHI,Jason Kapono,0,10,15
MIA,Dwyane Wade,0,44,23
MIA,Jermaine O'Neal,0,36,15
PHI,Andre Iguodala,0,17,13
MIA,Dwyane Wade,0,25,6
PHI,Jason Kapono,0,3,18
MIA,Carlos Arroyo,1,11,18
PHI,Jrue Holiday,0,32,22
MIA,Dwyane Wade,0,25,6
MIA,Dwyane Wade,1,25,6
