NJN,Keyon Dooling,1,3,6
PHI,Andre Iguodala,1,32,19
NJN,Terrence Williams,1,25,26
PHI,Andre Iguodala,0,35,16
PHI,Jrue Holiday,1,15,24
NJN,Keyon Dooling,1,27,19
NJN,Courtney Lee,0,24,32
PHI,Andre Iguodala,1,25,6
NJN,Josh Boone,1,25,6
PHI,Samuel Dalembert,1,39,6
NJN,Terrence Williams,0,12,20
PHI,Andre Iguodala,1,25,6
PHI,Elton Brand,0,38,8
NJN,Terrence Williams,1,25,6
PHI,Willie Green,1,37,22
NJN,Brook Lopez,0,28,15
PHI,Elton Brand,0,24,15
PHI,Willie Green,1,14,22
NJN,Terrence Williams,0,25,6
NJN,Josh Boone,1,25,6
PHI,Samuel Dalembert,0,33,17
NJN,Keyon Dooling,1,3,18
PHI,Andre Iguodala,0,24,20
NJN,Keyon Dooling,0,45,20
PHI,Andre Iguodala,1,25,6
NJN,Josh Boone,0,30,6
PHI,Willie Green,1,25,6
NJN,Kris Humphries,1,11,13
PHI,Jason Smith,1,35,16
PHI,Andre Iguodala,1,25,6
NJN,Courtney Lee,0,13,16
PHI,Willie Green,0,14,20
NJN,Kris Humphries,0,24,25
NJN,Courtney Lee,0,16,6
PHI,Jrue Holiday,1,25,6
NJN,Terrence Williams,0,32,10
PHI,Lou Williams,1,39,27
NJN,Terrence Williams,0,25,6
PHI,Jason Smith,0,27,15
NJN,Jarvis Hayes,1,22,24
PHI,Jason Kapono,1,8,5
PHI,Jason Kapono,1,10,9
NJN,Chris Douglas-Roberts,1,25,6
PHI,Jason Smith,1,25,6
NJN,Chris Quinn,1,33,2
PHI,Jason Kapono,0,3,4
NJN,Chris Douglas-Roberts,1,17,8
NJN,Chris Quinn,0,42,20
PHI,Samuel Dalembert,0,12,11
NJN,Brook Lopez,1,41,12
NJN,Kris Humphries,1,25,6
PHI,Elton Brand,1,12,15
NJN,Chris Douglas-Roberts,0,40,4
PHI,Lou Williams,1,25,6
PHI,Lou Williams,0,33,10
NJN,Kris Humphries,0,39,7
NJN,Jarvis Hayes,1,11,17
PHI,Elton Brand,0,35,12
PHI,Samuel Dalembert,1,25,6
PHI,Jrue Holiday,1,15,25
NJN,Courtney Lee,1,42,15
PHI,Jrue Holiday,1,25,6
NJN,Kris Humphries,0,33,11
PHI,Andre Iguodala,0,30,20
NJN,Courtney Lee,0,18,15
PHI,Elton Brand,0,26,18
PHI,Andre Iguodala,1,25,6
NJN,Courtney Lee,0,12,30
PHI,Willie Green,0,41,27
NJN,Terrence Williams,0,25,6
PHI,Andre Iguodala,0,4,21
NJN,Brook Lopez,1,25,6
PHI,Jrue Holiday,1,27,31
PHI,Samuel Dalembert,1,25,6
NJN,Brook Lopez,0,25,6
NJN,Terrence Williams,0,25,6
NJN,Josh Boone,1,25,6
PHI,Willie Green,1,25,6
NJN,Keyon Dooling,1,4,18
PHI,Jrue Holiday,0,4,20
NJN,Brook Lopez,0,25,22
PHI,Elton Brand,1,18,9
NJN,Josh Boone,0,25,6
PHI,Elton Brand,1,25,6
NJN,Keyon Dooling,0,24,24
NJN,Brook Lopez,0,33,23
PHI,Samuel Dalembert,0,25,6
NJN,Terrence Williams,0,24,13
PHI,Willie Green,0,25,6
NJN,Terrence Williams,0,30,23
PHI,Elton Brand,1,35,21
NJN,Keyon Dooling,1,18,16
PHI,Andre Iguodala,1,36,20
NJN,Courtney Lee,0,43,6
NJN,Keyon Dooling,0,27,19
NJN,Brook Lopez,0,25,6
NJN,Brook Lopez,0,25,10
NJN,Josh Boone,0,26,9
PHI,Elton Brand,0,15,15
PHI,Elton Brand,0,25,6
PHI,Willie Green,1,39,28
NJN,Jarvis Hayes,0,8,12
PHI,Willie Green,0,41,25
PHI,Jason Kapono,1,23,32
NJN,Terrence Williams,0,25,6
NJN,Chris Douglas-Roberts,1,45,8
PHI,Andre Iguodala,0,26,17
NJN,Jarvis Hayes,0,48,5
PHI,Lou Williams,1,25,6
NJN,Brook Lopez,0,9,15
NJN,Keyon Dooling,1,25,6
PHI,Andre Iguodala,0,25,6
PHI,Samuel Dalembert,0,25,6
PHI,Samuel Dalembert,0,25,6
PHI,Lou Williams,0,25,6
PHI,Elton Brand,1,25,6
NJN,Chris Douglas-Roberts,1,10,19
NJN,Jarvis Hayes,0,33,30
NJN,Chris Douglas-Roberts,1,25,6
NJN,Chris Douglas-Roberts,1,28,38
NJN,Courtney Lee,0,2,6
PHI,Rodney Carney,1,25,6
NJN,Kris Humphries,1,26,10
PHI,Elton Brand,1,25,19
NJN,Jarvis Hayes,0,9,25
PHI,Lou Williams,1,25,6
PHI,Jason Kapono,0,26,23
PHI,Jason Kapono,0,43,9
NJN,Chris Douglas-Roberts,0,22,12
PHI,Jrue Holiday,1,25,6
NJN,Keyon Dooling,0,2,5
NJN,Chris Douglas-Roberts,1,25,6
