PHI,Willie Green,0,2,10
PHI,Elton Brand,1,19,24
PHI,Elton Brand,0,42,16
NYK,Jonathan Bender,0,25,6
NYK,Danilo Gallinari,1,3,16
PHI,Andre Iguodala,0,27,18
NYK,Tracy McGrady,0,40,13
PHI,Willie Green,0,14,21
PHI,Jrue Holiday,1,45,21
NYK,Toney Douglas,0,11,17
PHI,Andre Iguodala,0,25,6
PHI,Elton Brand,0,25,6
NYK,Al Harrington,0,39,18
PHI,Jrue Holiday,1,20,26
NYK,Al Harrington,0,22,12
NYK,Danilo Gallinari,0,7,32
NYK,Jonathan Bender,0,37,21
PHI,Willie Green,0,25,6
PHI,Samuel Dalembert,0,25,6
PHI,Samuel Dalembert,1,25,6
NYK,Tracy McGrady,0,25,6
PHI,Andre Iguodala,0,13,17
NYK,Jonathan Bender,1,13,23
NYK,Danilo Gallinari,0,36,17
PHI,Andre Iguodala,1,25,6
NYK,Al Harrington,1,25,6
PHI,Elton Brand,1,41,8
NYK,Sergio Rodriguez,1,25,6
PHI,Andre Iguodala,0,9,11
NYK,Al Harrington,0,31,28
PHI,Elton Brand,1,18,13
PHI,Willie Green,0,14,18
NYK,Bill Walker,1,2,8
PHI,Elton Brand,1,25,13
PHI,Marreese Speights,0,25,6
NYK,Sergio Rodriguez,0,2,20
PHI,Elton Brand,1,19,15
PHI,Andre Iguodala,0,44,24
NYK,Bill Walker,1,44,22
PHI,Andre Iguodala,1,13,17
NYK,Bill Walker,1,25,6
PHI,Marreese Speights,0,25,6
NYK,Jonathan Bender,0,25,6
NYK,Jonathan Bender,1,25,6
PHI,Lou Williams,0,25,6
NYK,Toney Douglas,1,26,13
PHI,Lou Williams,1,39,5
PHI,Jason Kapono,1,7,26
NYK,Al Harrington,1,25,6
PHI,Lou Williams,1,25,6
NYK,Bill Walker,0,45,21
PHI,Elton Brand,1,41,11
NYK,Al Harrington,1,26,11
PHI,Elton Brand,0,32,13
NYK,J.R. Giddens,0,20,9
PHI,Jason Kapono,1,43,23
NYK,Chris Duhon,0,7,23
PHI,Lou Williams,0,25,6
PHI,Jason Kapono,0,11,28
NYK,Tracy McGrady,0,25,6
PHI,Andre Iguodala,0,36,10
NYK,Al Harrington,0,25,6
NYK,Danilo Gallinari,1,10,21
PHI,Andre Iguodala,0,12,11
NYK,Chris Duhon,1,17,31
PHI,Elton Brand,1,25,6
NYK,Danilo Gallinari,1,25,6
PHI,Jason Kapono,1,12,20
NYK,Al Harrington,0,46,7
NYK,J.R. Giddens,1,25,6
PHI,Jrue Holiday,1,25,6
PHI,Jrue Holiday,0,34,20
NYK,Tracy McGrady,0,37,30
PHI,Jason Kapono,0,45,25
PHI,Andre Iguodala,0,13,19
NYK,Danilo Gallinari,0,17,8
NYK,J.R. Giddens,1,25,6
PHI,Elton Brand,0,35,7
PHI,Jrue Holiday,1,38,10
NYK,Al Harrington,0,44,24
PHI,Andre Iguodala,1,41,15
NYK,Toney Douglas,1,7,24
PHI,Elton Brand,0,40,11
NYK,Toney Douglas,0,14,29
PHI,Willie Green,0,11,27
PHI,Jrue Holiday,0,8,25
PHI,Samuel Dalembert,0,38,6
NYK,Danilo Gallinari,0,49,5
NYK,Tracy McGrady,0,25,6
NYK,Al Harrington,0,37,30
NYK,Toney Douglas,0,2,10
NYK,Bill Walker,0,18,13
NYK,Toney Douglas,1,25,6
PHI,Willie Green,1,3,17
PHI,Jrue Holiday,0,25,6
PHI,Jrue Holiday,1,25,6
NYK,Tracy McGrady,0,45,21
PHI,Elton Brand,0,36,19
NYK,Chris Duhon,0,47,18
PHI,Jrue Holiday,0,25,6
NYK,Danilo Gallinari,1,10,28
PHI,Andre Iguodala,0,43,25
PHI,Willie Green,0,25,6
NYK,Al Harrington,0,25,6
PHI,Jrue Holiday,1,49,5
PHI,Andre Iguodala,1,25,6
NYK,Al Harrington,0,33,8
PHI,Andre Iguodala,0,12,15
NYK,Al Harrington,0,37,9
NYK,Danilo Gallinari,1,46,8
PHI,Andre Iguodala,0,37,20
NYK,Al Harrington,1,25,6
PHI,Jrue Holiday,0,38,20
NYK,Tracy McGrady,0,41,18
NYK,J.R. Giddens,0,1,6
NYK,Chris Duhon,0,47,18
PHI,Andre Iguodala,1,19,11
NYK,Danilo Gallinari,0,11,28
PHI,Rodney Carney,0,12,28
PHI,Jason Smith,1,25,6
PHI,Andre Iguodala,1,25,6
NYK,Sergio Rodriguez,0,25,32
NYK,Chris Duhon,0,11,30
PHI,Rodney Carney,1,25,6
PHI,Rodney Carney,1,27,27
PHI,Andre Iguodala,1,25,6
PHI,Rodney Carney,0,49,5
NYK,Bill Walker,0,25,6
NYK,J.R. Giddens,1,25,6
PHI,Rodney Carney,0,45,8
NYK,J.R. Giddens,0,18,32
NYK,Bill Walker,1,48,17
NYK,Toney Douglas,0,25,6
NYK,Danilo Gallinari,1,25,6
PHI,Jason Kapono,0,13,23
NYK,Toney Douglas,1,24,33
PHI,Elton Brand,1,35,15
NYK,Al Harrington,0,40,9
PHI,Andre Iguodala,0,6,22
NYK,Toney Douglas,1,47,21
PHI,Jrue Holiday,0,34,23
NYK,Al Harrington,0,25,6
NYK,Bill Walker,0,49,16
NYK,Toney Douglas,0,10,9
NYK,Danilo Gallinari,0,11,29
PHI,Jason Kapono,1,2,6
NYK,Toney Douglas,1,16,29
PHI,Elton Brand,0,37,18
NYK,Toney Douglas,1,25,6
PHI,Lou Williams,1,25,6
NYK,Toney Douglas,0,43,25
PHI,Andre Iguodala,0,42,28
PHI,Lou Williams,0,48,19
