POR,LaMarcus Aldridge,1,12,14
NYK,David Lee,0,21,9
POR,LaMarcus Aldridge,1,25,6
NYK,David Lee,1,38,9
POR,LaMarcus Aldridge,0,15,12
NYK,Danilo Gallinari,0,20,26
POR,Nicolas Batum,1,8,25
NYK,Al Harrington,0,24,5
POR,Marcus Camby,1,27,25
NYK,David Lee,1,17,19
POR,Brandon Roy,0,24,27
NYK,Tracy McGrady,1,25,6
POR,Andre Miller,0,39,14
NYK,Al Harrington,0,48,10
NYK,Tracy McGrady,0,11,11
POR,Nicolas Batum,1,43,24
NYK,Tracy McGrady,0,45,7
POR,Marcus Camby,0,17,22
POR,Brandon Roy,1,25,6
NYK,Al Harrington,1,38,6
POR,Nicolas Batum,0,25,6
NYK,Danilo Gallinari,0,25,33
POR,Nicolas Batum,1,27,22
NYK,Toney Douglas,0,23,31
POR,Brandon Roy,1,16,24
NYK,David Lee,0,15,20
POR,LaMarcus Aldridge,1,14,7
NYK,Danilo Gallinari,1,10,8
POR,Nicolas Batum,0,2,8
POR,Brandon Roy,1,25,7
NYK,Sergio Rodriguez,1,25,6
POR,Juwan Howard,0,29,11
NYK,Danilo Gallinari,0,5,7
POR,Juwan Howard,1,20,20
NYK,Sergio Rodriguez,1,25,7
POR,Brandon Roy,1,25,14
NYK,David Lee,0,21,8
NYK,Bill Walker,0,40,25
POR,Jerryd Bayless,0,25,7
POR,Juwan Howard,0,25,6
NYK,Sergio Rodriguez,1,25,9
POR,Jerryd Bayless,0,36,41
NYK,Al Harrington,0,37,8
POR,Rudy Fernandez,0,24,31
NYK,Eddie House,0,9,26
POR,Martell Webster,0,46,10
NYK,Eddie House,0,19,30
NYK,Bill Walker,1,25,6
POR,Rudy Fernandez,0,41,25
POR,Rudy Fernandez,1,46,19
POR,Jerryd Bayless,1,25,6
NYK,J.R. Giddens,0,25,6
POR,Juwan Howard,0,19,12
POR,LaMarcus Aldridge,0,29,8
POR,Juwan Howard,1,25,10
NYK,J.R. Giddens,1,26,6
POR,LaMarcus Aldridge,1,40,12
POR,Juwan Howard,1,26,23
NYK,Eddie House,0,48,10
POR,Juwan Howard,1,25,6
NYK,Bill Walker,0,17,30
NYK,David Lee,1,12,9
POR,Martell Webster,0,14,28
POR,Martell Webster,1,25,6
NYK,David Lee,1,12,21
POR,LaMarcus Aldridge,1,40,10
POR,Martell Webster,1,25,6
POR,LaMarcus Aldridge,1,34,16
NYK,David Lee,1,25,6
POR,Andre Miller,1,38,12
NYK,Toney Douglas,1,25,6
POR,LaMarcus Aldridge,1,25,6
NYK,Danilo Gallinari,0,36,29
POR,Andre Miller,1,25,7
NYK,David Lee,0,14,7
POR,Nicolas Batum,1,12,13
NYK,David Lee,0,7,11
NYK,Toney Douglas,1,2,9
POR,LaMarcus Aldridge,1,25,11
NYK,Toney Douglas,0,9,26
POR,Nicolas Batum,0,25,44
NYK,Toney Douglas,0,16,23
POR,Nicolas Batum,1,25,6
NYK,David Lee,0,38,20
POR,Nicolas Batum,1,19,24
NYK,Al Harrington,1,3,19
POR,LaMarcus Aldridge,1,7,8
NYK,Al Harrington,1,39,14
POR,Nicolas Batum,0,30,30
POR,Brandon Roy,0,38,27
POR,Marcus Camby,1,25,6
POR,Brandon Roy,1,41,17
NYK,Danilo Gallinari,0,46,9
POR,Marcus Camby,0,19,21
POR,Brandon Roy,0,16,13
NYK,Tracy McGrady,0,17,26
POR,Nicolas Batum,1,4,20
NYK,Bill Walker,1,25,6
POR,Andre Miller,0,11,9
NYK,David Lee,1,25,8
POR,Marcus Camby,0,37,6
NYK,Bill Walker,1,42,24
POR,Andre Miller,1,25,6
POR,Nicolas Batum,0,49,7
POR,Nicolas Batum,0,25,6
POR,Marcus Camby,0,28,7
POR,Brandon Roy,0,25,8
NYK,Toney Douglas,0,14,19
POR,LaMarcus Aldridge,1,39,9
POR,Marcus Camby,1,25,17
NYK,Bill Walker,1,0,6
POR,Marcus Camby,1,14,8
NYK,Bill Walker,1,39,26
POR,Brandon Roy,1,28,17
POR,Brandon Roy,0,34,18
POR,Marcus Camby,0,25,6
NYK,David Lee,1,26,8
POR,Juwan Howard,0,23,5
POR,Brandon Roy,1,25,6
POR,Jerryd Bayless,1,25,6
NYK,David Lee,0,21,27
POR,Juwan Howard,0,25,10
NYK,Danilo Gallinari,1,40,6
POR,Rudy Fernandez,0,15,29
POR,Martell Webster,1,49,8
NYK,Danilo Gallinari,0,42,13
POR,Dante Cunningham,1,34,10
NYK,David Lee,0,41,7
POR,Juwan Howard,0,17,5
NYK,Danilo Gallinari,1,25,6
POR,Juwan Howard,0,28,20
NYK,David Lee,1,22,9
NYK,Eddie House,0,9,26
POR,Dante Cunningham,0,25,26
POR,Rudy Fernandez,0,39,26
NYK,Eddie House,0,38,18
POR,Martell Webster,0,48,6
POR,Martell Webster,1,25,6
NYK,David Lee,0,14,21
POR,Jerryd Bayless,1,26,29
NYK,Sergio Rodriguez,0,39,23
POR,Martell Webster,1,49,9
NYK,Bill Walker,0,15,29
POR,Jeff Pendergraph,1,25,6
NYK,Sergio Rodriguez,1,38,21
POR,Martell Webster,0,40,10
POR,Dante Cunningham,1,10,8
NYK,Bill Walker,1,47,17
POR,Martell Webster,0,17,27
NYK,Toney Douglas,1,13,27
POR,Martell Webster,1,14,26
NYK,David Lee,0,25,6
POR,Martell Webster,0,49,9
NYK,David Lee,1,25,6
POR,Jeff Pendergraph,1,22,9
NYK,David Lee,0,30,27
POR,Jeff Pendergraph,0,11,8
NYK,Bill Walker,0,13,29
NYK,David Lee,0,25,11
POR,Dante Cunningham,1,36,21
NYK,Bill Walker,0,25,6
POR,Jeff Pendergraph,0,25,12
NYK,Toney Douglas,0,23,11
POR,Jerryd Bayless,0,14,26
NYK,Bill Walker,1,25,6
POR,Dante Cunningham,0,16,21
NYK,Toney Douglas,0,25,7
NYK,Toney Douglas,1,25,6
