DAL,Caron Butler,1,31,22
MEM,Mike Conley,0,9,25
DAL,Jason Kidd,1,47,17
DAL,Caron Butler,1,18,22
MEM,Zach Randolph,1,43,9
DAL,Caron Butler,0,42,8
MEM,Mike Conley,0,25,6
MEM,Rudy Gay,1,23,12
DAL,Caron Butler,1,25,6
MEM,Mike Conley,1,21,11
DAL,Erick Dampier,1,21,7
MEM,Zach Randolph,0,43,6
DAL,Dirk Nowitzki,1,40,18
MEM,Zach Randolph,0,25,6
MEM,Zach Randolph,0,25,6
MEM,Mike Conley,0,2,13
MEM,Mike Conley,0,25,6
MEM,Rudy Gay,1,39,7
DAL,Jason Kidd,0,13,15
MEM,Rudy Gay,0,25,6
DAL,DeShawn Stevenson,0,25,6
DAL,Dirk Nowitzki,1,25,6
MEM,O.J. Mayo,1,28,31
DAL,Caron Butler,0,26,11
DAL,DeShawn Stevenson,0,42,15
MEM,Rudy Gay,1,44,6
DAL,Dirk Nowitzki,0,30,8
DAL,Caron Butler,1,25,6
MEM,Zach Randolph,1,30,12
DAL,Caron Butler,0,10,12
DAL,Jason Terry,1,25,19
MEM,Mike Conley,0,14,7
DAL,Jason Kidd,1,13,27
MEM,Rudy Gay,0,26,28
DAL,Jason Kidd,0,25,6
DAL,Jason Kidd,1,11,26
MEM,Mike Conley,0,23,16
DAL,Caron Butler,0,2,6
MEM,Rudy Gay,1,27,12
DAL,Jason Kidd,0,25,6
DAL,Caron Butler,1,25,6
DAL,Jason Terry,1,25,6
DAL,Jason Kidd,0,4,5
MEM,Mike Conley,0,27,21
DAL,Eduardo Najera,1,25,6
DAL,Jose Juan Barea,0,32,30
DAL,Dirk Nowitzki,0,15,9
DAL,Jason Terry,0,24,10
MEM,Mike Conley,1,25,6
DAL,Jason Terry,0,13,27
MEM,Zach Randolph,0,25,6
DAL,Jason Terry,0,25,6
DAL,Caron Butler,1,25,6
MEM,Sam Young,0,23,24
DAL,Jose Juan Barea,1,25,6
DAL,Dirk Nowitzki,1,25,6
MEM,O.J. Mayo,0,27,13
MEM,O.J. Mayo,1,25,6
MEM,O.J. Mayo,1,25,6
DAL,Brendan Haywood,0,23,7
MEM,Zach Randolph,1,23,11
DAL,Brendan Haywood,1,25,6
MEM,Hasheem Thabeet,1,25,19
DAL,Jason Kidd,0,26,30
DAL,Caron Butler,0,25,14
MEM,Rudy Gay,1,25,6
MEM,Mike Conley,1,25,6
DAL,Dirk Nowitzki,0,34,22
DAL,Caron Butler,0,25,6
DAL,Eduardo Najera,1,25,6
MEM,Zach Randolph,1,25,6
DAL,Jason Kidd,1,2,8
DAL,Jason Terry,0,31,23
MEM,Zach Randolph,0,19,7
DAL,Dirk Nowitzki,0,20,23
DAL,Eduardo Najera,0,3,6
DAL,Caron Butler,1,25,6
MEM,O.J. Mayo,1,31,14
DAL,DeShawn Stevenson,0,25,6
MEM,Mike Conley,1,25,6
DAL,Caron Butler,0,25,6
MEM,Mike Conley,0,24,10
DAL,Dirk Nowitzki,1,19,24
MEM,Rudy Gay,1,43,22
MEM,Zach Randolph,0,38,19
DAL,Dirk Nowitzki,1,28,26
MEM,Mike Conley,0,2,7
DAL,Dirk Nowitzki,1,6,21
MEM,Rudy Gay,1,39,24
DAL,Caron Butler,1,18,8
MEM,Zach Randolph,1,25,6
DAL,Jason Terry,0,2,11
MEM,O.J. Mayo,0,39,26
MEM,Zach Randolph,0,2,5
MEM,Rudy Gay,0,48,7
DAL,Dirk Nowitzki,0,43,7
MEM,O.J. Mayo,1,42,14
DAL,Dirk Nowitzki,1,12,10
MEM,Hasheem Thabeet,1,33,8
DAL,Caron Butler,1,8,7
MEM,Mike Conley,0,2,10
MEM,Zach Randolph,0,25,6
MEM,Zach Randolph,1,25,6
DAL,Jason Terry,1,48,12
MEM,Rudy Gay,0,21,8
DAL,Caron Butler,1,8,20
MEM,Mike Conley,1,43,9
DAL,Eduardo Najera,0,43,7
MEM,Sam Young,0,21,19
MEM,Mike Conley,0,41,7
DAL,Jason Terry,0,26,31
MEM,Rudy Gay,0,34,11
DAL,Jason Terry,1,25,6
MEM,Jamaal Tinsley,0,20,9
DAL,Jason Terry,1,2,15
MEM,Rudy Gay,1,16,8
MEM,Rudy Gay,1,20,25
DAL,Jose Juan Barea,0,25,6
MEM,O.J. Mayo,0,13,21
DAL,Jose Juan Barea,1,25,6
MEM,Rudy Gay,0,33,27
DAL,Jason Terry,1,25,6
MEM,Marcus Williams,0,45,6
DAL,Dirk Nowitzki,1,25,6
DAL,Dirk Nowitzki,1,25,6
MEM,Rudy Gay,0,39,19
DAL,Jose Juan Barea,1,19,30
MEM,Mike Conley,1,29,8
DAL,Jason Terry,0,37,19
MEM,Mike Conley,1,17,22
DAL,Brendan Haywood,1,25,6
MEM,DeMarre Carroll,0,44,8
DAL,Jose Juan Barea,1,25,6
MEM,Darrell Arthur,1,31,20
DAL,Rodrigue Beaubois,1,18,23
MEM,Darrell Arthur,0,28,11
MEM,Hasheem Thabeet,1,14,12
DAL,Matt Carroll,1,21,11
MEM,Marcus Williams,0,37,28
DAL,DeShawn Stevenson,0,14,23
MEM,DeMarre Carroll,1,38,7
DAL,Matt Carroll,0,16,24
MEM,Hasheem Thabeet,1,32,9
DAL,Brendan Haywood,1,17,8
MEM,DeMarre Carroll,0,25,6
DAL,Brendan Haywood,1,25,6
MEM,Sam Young,0,41,14
