GSW,Stephen Curry,1,11,17
POR,Dante Cunningham,1,28,26
GSW,Stephen Curry,0,35,11
GSW,Chris Hunter,0,38,7
POR,Juwan Howard,0,33,23
GSW,Monta Ellis,1,23,7
POR,Nicolas Batum,0,49,9
GSW,Monta Ellis,0,42,20
POR,Nicolas Batum,0,25,6
POR,Rudy Fernandez,0,47,10
GSW,Stephen Curry,1,35,23
POR,Dante Cunningham,1,24,6
GSW,Chris Hunter,0,22,9
GSW,Stephen Curry,1,9,26
POR,Juwan Howard,0,13,13
POR,Andre Miller,1,23,21
GSW,Monta Ellis,1,25,7
GSW,Monta Ellis,1,9,27
POR,Nicolas Batum,0,25,6
GSW,Devean George,1,48,9
POR,Rudy Fernandez,1,25,7
GSW,Monta Ellis,0,17,29
GSW,Devean George,0,25,6
POR,Dante Cunningham,0,11,7
GSW,Stephen Curry,0,33,20
GSW,Anthony Tolliver,1,17,11
POR,Juwan Howard,1,21,8
GSW,Anthony Tolliver,0,25,6
GSW,Anthony Tolliver,1,25,6
POR,Martell Webster,1,24,6
GSW,Devean George,1,2,7
POR,Juwan Howard,1,17,6
GSW,Monta Ellis,0,25,6
POR,Nicolas Batum,1,41,26
GSW,Monta Ellis,1,25,6
GSW,Devean George,0,1,10
POR,Jeff Pendergraph,1,25,6
GSW,Reggie Williams,1,13,17
GSW,Devean George,1,25,6
POR,Rudy Fernandez,0,26,32
POR,Jerryd Bayless,1,11,27
GSW,Stephen Curry,1,6,23
POR,Jerryd Bayless,0,25,27
POR,Jeff Pendergraph,1,25,6
POR,Nicolas Batum,1,25,6
GSW,Stephen Curry,0,15,29
POR,Jeff Pendergraph,1,38,16
GSW,Devean George,0,20,26
POR,Rudy Fernandez,1,9,25
GSW,Reggie Williams,1,24,27
POR,Jeff Pendergraph,1,25,6
POR,Dante Cunningham,1,17,24
POR,Jerryd Bayless,0,25,6
POR,Dante Cunningham,0,25,6
GSW,Stephen Curry,1,25,6
POR,Martell Webster,1,38,8
GSW,Devean George,1,1,10
POR,Rudy Fernandez,0,46,19
POR,Martell Webster,0,21,12
GSW,Reggie Williams,0,33,30
POR,Jeff Pendergraph,0,38,10
POR,Jerryd Bayless,1,4,20
GSW,Anthony Tolliver,1,25,6
POR,Jeff Pendergraph,1,25,6
GSW,Stephen Curry,0,40,27
GSW,Anthony Tolliver,0,25,6
POR,Travis Diener,0,42,26
GSW,Devean George,0,3,12
GSW,Stephen Curry,0,20,15
POR,Martell Webster,0,15,25
GSW,Monta Ellis,1,14,24
POR,Jerryd Bayless,0,24,7
POR,Jeff Pendergraph,1,27,9
GSW,Reggie Williams,0,33,31
POR,Travis Diener,0,35,29
POR,Martell Webster,0,25,6
GSW,Monta Ellis,1,13,16
POR,Jeff Pendergraph,0,33,7
GSW,Stephen Curry,1,12,15
GSW,Reggie Williams,1,11,15
POR,Jerryd Bayless,0,24,32
GSW,Monta Ellis,1,25,6
POR,Jerryd Bayless,0,25,6
GSW,Reggie Williams,0,29,33
GSW,Devean George,0,38,8
POR,Dante Cunningham,1,25,6
GSW,Monta Ellis,1,11,27
POR,Dante Cunningham,1,33,22
GSW,Stephen Curry,0,31,25
POR,Dante Cunningham,0,12,8
GSW,Monta Ellis,0,34,29
POR,Martell Webster,0,2,8
GSW,Monta Ellis,0,26,7
POR,Dante Cunningham,0,39,8
GSW,Monta Ellis,0,21,17
POR,Dante Cunningham,1,24,7
GSW,Reggie Williams,0,20,26
POR,Juwan Howard,1,34,11
GSW,Reggie Williams,0,44,22
POR,Nicolas Batum,0,25,6
POR,Juwan Howard,1,20,23
GSW,Devean George,0,1,8
GSW,Stephen Curry,0,25,6
GSW,Stephen Curry,0,25,6
GSW,Anthony Tolliver,1,25,6
POR,Juwan Howard,1,23,25
GSW,Monta Ellis,1,23,31
POR,Jerryd Bayless,1,24,5
GSW,Stephen Curry,0,36,6
POR,Nicolas Batum,1,26,6
POR,Nicolas Batum,1,46,19
GSW,Monta Ellis,0,36,6
GSW,Reggie Williams,1,25,6
POR,Dante Cunningham,0,14,14
POR,Patrick Mills,1,13,16
GSW,Stephen Curry,1,15,24
POR,Patrick Mills,0,25,6
POR,Rudy Fernandez,1,34,30
POR,Rudy Fernandez,0,23,7
GSW,Stephen Curry,0,15,26
GSW,Anthony Tolliver,0,25,6
POR,Patrick Mills,1,8,25
POR,Rudy Fernandez,0,22,31
GSW,Devean George,1,48,9
GSW,Stephen Curry,1,25,6
POR,Jeff Pendergraph,1,24,7
POR,Martell Webster,1,14,29
GSW,Stephen Curry,0,25,30
POR,Patrick Mills,0,38,18
GSW,Anthony Tolliver,0,16,29
POR,Jeff Pendergraph,1,25,6
GSW,Anthony Tolliver,1,25,6
POR,Martell Webster,1,2,15
GSW,Devean George,0,8,26
POR,Rudy Fernandez,0,48,8
GSW,Monta Ellis,0,14,29
GSW,Monta Ellis,1,25,6
GSW,Devean George,1,19,23
POR,Patrick Mills,1,37,29
GSW,Devean George,0,49,9
POR,Nicolas Batum,0,1,9
GSW,Monta Ellis,1,25,6
GSW,Monta Ellis,1,25,6
POR,Patrick Mills,0,25,6
GSW,Stephen Curry,1,38,28
POR,Jeff Pendergraph,1,23,15
GSW,Anthony Tolliver,1,25,6
POR,Jeff Pendergraph,1,38,15
GSW,Anthony Tolliver,1,25,6
GSW,Anthony Tolliver,0,42,18
POR,Nicolas Batum,0,10,27
GSW,Monta Ellis,1,49,7
POR,Nicolas Batum,1,5,5
GSW,Stephen Curry,1,25,6
POR,Jerryd Bayless,0,8,24
GSW,Monta Ellis,1,25,6
POR,Jeff Pendergraph,0,38,15
GSW,Stephen Curry,0,37,9
GSW,Monta Ellis,0,25,6
POR,Jeff Pendergraph,0,30,8
GSW,Monta Ellis,0,47,17
GSW,Reggie Williams,0,11,27
POR,Martell Webster,1,24,8
GSW,Stephen Curry,1,37,9
POR,Nicolas Batum,0,48,15
GSW,Stephen Curry,1,30,30
POR,Patrick Mills,0,30,31
GSW,Devean George,0,48,9
POR,Jeff Pendergraph,1,24,15
GSW,Stephen Curry,1,11,11
POR,Jerryd Bayless,0,2,9
POR,Jerryd Bayless,1,25,5
POR,Jerryd Bayless,0,25,6
POR,Jerryd Bayless,0,25,6
POR,Patrick Mills,1,25,6
